book	chapter	verse	title	body
1John	 		1John  :	
1John	1	1	1John 1:1	 論 到 從 起 初 原 有 的 生 命 之 道 、 就 是 我 們 所 聽 見 所 看 見 、 親 眼 看 過 、 親 手 摸 過 的 ． 
1John	1	2	1John 1:2	 （ 這 生 命 已 經 顯 現 出 來 、 我 們 也 看 見 過 、 現 在 又 作 見 證 、 將 原 與 父 同 在 、 且 顯 現 與 我 們 那 永 遠 的 生 命 、 傳 給 你 們 ． ） 
1John	1	3	1John 1:3	 我 們 將 所 看 見 、 所 聽 見 的 、 傳 給 你 們 、 使 你 們 與 我 們 相 交 、 我 們 乃 是 與 父 並 他 兒 子 耶 穌 基 督 相 交 的 ． 
1John	1	4	1John 1:4	 我 們 將 這 些 話 寫 給 你 們 、 使 你 們 〔 有 古 卷 作 我 們 〕 的 喜 樂 充 足 。 
1John	1	5	1John 1:5	 　 神 就 是 光 、 在 他 亳 無 黑 暗 ． 這 是 我 們 從 主 所 聽 見 、 又 報 給 你 們 的 信 息 。 
1John	1	6	1John 1:6	 我 們 若 說 是 與 　 神 相 交 、 卻 仍 在 黑 暗 裡 行 、 就 是 說 謊 話 、 不 行 真 理 了 ． 
1John	1	7	1John 1:7	 我 們 若 在 光 明 中 行 、 如 同 　 神 在 光 明 中 、 就 彼 此 相 交 、 他 兒 子 耶 穌 的 血 也 洗 淨 我 們 一 切 的 罪 。 
1John	1	8	1John 1:8	 我 們 若 說 自 己 無 罪 、 便 是 自 欺 、 真 理 不 在 我 們 心 裡 了 。 
1John	1	9	1John 1:9	 我 們 若 認 自 己 的 罪 、 　 神 是 信 實 的 、 是 公 義 的 、 必 要 赦 免 我 們 的 罪 、 洗 淨 我 們 一 切 的 不 義 。 
1John	1	10	1John 1:10	 我 們 若 說 自 己 沒 有 犯 過 罪 、 便 是 以 　 神 為 說 謊 的 ． 他 的 道 也 不 在 我 們 心 裡 了 。 
