book	chapter	verse	title	body
1Timothy	 		1Timothy  :	
1Timothy	6	1	1Timothy 6:1	 凡 在 軛 下 作 僕 人 的 、 當 以 自 己 主 人 配 受 十 分 的 恭 敬 、 免 得 　 神 的 名 和 道 理 、 被 人 褻 瀆 。 
1Timothy	6	2	1Timothy 6:2	 僕 人 有 信 道 的 主 人 、 不 可 因 為 與 他 是 弟 兄 就 輕 看 他 ． 更 要 加 意 服 事 他 ． 因 為 得 服 事 之 益 處 的 、 是 信 道 蒙 愛 的 。 你 要 以 此 教 訓 人 、 勸 勉 人 。 
1Timothy	6	3	1Timothy 6:3	 若 有 人 傳 異 教 、 不 服 從 我 們 主 耶 穌 基 督 純 正 的 話 、 與 那 合 乎 敬 虔 的 道 理 ． 
1Timothy	6	4	1Timothy 6:4	 他 是 自 高 自 大 、 一 無 所 知 、 專 好 問 難 、 爭 辯 言 詞 、 從 此 就 生 出 嫉 妒 、 分 爭 、 毀 謗 、 妄 疑 、 
1Timothy	6	5	1Timothy 6:5	 並 那 壞 了 心 術 、 失 喪 真 理 之 人 的 爭 競 。 他 們 以 敬 虔 為 得 利 的 門 路 ． 
1Timothy	6	6	1Timothy 6:6	 然 而 敬 虔 加 上 知 足 的 心 便 是 大 利 了 ． 
1Timothy	6	7	1Timothy 6:7	 因 為 我 們 沒 有 帶 甚 麼 到 世 上 來 、 也 不 能 帶 甚 麼 去 ． 
1Timothy	6	8	1Timothy 6:8	 只 要 有 衣 有 食 、 就 當 知 足 。 
1Timothy	6	9	1Timothy 6:9	 但 那 些 想 要 發 財 的 人 、 就 陷 在 迷 惑 、 落 在 網 羅 、 和 許 多 無 知 有 害 的 私 慾 裡 、 叫 人 沉 在 敗 壞 和 滅 亡 中 。 
1Timothy	6	10	1Timothy 6:10	 貪 財 是 萬 惡 之 根 ． 有 人 貪 戀 錢 財 、 就 被 引 誘 離 了 真 道 、 用 許 多 愁 苦 把 自 己 刺 透 了 。 
1Timothy	6	11	1Timothy 6:11	 但 你 這 屬 　 神 的 人 、 要 逃 避 這 些 事 、 追 求 公 義 、 敬 虔 、 信 心 、 愛 心 、 忍 耐 、 溫 柔 。 
1Timothy	6	12	1Timothy 6:12	 你 要 為 真 道 打 那 美 好 的 仗 、 持 定 永 生 ． 你 為 此 被 召 ． 也 在 許 多 見 證 人 面 前 、 已 經 作 了 那 美 好 的 見 證 。 
1Timothy	6	13	1Timothy 6:13	 我 在 叫 萬 物 生 活 的 　 神 面 前 、 並 在 向 本 丟 彼 拉 多 作 過 那 美 好 見 證 的 基 督 耶 穌 面 前 囑 咐 你 、 
1Timothy	6	14	1Timothy 6:14	 要 守 這 命 令 、 毫 不 玷 污 、 無 可 指 責 、 直 到 我 們 的 主 耶 穌 基 督 顯 現 ． 
1Timothy	6	15	1Timothy 6:15	 到 了 日 期 、 那 可 稱 頌 獨 有 權 能 的 、 萬 王 之 王 、 萬 主 之 主 、 
1Timothy	6	16	1Timothy 6:16	 就 是 那 獨 一 不 死 、 住 在 人 不 能 靠 近 的 光 裡 、 是 人 未 曾 看 見 、 也 是 不 能 看 見 的 、 要 將 他 顯 明 出 來 。 但 願 尊 貴 和 永 遠 的 權 能 、 都 歸 給 他 。 阿 們 。 
1Timothy	6	17	1Timothy 6:17	 你 要 囑 咐 那 些 今 世 富 足 的 人 、 不 要 自 高 、 也 不 要 倚 靠 無 定 的 錢 財 ． 只 要 倚 靠 那 厚 賜 百 物 給 我 們 享 受 的 　 神 。 
1Timothy	6	18	1Timothy 6:18	 又 要 囑 咐 他 們 行 善 、 在 好 事 上 富 足 、 甘 心 施 捨 、 樂 意 供 給 人 、 〔 供 給 或 作 體 貼 〕 
1Timothy	6	19	1Timothy 6:19	 為 自 己 積 成 美 好 的 根 基 、 豫 備 將 來 、 叫 他 們 持 定 那 真 正 的 生 命 。 
1Timothy	6	20	1Timothy 6:20	 提 摩 太 阿 、 你 要 保 守 所 託 付 你 的 、 躲 避 世 俗 的 虛 談 、 和 那 敵 真 道 似 是 而 非 的 學 問 。 
1Timothy	6	21	1Timothy 6:21	 已 經 有 人 自 稱 有 這 學 問 、 就 偏 離 了 真 道 。 願 恩 惠 常 與 你 們 同 在 。 
