book	chapter	verse	title	body
2Kings	 		2Kings  :	
2Kings	7	1	2Kings 7:1	 以 利 沙 說 、 你 們 要 聽 耶 和 華 的 話 ． 耶 和 華 如 此 說 明 日 約 到 這 時 候 、 在 撒 瑪 利 亞 城 門 口 、 一 細 亞 細 麵 要 賣 銀 一 舍 客 勒 、 二 細 亞 大 麥 也 要 賣 銀 一 舍 客 勒 。 
2Kings	7	2	2Kings 7:2	 有 一 個 攙 扶 王 的 軍 長 、 對 神 人 說 、 即 便 耶 和 華 使 天 開 了 窗 戶 、 也 不 能 有 這 事 。 以 利 沙 說 、 你 必 親 眼 看 見 、 卻 不 得 喫 。 
2Kings	7	3	2Kings 7:3	 在 城 門 那 裡 有 四 個 長 大 痲 瘋 的 人 ． 他 們 彼 此 說 、 我 們 為 何 坐 在 這 裡 等 死 呢 。 
2Kings	7	4	2Kings 7:4	 我 們 若 說 、 進 城 去 罷 、 城 裡 有 饑 荒 、 必 死 在 那 裡 ． 若 在 這 裡 坐 著 不 動 、 也 必 是 死 。 來 罷 、 我 們 去 投 降 亞 蘭 人 的 軍 隊 ． 他 們 若 留 我 們 的 活 命 、 就 活 著 ． 若 殺 我 們 、 就 死 了 罷 。 
2Kings	7	5	2Kings 7:5	 黃 昏 的 時 候 、 他 們 起 來 往 亞 蘭 人 的 營 盤 去 ． 到 了 營 邊 、 不 見 一 人 在 那 裡 。 
2Kings	7	6	2Kings 7:6	 因 為 主 使 亞 蘭 人 的 軍 隊 聽 見 車 馬 的 聲 音 、 是 大 軍 的 聲 音 ． 他 們 就 彼 此 說 、 這 必 是 以 色 列 王 賄 買 赫 人 的 諸 王 、 和 埃 及 人 的 諸 王 、 來 攻 擊 我 們 。 
2Kings	7	7	2Kings 7:7	 所 以 在 黃 昏 的 時 候 他 們 起 來 逃 跑 、 撇 下 帳 棚 、 馬 、 驢 、 營 盤 照 舊 、 只 顧 逃 命 。 
2Kings	7	8	2Kings 7:8	 那 些 長 大 痲 瘋 的 到 了 營 邊 、 進 了 帳 棚 、 喫 了 、 喝 了 、 且 從 其 中 拿 出 金 銀 、 和 衣 服 來 、 去 收 藏 了 ． 回 來 、 又 進 了 一 座 帳 棚 、 從 其 中 拿 出 財 物 來 、 去 收 藏 了 。 
2Kings	7	9	2Kings 7:9	 那 時 他 們 彼 此 說 、 我 們 所 作 的 不 好 ． 今 日 是 有 好 信 息 的 日 子 、 我 們 竟 不 作 聲 ． 若 等 到 天 亮 、 罪 必 臨 到 我 們 ． 來 罷 、 我 們 與 王 家 報 信 去 。 
2Kings	7	10	2Kings 7:10	 他 們 就 去 叫 守 城 門 的 、 告 訴 他 們 說 、 我 們 到 了 亞 蘭 人 的 營 、 不 見 一 人 在 那 裡 、 也 無 人 聲 、 只 有 拴 著 的 馬 、 和 驢 、 帳 棚 都 照 舊 。 
2Kings	7	11	2Kings 7:11	 守 城 門 的 、 叫 了 眾 守 門 的 人 來 ． 他 們 就 進 去 、 與 王 家 報 信 。 
2Kings	7	12	2Kings 7:12	 王 夜 間 起 來 、 對 臣 僕 說 、 我 告 訴 你 們 亞 蘭 人 向 我 們 如 何 行 。 他 們 知 道 我 們 飢 餓 、 所 以 離 營 、 埋 伏 在 田 野 、 說 、 以 色 列 人 出 城 的 時 候 、 我 們 就 活 捉 他 們 、 得 以 進 城 。 
2Kings	7	13	2Kings 7:13	 有 一 個 臣 僕 對 王 說 、 我 們 不 如 用 城 裡 剩 下 之 馬 中 的 五 匹 馬 、 （ 馬 和 城 裡 剩 下 的 以 色 列 人 都 是 一 樣 、 快 要 滅 絕 ） 打 發 人 去 窺 探 。 
2Kings	7	14	2Kings 7:14	 於 是 取 了 兩 輛 車 和 馬 ． 王 差 人 去 追 尋 亞 蘭 軍 、 說 、 你 們 去 窺 探 窺 探 。 
2Kings	7	15	2Kings 7:15	 他 們 就 追 尋 到 約 但 河 、 看 見 滿 道 上 都 是 亞 蘭 人 急 跑 時 丟 棄 的 衣 服 器 具 。 使 者 就 回 來 報 告 王 。 
2Kings	7	16	2Kings 7:16	 眾 人 就 出 去 、 擄 掠 亞 蘭 人 的 營 盤 。 於 是 一 細 亞 細 麵 賣 銀 一 舍 客 勒 、 二 細 亞 大 麥 也 賣 銀 一 舍 客 勒 、 正 如 耶 和 華 所 說 的 。 
2Kings	7	17	2Kings 7:17	 王 派 攙 扶 他 的 那 軍 長 、 在 城 門 口 彈 壓 ． 眾 人 在 那 裡 將 他 踐 踏 、 他 就 死 了 、 正 如 神 人 在 王 下 來 見 他 的 時 候 所 說 的 。 
2Kings	7	18	2Kings 7:18	 神 人 曾 對 王 說 、 明 日 約 到 這 時 候 、 在 撒 瑪 利 亞 城 門 口 、 二 細 亞 大 麥 要 賣 銀 一 舍 客 勒 、 一 細 亞 細 麵 也 要 賣 銀 一 舍 客 勒 ． 　 
2Kings	7	19	2Kings 7:19	 那 軍 長 對 神 人 說 、 即 便 耶 和 華 使 天 開 了 窗 戶 、 也 不 能 有 這 事 。 神 人 說 、 你 必 親 眼 看 見 、 卻 不 得 喫 。 
2Kings	7	20	2Kings 7:20	 這 話 果 然 應 驗 在 他 身 上 ． 因 為 眾 人 在 城 門 口 將 他 踐 踏 、 他 就 死 了 。 
