book	chapter	verse	title	body
2Peter	 		2Peter  :	
2Peter	1	1	2Peter 1:1	 作 耶 穌 基 督 僕 人 和 使 徒 的 西 門 彼 得 、 寫 信 給 那 因 我 們 的 　 神 、 和 〔 有 古 卷 無 和 字 〕 救 主 耶 穌 基 督 之 義 、 與 我 們 同 得 一 樣 寶 貴 信 心 的 人 ． 
2Peter	1	2	2Peter 1:2	 願 恩 惠 平 安 、 因 你 們 認 識 　 神 和 我 們 主 耶 穌 、 多 多 的 加 給 你 們 ． 
2Peter	1	3	2Peter 1:3	 　 神 的 神 能 已 將 一 切 關 乎 生 命 和 虔 敬 的 事 賜 給 我 們 、 皆 因 我 們 認 識 那 用 自 己 榮 耀 和 美 德 召 我 們 的 主 ． 
2Peter	1	4	2Peter 1:4	 因 此 他 已 將 又 寶 貴 又 極 大 的 應 許 賜 給 我 們 、 叫 我 們 既 脫 離 世 上 從 情 慾 來 的 敗 壞 、 就 得 與 　 神 的 性 情 有 分 。 
2Peter	1	5	2Peter 1:5	 正 因 這 緣 故 、 你 們 要 分 外 的 殷 勤 ． 有 了 信 心 、 又 要 加 上 德 行 ． 有 了 德 行 、 又 要 加 上 知 識 ． 
2Peter	1	6	2Peter 1:6	 有 了 知 識 、 又 要 加 上 節 制 ． 有 了 節 制 、 又 要 加 上 忍 耐 ． 有 了 忍 耐 、 又 要 加 上 虔 敬 ． 
2Peter	1	7	2Peter 1:7	 有 了 虔 敬 、 又 要 加 上 愛 弟 兄 的 心 ． 有 了 愛 弟 兄 的 心 、 又 要 加 上 愛 眾 人 的 心 。 
2Peter	1	8	2Peter 1:8	 你 們 若 充 充 足 足 的 有 這 幾 樣 、 就 必 使 你 們 在 認 識 我 們 的 主 耶 穌 基 督 上 、 不 至 於 閒 懶 不 結 果 子 了 。 
2Peter	1	9	2Peter 1:9	 人 若 沒 有 這 幾 樣 、 就 是 眼 瞎 、 只 看 見 近 處 的 、 忘 了 他 舊 日 的 罪 已 經 得 了 潔 淨 。 
2Peter	1	10	2Peter 1:10	 所 以 弟 兄 們 、 應 當 更 加 殷 勤 、 使 你 們 所 蒙 的 恩 召 和 揀 選 堅 定 不 移 ． 你 們 若 行 這 幾 樣 、 就 永 不 失 腳 。 
2Peter	1	11	2Peter 1:11	 這 樣 、 必 叫 你 們 豐 豐 富 富 的 、 得 以 進 入 我 們 主 救 主 耶 穌 基 督 永 遠 的 國 。 
2Peter	1	12	2Peter 1:12	 你 們 雖 然 曉 得 這 些 事 、 並 且 在 你 們 已 有 的 真 道 上 堅 固 、 我 卻 要 將 這 些 事 常 常 題 醒 你 們 。 
2Peter	1	13	2Peter 1:13	 我 以 為 應 當 趁 我 還 在 這 帳 棚 的 時 候 題 醒 你 們 、 激 發 你 們 ． 
2Peter	1	14	2Peter 1:14	 因 為 知 道 我 脫 離 這 帳 棚 的 時 候 快 到 了 、 正 如 我 們 主 耶 穌 基 督 所 指 示 我 的 。 
2Peter	1	15	2Peter 1:15	 並 且 我 要 盡 心 竭 力 、 使 你 們 在 我 去 世 以 後 、 時 常 記 念 這 些 事 。 
2Peter	1	16	2Peter 1:16	 我 們 從 前 、 將 我 們 主 耶 穌 基 督 的 大 能 、 和 他 降 臨 的 事 、 告 訴 你 們 、 並 不 是 隨 從 乖 巧 捏 造 的 虛 言 、 乃 是 親 眼 見 過 他 的 威 榮 。 
2Peter	1	17	2Peter 1:17	 他 從 父 　 神 得 尊 貴 榮 耀 的 時 候 、 從 極 大 榮 光 之 中 、 有 聲 音 出 來 向 他 說 、 這 是 我 的 愛 子 、 我 所 喜 悅 的 ． 
2Peter	1	18	2Peter 1:18	 我 們 同 他 在 聖 山 的 時 候 、 親 自 聽 見 這 聲 音 從 天 上 出 來 。 
2Peter	1	19	2Peter 1:19	 我 們 並 有 先 知 更 確 的 豫 言 、 如 同 燈 照 在 暗 處 ． 你 們 在 這 豫 言 上 留 意 、 直 等 到 天 發 亮 晨 星 在 你 們 心 裡 出 現 的 時 候 、 纔 是 好 的 。 
2Peter	1	20	2Peter 1:20	 第 一 要 緊 的 、 該 知 道 經 上 所 有 的 豫 言 、 沒 有 可 隨 私 意 解 說 的 ． 
2Peter	1	21	2Peter 1:21	 因 為 豫 言 從 來 沒 有 出 於 人 意 的 、 乃 是 人 被 聖 靈 感 動 說 出 　 神 的 話 來 。 
