book	chapter	verse	title	body
2Samuel	 		2Samuel  :	
2Samuel	7	1	2Samuel 7:1	 王 住 在 自 己 宮 中 、 耶 和 華 使 他 安 靖 、 不 被 四 圍 的 仇 敵 擾 亂 。 
2Samuel	7	2	2Samuel 7:2	 那 時 、 王 對 先 知 拿 單 說 、 看 哪 、 我 住 在 香 柏 木 的 宮 中 、 　 神 的 約 櫃 反 在 幔 子 裡 。 
2Samuel	7	3	2Samuel 7:3	 拿 單 對 王 說 、 你 可 以 照 你 的 心 意 而 行 、 因 為 耶 和 華 與 你 同 在 。 
2Samuel	7	4	2Samuel 7:4	 當 夜 耶 和 華 的 話 臨 到 拿 單 說 、 
2Samuel	7	5	2Samuel 7:5	 你 去 告 訴 我 僕 人 大 衛 說 、 耶 和 華 如 此 說 、 你 豈 可 建 造 殿 宇 給 我 居 住 呢 。 
2Samuel	7	6	2Samuel 7:6	 自 從 我 領 以 色 列 人 出 埃 及 直 到 今 日 、 我 未 曾 住 過 殿 宇 、 常 在 會 幕 和 帳 幕 中 行 走 。 
2Samuel	7	7	2Samuel 7:7	 凡 我 同 以 色 列 人 所 走 的 地 方 、 我 何 曾 向 以 色 列 一 支 派 的 士 師 、 就 是 我 吩 咐 牧 養 我 民 以 色 列 的 、 說 、 你 們 為 何 不 給 我 建 造 香 柏 木 的 殿 宇 呢 。 
2Samuel	7	8	2Samuel 7:8	 現 在 你 要 告 訴 我 僕 人 大 衛 說 、 萬 軍 之 耶 和 華 如 此 說 、 我 從 羊 圈 中 將 你 召 來 、 叫 你 不 再 跟 從 羊 群 、 立 你 作 我 民 以 色 列 的 君 。 
2Samuel	7	9	2Samuel 7:9	 你 無 論 往 那 裡 去 、 我 常 與 你 同 在 、 剪 除 你 的 一 切 仇 敵 ． 我 必 使 你 得 大 名 、 好 像 世 上 大 大 有 名 的 人 一 樣 。 
2Samuel	7	10	2Samuel 7:10	 我 必 為 我 民 以 色 列 選 定 一 個 地 方 、 栽 培 他 們 、 使 他 們 住 自 己 的 地 方 、 不 再 遷 移 ． 兇 惡 之 子 、 也 不 像 從 前 擾 害 他 們 ． 
2Samuel	7	11	2Samuel 7:11	 並 不 像 我 命 士 師 治 理 我 民 以 色 列 的 時 候 一 樣 ． 我 必 使 你 安 靖 、 不 被 一 切 仇 敵 擾 亂 ． 並 且 我 耶 和 華 應 許 你 、 必 為 你 建 立 家 室 。 
2Samuel	7	12	2Samuel 7:12	 你 壽 數 滿 足 、 與 你 列 祖 同 睡 的 時 候 、 我 必 使 你 的 後 裔 接 續 你 的 位 、 我 也 必 堅 定 他 的 國 。 
2Samuel	7	13	2Samuel 7:13	 他 必 為 我 的 名 建 造 殿 宇 、 我 必 堅 定 他 的 國 位 、 直 到 永 遠 。 
2Samuel	7	14	2Samuel 7:14	 我 要 作 他 的 父 、 他 要 作 我 的 子 、 他 若 犯 了 罪 、 我 必 用 人 的 杖 責 打 他 、 用 人 的 鞭 責 罰 他 。 
2Samuel	7	15	2Samuel 7:15	 但 我 的 慈 愛 仍 不 離 開 他 、 像 離 開 在 你 面 前 所 廢 棄 的 掃 羅 一 樣 。 
2Samuel	7	16	2Samuel 7:16	 你 的 家 和 你 的 國 、 必 在 我 〔 原 文 作 你 〕 面 前 永 遠 堅 立 ． 你 的 國 位 也 必 堅 定 、 直 到 永 遠 。 
2Samuel	7	17	2Samuel 7:17	 拿 單 就 按 這 一 切 話 、 照 這 默 示 、 告 訴 大 衛 。 
2Samuel	7	18	2Samuel 7:18	 於 是 大 衛 王 進 去 、 坐 在 耶 和 華 面 前 、 說 主 耶 和 華 阿 、 我 是 誰 、 我 的 家 算 甚 麼 、 你 竟 使 我 到 這 地 步 呢 。 
2Samuel	7	19	2Samuel 7:19	 主 耶 和 華 阿 、 這 在 你 眼 中 還 看 為 小 、 又 應 許 你 僕 人 的 家 至 於 久 遠 。 主 耶 和 華 阿 、 這 豈 是 人 所 常 遇 的 事 麼 。 
2Samuel	7	20	2Samuel 7:20	 主 耶 和 華 阿 、 我 還 有 何 言 可 以 對 你 說 呢 、 因 為 你 知 道 你 的 僕 人 。 
2Samuel	7	21	2Samuel 7:21	 你 行 這 大 事 使 僕 人 知 道 、 是 因 你 所 應 許 的 話 、 也 是 照 你 的 心 意 。 
2Samuel	7	22	2Samuel 7:22	 主 耶 和 華 阿 、 你 本 為 大 ． 照 我 們 耳 中 聽 見 沒 有 可 比 你 的 ． 除 你 以 外 再 無 　 神 。 
2Samuel	7	23	2Samuel 7:23	 世 上 有 何 民 能 比 你 的 民 以 色 列 呢 。 你 從 埃 及 救 贖 他 們 作 自 己 的 子 民 、 又 在 你 贖 出 來 的 民 面 前 行 大 而 可 畏 的 事 、 驅 逐 列 邦 人 和 他 們 的 神 、 顯 出 你 的 大 名 。 
2Samuel	7	24	2Samuel 7:24	 你 曾 堅 立 你 的 民 以 色 列 、 作 你 的 子 民 直 到 永 遠 ． 你 耶 和 華 也 作 了 他 們 的 　 神 。 
2Samuel	7	25	2Samuel 7:25	 耶 和 華 　 神 阿 、 你 所 應 許 僕 人 、 和 僕 人 家 的 話 、 求 你 堅 定 直 到 永 遠 ． 照 你 所 說 的 而 行 。 
2Samuel	7	26	2Samuel 7:26	 願 人 永 遠 尊 你 的 名 為 大 、 說 萬 軍 之 耶 和 華 是 治 理 以 色 列 的 　 神 ． 這 樣 、 你 僕 人 大 衛 的 家 必 在 你 面 前 堅 立 。 
2Samuel	7	27	2Samuel 7:27	 萬 軍 之 耶 和 華 以 色 列 的 　 神 阿 、 因 你 啟 示 你 的 僕 人 、 說 、 我 必 為 你 建 立 家 室 、 所 以 僕 人 大 膽 向 你 如 此 祈 禱 。 
2Samuel	7	28	2Samuel 7:28	 主 耶 和 華 阿 、 惟 有 你 是 　 神 ． 你 的 話 是 真 實 的 、 你 也 應 許 將 這 福 氣 賜 給 僕 人 。 
2Samuel	7	29	2Samuel 7:29	 現 在 求 你 賜 福 與 僕 人 的 家 、 可 以 永 存 在 你 面 前 ． 主 耶 和 華 阿 、 這 是 你 所 應 許 的 、 願 你 永 遠 賜 福 與 僕 人 的 家 。 
