book	chapter	verse	title	body
2Thessalonians	 		2Thessalonians  :	
2Thessalonians	3	1	2Thessalonians 3:1	 弟 兄 們 、 我 還 有 話 說 ． 請 你 們 為 我 們 禱 告 、 好 叫 主 的 道 理 快 快 行 開 、 得 著 榮 耀 、 正 如 在 你 們 中 間 一 樣 ． 
2Thessalonians	3	2	2Thessalonians 3:2	 也 叫 我 們 脫 離 無 理 之 惡 人 的 手 ． 因 為 人 不 都 是 有 信 心 。 
2Thessalonians	3	3	2Thessalonians 3:3	 但 主 是 信 實 的 、 要 堅 固 你 們 、 保 護 你 們 脫 離 惡 者 。 〔 或 作 脫 離 兇 惡 〕 
2Thessalonians	3	4	2Thessalonians 3:4	 我 們 靠 主 深 信 你 們 現 在 是 遵 行 我 們 所 吩 咐 的 、 後 來 也 必 要 遵 行 。 
2Thessalonians	3	5	2Thessalonians 3:5	 願 主 引 導 你 們 的 心 、 叫 你 們 愛 　 神 並 學 基 督 的 忍 耐 。 
2Thessalonians	3	6	2Thessalonians 3:6	 弟 兄 們 、 我 們 奉 主 耶 穌 基 督 的 名 吩 咐 你 們 、 凡 有 弟 兄 不 按 規 矩 而 行 、 不 遵 守 從 我 們 所 受 的 教 訓 、 就 當 遠 離 他 。 
2Thessalonians	3	7	2Thessalonians 3:7	 你 們 自 己 原 知 道 應 當 怎 樣 效 法 我 們 ． 因 為 我 們 在 你 們 中 間 、 未 嘗 不 按 規 矩 而 行 ． 
2Thessalonians	3	8	2Thessalonians 3:8	 也 未 嘗 白 喫 人 的 飯 ． 倒 是 辛 苦 勞 碌 、 晝 夜 作 工 、 免 得 叫 你 們 一 人 受 累 。 
2Thessalonians	3	9	2Thessalonians 3:9	 這 並 不 是 因 我 們 沒 有 權 柄 、 乃 是 要 給 你 們 作 榜 樣 、 叫 你 們 效 法 我 們 。 
2Thessalonians	3	10	2Thessalonians 3:10	 我 們 在 你 們 那 裡 的 時 候 、 曾 吩 咐 你 們 說 、 若 有 人 不 肯 作 工 、 就 不 可 喫 飯 。 
2Thessalonians	3	11	2Thessalonians 3:11	 因 我 們 聽 說 、 在 你 們 中 間 有 人 不 按 規 矩 而 行 、 甚 麼 工 都 不 作 、 反 倒 專 管 閒 事 。 
2Thessalonians	3	12	2Thessalonians 3:12	 我 們 靠 主 耶 穌 基 督 、 吩 咐 勸 戒 這 樣 的 人 、 要 安 靜 作 工 、 喫 自 己 的 飯 。 
2Thessalonians	3	13	2Thessalonians 3:13	 弟 兄 們 、 你 們 行 善 不 可 喪 志 。 
2Thessalonians	3	14	2Thessalonians 3:14	 若 有 人 不 聽 從 我 們 這 信 上 的 話 、 要 記 下 他 、 不 和 他 交 往 、 叫 他 自 覺 羞 愧 。 
2Thessalonians	3	15	2Thessalonians 3:15	 但 不 要 以 他 為 仇 人 、 要 勸 他 如 弟 兄 。 
2Thessalonians	3	16	2Thessalonians 3:16	 願 賜 平 安 的 主 、 隨 時 隨 事 親 自 給 你 們 平 安 ． 願 主 常 與 你 們 眾 人 同 在 。 
2Thessalonians	3	17	2Thessalonians 3:17	 我 保 羅 親 筆 問 你 們 安 ． 凡 我 的 信 都 以 此 為 記 ． 我 的 筆 跡 就 是 這 樣 。 
2Thessalonians	3	18	2Thessalonians 3:18	 願 我 們 主 耶 穌 基 督 的 恩 、 常 與 你 們 眾 人 同 在 。 
