book	chapter	verse	title	body
Acts	15	1	Acts 15:1	 有 幾 個 人 、 從 猶 太 下 來 、 教 訓 弟 兄 們 說 、 你 們 若 不 按 摩 西 的 規 條 受 割 禮 、 不 能 得 救 。 
Acts	15	2	Acts 15:2	 保 羅 巴 拿 巴 與 他 們 大 大 的 分 爭 辯 論 、 眾 門 徒 就 定 規 、 叫 保 羅 巴 拿 巴 和 本 會 中 幾 個 人 、 為 所 辯 論 的 、 上 耶 路 撒 冷 去 、 見 使 徒 和 長 老 。 
Acts	15	3	Acts 15:3	 於 是 教 會 送 他 們 起 行 、 他 們 經 過 腓 尼 基 、 撒 瑪 利 亞 、 隨 處 傳 說 外 邦 人 歸 主 的 事 、 叫 眾 弟 兄 都 甚 歡 喜 。 
Acts	15	4	Acts 15:4	 到 了 耶 路 撒 冷 、 教 會 和 使 徒 並 長 老 、 都 接 待 他 們 、 他 們 就 述 說 　 神 同 他 們 所 行 的 一 切 事 。 
Acts	15	5	Acts 15:5	 惟 有 幾 個 信 徒 是 法 利 賽 教 門 的 人 、 起 來 說 、 必 須 給 外 邦 人 行 割 禮 、 吩 咐 他 們 遵 守 摩 西 的 律 法 。 
Acts	15	6	Acts 15:6	 使 徒 和 長 老 、 聚 會 商 議 這 事 。 
Acts	15	7	Acts 15:7	 辯 論 已 經 多 了 、 彼 得 就 起 來 、 說 、 諸 位 弟 兄 、 你 們 知 道 　 神 早 已 在 你 們 中 間 揀 選 了 我 、 叫 外 邦 人 從 我 口 中 得 聽 福 音 之 道 、 而 且 相 信 。 
Acts	15	8	Acts 15:8	 知 道 人 心 的 　 神 、 也 為 他 們 作 了 見 證 ． 賜 聖 靈 給 他 們 、 正 如 給 我 們 一 樣 。 
Acts	15	9	Acts 15:9	 又 藉 著 信 潔 淨 了 他 們 的 心 、 並 不 分 他 們 我 們 。 
Acts	15	10	Acts 15:10	 現 在 為 甚 麼 試 探 　 神 、 要 把 我 們 祖 宗 和 我 們 所 不 能 負 的 軛 、 放 在 門 徒 的 頸 項 上 呢 。 
Acts	15	11	Acts 15:11	 我 們 得 救 、 乃 是 因 主 耶 穌 的 恩 、 和 他 們 一 樣 、 這 是 我 們 所 信 的 。 
Acts	15	12	Acts 15:12	 眾 人 都 默 默 無 聲 、 聽 巴 拿 巴 和 保 羅 、 述 說 　 神 藉 他 們 在 外 邦 人 中 所 行 的 神 蹟 奇 事 。 
Acts	15	13	Acts 15:13	 他 們 住 了 聲 、 雅 各 就 說 、 諸 位 弟 兄 、 請 聽 我 的 話 。 
Acts	15	14	Acts 15:14	 方 纔 西 門 述 說 　 神 當 初 怎 樣 眷 顧 外 邦 人 、 從 他 們 中 間 選 取 百 姓 歸 於 自 己 的 名 下 。 
Acts	15	15	Acts 15:15	 眾 先 知 的 話 、 也 與 這 意 思 相 合 ． 
Acts	15	16	Acts 15:16	 正 如 經 上 所 寫 的 、 『 此 後 我 要 回 來 、 重 新 修 造 大 衛 倒 塌 的 帳 幕 、 把 那 破 壞 的 、 重 新 修 造 建 立 起 來 ． 
Acts	15	17	Acts 15:17	 叫 餘 剩 的 人 、 就 是 凡 稱 為 我 名 下 的 外 邦 人 、 都 尋 求 主 ． 
