book	chapter	verse	title	body
Amos	3	1	Amos 3:1	 以 色 列 人 哪 、 你 們 全 家 是 我 從 埃 及 地 領 上 來 的 、 當 聽 耶 和 華 攻 擊 你 們 的 話 。 
Amos	3	2	Amos 3:2	 在 地 上 萬 族 中 、 我 只 認 識 你 們 ． 因 此 、 我 必 追 討 你 們 的 一 切 罪 孽 。 
Amos	3	3	Amos 3:3	 二 人 若 不 同 心 、 豈 能 同 行 呢 。 
Amos	3	4	Amos 3:4	 獅 子 若 非 抓 食 、 豈 能 在 林 中 咆 哮 呢 。 少 壯 獅 子 若 無 所 得 、 豈 能 從 洞 中 發 聲 呢 。 
Amos	3	5	Amos 3:5	 若 沒 有 機 檻 、 雀 鳥 豈 能 陷 在 網 羅 裡 呢 。 網 羅 若 無 所 得 、 豈 能 從 地 上 翻 起 呢 。 
Amos	3	6	Amos 3:6	 城 中 若 吹 角 、 百 姓 豈 不 驚 恐 呢 。 災 禍 若 臨 到 一 城 、 豈 非 耶 和 華 所 降 的 麼 。 
Amos	3	7	Amos 3:7	 主 耶 和 華 若 不 將 奧 秘 指 示 他 的 僕 人 眾 先 知 、 就 一 無 所 行 。 
Amos	3	8	Amos 3:8	 獅 子 吼 叫 、 誰 不 懼 怕 呢 。 主 耶 和 華 發 命 、 誰 能 不 說 豫 言 呢 。 
Amos	3	9	Amos 3:9	 要 在 亞 實 突 的 宮 殿 中 、 和 埃 及 地 的 宮 殿 裡 傳 揚 說 、 你 們 要 聚 集 在 撒 瑪 利 亞 的 山 上 、 就 看 見 城 中 有 何 等 大 的 擾 亂 與 欺 壓 的 事 。 
Amos	3	10	Amos 3:10	 那 些 以 強 暴 搶 奪 財 物 、 積 蓄 在 自 己 家 中 的 人 不 知 道 行 正 直 的 事 ． 這 是 耶 和 華 說 的 。 
Amos	3	11	Amos 3:11	 所 以 主 耶 和 華 如 此 說 、 敵 人 必 來 圍 攻 這 地 、 使 你 的 勢 力 衰 微 、 搶 掠 你 的 家 宅 。 
Amos	3	12	Amos 3:12	 耶 和 華 如 此 說 、 牧 人 怎 樣 從 獅 子 口 中 搶 回 兩 條 羊 腿 或 半 個 耳 朵 、 住 撒 瑪 利 亞 的 以 色 列 人 躺 臥 在 床 角 上 或 鋪 繡 花 毯 的 榻 上 、 他 們 得 救 也 不 過 如 此 。 
Amos	3	13	Amos 3:13	 主 耶 和 華 萬 軍 之 　 神 說 、 當 聽 這 話 、 警 戒 雅 各 家 。 
Amos	3	14	Amos 3:14	 我 討 以 色 列 罪 的 日 子 、 也 要 討 伯 特 利 祭 壇 的 罪 ． 壇 角 必 被 砍 下 、 墜 落 於 地 。 
Amos	3	15	Amos 3:15	 我 要 拆 毀 過 冬 和 過 夏 的 房 屋 、 象 牙 的 房 屋 也 必 毀 滅 、 高 大 的 房 屋 都 歸 無 有 、 這 是 耶 和 華 說 的 。 
