book	chapter	verse	title	body
Colossians	4	1	Colossians 4:1	 你 們 作 主 人 的 、 要 公 公 平 平 的 待 僕 人 、 因 為 知 道 你 們 也 有 一 住 主 在 天 上 。 
Colossians	4	2	Colossians 4:2	 你 們 要 恆 切 禱 告 、 在 此 儆 醒 感 恩 ． 
Colossians	4	3	Colossians 4:3	 也 要 為 我 們 禱 告 、 求 　 神 給 我 們 開 傳 道 的 門 、 能 以 講 基 督 的 奧 秘 、 （ 我 為 此 被 捆 鎖 ） 
Colossians	4	4	Colossians 4:4	 叫 我 按 著 所 該 說 的 話 、 將 這 奧 秘 發 明 出 來 。 
Colossians	4	5	Colossians 4:5	 你 們 要 愛 惜 光 陰 、 用 智 慧 與 外 人 交 往 。 
Colossians	4	6	Colossians 4:6	 你 們 的 言 語 要 常 常 帶 著 和 氣 、 好 像 用 鹽 調 和 、 就 可 知 道 該 怎 樣 回 答 各 人 。 
Colossians	4	7	Colossians 4:7	 有 我 親 愛 的 兄 弟 推 基 古 要 將 我 一 切 的 事 都 告 訴 你 們 ． 他 是 忠 心 的 執 事 、 和 我 一 同 作 主 的 僕 人 。 
Colossians	4	8	Colossians 4:8	 我 特 意 打 發 他 到 你 們 那 裡 去 、 好 叫 你 們 知 道 我 們 的 光 景 、 又 叫 他 安 慰 你 們 的 心 。 
Colossians	4	9	Colossians 4:9	 我 又 打 發 一 位 親 愛 忠 心 的 兄 弟 阿 尼 西 母 同 去 ． 他 也 是 你 們 那 裡 的 人 。 他 們 要 把 這 裡 一 切 的 事 都 告 訴 你 們 。 
Colossians	4	10	Colossians 4:10	 與 我 同 坐 監 的 亞 里 達 古 問 你 們 安 。 巴 拿 巴 的 表 弟 馬 可 也 問 你 們 安 。 （ 說 到 這 馬 可 、 你 們 已 經 受 了 吩 咐 ． 他 若 到 了 你 們 那 裡 、 你 們 就 接 待 他 。 ） 
Colossians	4	11	Colossians 4:11	 耶 數 又 稱 為 猶 士 都 、 也 問 你 們 安 ． 奉 割 禮 的 人 中 、 只 有 這 三 個 人 、 是 為 　 神 的 國 與 我 一 同 作 工 的 、 也 是 叫 我 心 裡 得 安 慰 的 。 
Colossians	4	12	Colossians 4:12	 有 你 們 那 裡 的 人 、 作 基 督 耶 穌 僕 人 的 以 巴 弗 問 你 們 安 。 他 在 禱 告 之 間 、 常 為 你 們 竭 力 的 祈 求 、 願 你 們 在 　 神 一 切 的 旨 意 上 、 得 以 完 全 、 信 心 充 足 、 能 站 立 得 穩 。 
Colossians	4	13	Colossians 4:13	 他 為 你 們 和 老 底 嘉 並 希 拉 波 立 的 弟 兄 、 多 多 的 勞 苦 ． 這 是 我 可 以 給 他 作 見 證 的 。 
Colossians	4	14	Colossians 4:14	 所 親 愛 的 醫 生 路 加 、 和 底 馬 問 你 們 安 。 
Colossians	4	15	Colossians 4:15	 請 問 老 底 嘉 的 弟 兄 和 寧 法 、 並 他 家 裡 的 教 會 安 。 
Colossians	4	16	Colossians 4:16	 你 們 念 了 這 書 信 、 便 交 給 老 底 嘉 的 教 會 、 叫 他 們 也 念 ． 你 們 也 要 念 從 老 底 嘉 來 的 書 信 。 
Colossians	4	17	Colossians 4:17	 要 對 亞 基 布 說 、 務 要 謹 慎 、 盡 你 從 主 所 受 的 職 分 。 
Colossians	4	18	Colossians 4:18	 我 保 羅 親 筆 問 你 們 安 。 你 們 要 記 念 我 的 捆 鎖 。 願 恩 惠 常 與 你 們 同 在 。 帖 前 
