book	chapter	verse	title	body
Daniel	1	1	Daniel 1:1	 猶 大 王 約 雅 敬 在 位 第 三 年 、 巴 比 倫 王 尼 布 甲 尼 撒 來 到 耶 路 撒 冷 、 將 城 圍 困 。 
Daniel	1	2	Daniel 1:2	 主 將 猶 大 王 約 雅 敬 、 並 　 神 殿 中 器 皿 的 幾 分 交 付 他 手 、 他 就 把 這 器 皿 帶 到 示 拿 地 、 收 入 他 神 的 廟 裡 、 放 在 他 神 的 庫 中 。 
Daniel	1	3	Daniel 1:3	 王 吩 咐 太 監 長 亞 施 毘 拿 、 從 以 色 列 人 的 宗 室 和 貴 冑 中 、 帶 進 幾 個 人 來 、 
Daniel	1	4	Daniel 1:4	 就 是 年 少 沒 有 殘 疾 、 相 貌 俊 美 、 通 達 各 樣 學 問 、 知 識 聰 明 俱 備 、 足 能 侍 立 在 王 宮 裡 的 、 要 教 他 們 迦 勒 底 的 文 字 言 語 。 
Daniel	1	5	Daniel 1:5	 王 派 定 將 自 己 所 用 的 膳 、 和 所 飲 的 酒 、 每 日 賜 他 們 一 分 、 養 他 們 三 年 ． 滿 了 三 年 、 好 叫 他 們 在 王 面 前 侍 立 。 
Daniel	1	6	Daniel 1:6	 他 們 中 間 有 猶 大 族 的 人 、 但 以 理 、 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 ． 
Daniel	1	7	Daniel 1:7	 太 監 長 給 他 們 起 名 、 稱 但 以 理 為 伯 提 沙 撒 、 稱 哈 拿 尼 雅 為 沙 得 拉 、 稱 米 沙 利 為 米 煞 、 稱 亞 撒 利 雅 為 亞 伯 尼 歌 。 
Daniel	1	8	Daniel 1:8	 但 以 理 卻 立 志 、 不 以 王 的 膳 、 和 王 所 飲 的 酒 、 玷 污 自 己 、 所 以 求 太 監 長 容 他 不 玷 污 自 己 。 
Daniel	1	9	Daniel 1:9	 　 神 使 但 以 理 在 太 監 長 眼 前 蒙 恩 惠 、 受 憐 憫 ． 
Daniel	1	10	Daniel 1:10	 太 監 長 對 但 以 理 說 、 我 懼 怕 我 主 我 王 、 他 巳 經 派 定 你 們 的 飲 食 ． 倘 若 他 見 你 們 的 面 貌 、 比 你 們 同 歲 的 少 年 人 肌 瘦 、 怎 麼 好 呢 、 這 樣 、 你 們 就 使 我 的 頭 在 王 那 裡 難 保 。 
Daniel	1	11	Daniel 1:11	 但 以 理 對 太 監 長 所 派 管 理 但 以 理 、 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 的 委 辦 說 、 
Daniel	1	12	Daniel 1:12	 求 你 試 試 僕 人 們 十 天 、 給 我 們 素 菜 喫 、 白 水 喝 、 
Daniel	1	13	Daniel 1:13	 然 後 看 看 我 們 的 面 貌 、 和 用 王 膳 那 少 年 人 的 面 貌 ． 就 照 你 所 看 的 待 僕 人 罷 。 
Daniel	1	14	Daniel 1:14	 委 辦 便 允 准 他 們 這 件 事 、 試 看 他 們 十 天 。 
Daniel	1	15	Daniel 1:15	 過 了 十 天 、 見 他 們 的 面 貌 、 比 用 王 膳 的 一 切 少 年 人 更 加 俊 美 肥 胖 ． 
Daniel	1	16	Daniel 1:16	 於 是 委 辦 撤 去 他 們 用 的 膳 、 飲 的 酒 、 給 他 們 素 菜 喫 。 
Daniel	1	17	Daniel 1:17	 這 四 個 少 年 人 、 　 神 在 各 樣 文 字 學 問 上 、 〔 學 問 原 文 作 智 慧 〕 賜 給 他 們 聰 明 知 識 ． 但 以 理 又 明 白 各 樣 的 異 象 和 夢 兆 。 
Daniel	1	18	Daniel 1:18	 尼 布 甲 尼 撒 王 豫 定 帶 進 少 年 人 來 的 日 期 滿 了 、 太 監 長 就 把 他 們 帶 到 王 面 前 。 
Daniel	1	19	Daniel 1:19	 王 與 他 們 談 論 、 見 少 年 人 中 、 無 一 人 能 比 但 以 理 、 哈 拿 尼 雅 、 米 沙 利 、 亞 撒 利 雅 、 所 以 留 他 們 在 王 面 前 侍 立 。 
Daniel	1	20	Daniel 1:20	 王 考 問 他 們 一 切 事 、 就 見 他 們 的 智 慧 聰 明 、 比 通 國 的 術 士 、 和 用 法 術 的 、 勝 過 十 偣 。 
Daniel	1	21	Daniel 1:21	 到 古 列 王 元 年 、 但 以 理 還 在 。 
