book	chapter	verse	title	body
Deuteronomy	16	1	Deuteronomy 16:1	 你 要 注 意 亞 筆 月 、 向 耶 和 華 你 的 　 神 守 逾 越 節 、 因 為 耶 和 華 你 的 　 神 在 亞 筆 月 夜 間 、 領 你 出 埃 及 。 
Deuteronomy	16	2	Deuteronomy 16:2	 你 當 在 耶 和 華 所 選 擇 要 立 為 他 名 的 居 所 、 從 牛 群 羊 群 中 、 將 逾 越 節 的 祭 牲 獻 給 耶 和 華 你 的 　 神 ． 
Deuteronomy	16	3	Deuteronomy 16:3	 你 喫 這 祭 牲 不 可 喫 有 酵 的 餅 、 七 日 之 內 要 喫 無 酵 餅 、 就 是 困 苦 餅 ． （ 你 本 是 急 忙 出 了 埃 及 地 ） 要 叫 你 一 生 一 世 記 念 你 從 埃 及 地 出 來 的 日 子 。 
Deuteronomy	16	4	Deuteronomy 16:4	 在 你 四 境 之 內 、 七 日 不 可 見 麵 酵 ． 頭 一 日 晚 上 所 獻 的 肉 、 一 點 不 可 留 到 早 晨 。 
Deuteronomy	16	5	Deuteronomy 16:5	 在 耶 和 華 你 　 神 所 賜 的 各 城 中 、 你 不 可 獻 逾 越 節 的 祭 、 
Deuteronomy	16	6	Deuteronomy 16:6	 只 當 在 耶 和 華 你 　 神 所 選 擇 要 立 為 他 名 的 居 所 、 晚 上 日 落 的 時 候 、 乃 是 你 出 埃 及 的 時 候 、 獻 逾 越 節 的 祭 。 
Deuteronomy	16	7	Deuteronomy 16:7	 當 在 耶 和 華 你 　 神 所 選 擇 的 地 方 、 把 肉 烤 了 喫 ． 〔 烤 或 作 煮 〕 次 日 早 晨 就 回 到 你 的 帳 棚 去 。 
Deuteronomy	16	8	Deuteronomy 16:8	 你 要 喫 無 酵 餅 六 日 、 第 七 日 要 向 耶 和 華 你 的 　 神 守 嚴 肅 會 、 不 可 作 工 。 
Deuteronomy	16	9	Deuteronomy 16:9	 你 要 計 算 七 七 日 、 從 你 開 鐮 收 割 禾 稼 時 算 起 、 共 計 七 七 日 。 
Deuteronomy	16	10	Deuteronomy 16:10	 你 要 照 耶 和 華 你 　 神 所 賜 你 的 福 、 手 裡 拿 著 甘 心 祭 、 獻 在 耶 和 華 你 的 　 神 面 前 守 七 七 節 。 
Deuteronomy	16	11	Deuteronomy 16:11	 你 和 你 兒 女 、 僕 婢 、 並 住 在 你 城 裡 的 利 未 人 、 以 及 在 你 們 中 間 寄 居 的 、 與 孤 兒 寡 婦 、 都 要 在 耶 和 華 你 　 神 所 選 擇 立 為 他 名 的 居 所 、 在 耶 和 華 你 的 　 神 面 前 歡 樂 。 
Deuteronomy	16	12	Deuteronomy 16:12	 你 也 要 記 念 你 在 埃 及 作 過 奴 僕 ． 你 要 謹 守 遵 行 這 些 律 例 。 
Deuteronomy	16	13	Deuteronomy 16:13	 你 把 禾 場 的 穀 、 酒 醡 的 酒 、 收 藏 以 後 、 就 要 守 住 棚 節 七 日 。 
Deuteronomy	16	14	Deuteronomy 16:14	 守 節 的 時 候 、 你 和 你 兒 女 、 僕 婢 、 並 住 在 你 城 裡 的 利 未 人 、 以 及 寄 居 的 、 與 孤 兒 寡 婦 、 都 要 歡 樂 。 
Deuteronomy	16	15	Deuteronomy 16:15	 在 耶 和 華 所 選 擇 的 地 方 、 你 當 向 耶 和 華 你 的 　 神 守 節 七 日 ． 因 為 耶 和 華 你 　 神 在 你 一 切 的 土 產 上 、 和 你 手 裡 所 辦 的 事 上 、 要 賜 福 與 你 、 你 就 非 常 的 歡 樂 。 
Deuteronomy	16	16	Deuteronomy 16:16	 你 一 切 的 男 丁 、 要 在 除 酵 節 、 七 七 節 、 住 棚 節 、 一 年 三 次 、 在 耶 和 華 你 　 神 所 選 擇 的 地 方 朝 見 他 、 卻 不 可 空 手 朝 見 ． 
Deuteronomy	16	17	Deuteronomy 16:17	 各 人 要 按 自 己 的 力 量 、 照 耶 和 華 你 　 神 所 賜 的 福 分 、 奉 獻 禮 物 。 
Deuteronomy	16	18	Deuteronomy 16:18	 你 要 在 耶 和 華 你 　 神 所 賜 的 各 城 裡 、 按 著 各 支 派 、 設 立 審 判 官 、 和 官 長 。 他 們 必 按 公 義 的 審 判 、 判 斷 百 姓 。 
Deuteronomy	16	19	Deuteronomy 16:19	 不 可 屈 枉 正 直 、 不 可 看 人 的 外 貌 、 也 不 可 受 賄 賂 、 因 為 賄 賂 能 叫 智 慧 人 的 眼 變 瞎 了 、 又 能 顛 倒 義 人 的 話 。 
Deuteronomy	16	20	Deuteronomy 16:20	 你 要 追 求 至 公 、 至 義 、 好 叫 你 存 活 、 承 受 耶 和 華 你 　 神 所 賜 你 的 地 。 
Deuteronomy	16	21	Deuteronomy 16:21	 你 為 耶 和 華 你 的 　 神 築 壇 、 不 可 在 壇 旁 栽 甚 麼 樹 木 、 作 為 木 偶 。 
Deuteronomy	16	22	Deuteronomy 16:22	 也 不 可 為 自 己 設 立 柱 像 、 這 是 耶 和 華 你 　 神 所 恨 惡 的 。 
