book	chapter	verse	title	body
Ecclesiastes	3	1	Ecclesiastes 3:1	 凡 事 都 有 定 期 、 天 下 萬 務 都 有 定 時 ． 
Ecclesiastes	3	2	Ecclesiastes 3:2	 生 有 時 、 死 有 時 ． 栽 種 有 時 、 拔 出 所 栽 種 的 、 也 有 時 ． 
Ecclesiastes	3	3	Ecclesiastes 3:3	 殺 戮 有 時 、 醫 治 有 時 ． 拆 毀 有 時 、 建 造 有 時 ． 
Ecclesiastes	3	4	Ecclesiastes 3:4	 哭 有 時 、 笑 有 時 ． 哀 慟 有 時 、 跳 舞 有 時 ． 
Ecclesiastes	3	5	Ecclesiastes 3:5	 拋 擲 石 頭 有 時 、 堆 聚 石 頭 有 時 ． 懷 抱 有 時 、 不 懷 抱 有 時 ． 
Ecclesiastes	3	6	Ecclesiastes 3:6	 尋 找 有 時 、 失 落 有 時 ． 保 守 有 時 、 捨 棄 有 時 ． 
Ecclesiastes	3	7	Ecclesiastes 3:7	 撕 裂 有 時 、 縫 補 有 時 ． 靜 默 有 時 、 言 語 有 時 ． 
Ecclesiastes	3	8	Ecclesiastes 3:8	 喜 愛 有 時 、 恨 惡 有 時 ． 爭 戰 有 時 、 和 好 有 時 。 
Ecclesiastes	3	9	Ecclesiastes 3:9	 這 樣 看 來 、 作 事 的 人 在 他 的 勞 碌 上 有 甚 麼 益 處 呢 。 
Ecclesiastes	3	10	Ecclesiastes 3:10	 我 見 　 神 叫 世 人 勞 苦 、 使 他 們 在 其 中 受 經 練 。 
Ecclesiastes	3	11	Ecclesiastes 3:11	 　 神 造 萬 物 、 各 按 其 時 成 為 美 好 ． 又 將 永 生 安 置 在 世 人 心 裡 ． 〔 永 生 原 文 作 永 遠 〕 然 而 　 神 從 始 至 終 的 作 為 、 人 不 能 參 透 。 
Ecclesiastes	3	12	Ecclesiastes 3:12	 我 知 道 世 人 、 莫 強 如 終 身 喜 樂 行 善 。 
Ecclesiastes	3	13	Ecclesiastes 3:13	 並 且 人 人 喫 喝 、 在 他 一 切 勞 碌 中 享 福 ． 這 也 是 　 神 的 恩 賜 。 
Ecclesiastes	3	14	Ecclesiastes 3:14	 我 知 道 　 神 一 切 所 作 的 、 都 必 永 存 、 無 所 增 添 、 無 所 減 少 ． 　 神 這 樣 行 、 是 要 人 在 他 面 前 存 敬 畏 的 心 。 
Ecclesiastes	3	15	Ecclesiastes 3:15	 現 今 的 事 早 先 就 有 了 ． 將 來 的 事 早 已 也 有 了 ． 並 且 　 神 使 已 過 的 事 重 新 再 來 ． 〔 或 作 並 且 　 神 再 尋 回 已 過 的 事 〕 
Ecclesiastes	3	16	Ecclesiastes 3:16	 我 又 見 日 光 之 下 、 在 審 判 之 處 有 奸 惡 ． 在 公 義 之 處 也 有 奸 惡 。 
Ecclesiastes	3	17	Ecclesiastes 3:17	 我 心 裡 說 、 　 神 必 審 判 義 人 和 惡 人 ． 因 為 在 那 裡 、 各 樣 事 務 、 一 切 工 作 、 都 有 定 時 。 
Ecclesiastes	3	18	Ecclesiastes 3:18	 我 心 裡 說 、 這 乃 為 世 人 的 緣 故 、 是 　 神 要 試 驗 他 們 、 使 他 們 覺 得 自 己 不 過 像 獸 一 樣 。 
Ecclesiastes	3	19	Ecclesiastes 3:19	 因 為 世 人 遭 遇 的 、 獸 也 遭 遇 ． 所 遭 遇 的 都 是 一 樣 ． 這 個 怎 樣 死 、 那 個 也 怎 樣 死 、 氣 息 都 是 一 樣 ． 人 不 能 強 於 獸 ． 都 是 虛 空 。 
Ecclesiastes	3	20	Ecclesiastes 3:20	 都 歸 一 處 ． 都 是 出 於 塵 土 、 也 都 歸 於 塵 土 。 
Ecclesiastes	3	21	Ecclesiastes 3:21	 誰 知 道 人 的 靈 是 往 上 昇 升 、 獸 的 魂 是 下 入 地 呢 。 
Ecclesiastes	3	22	Ecclesiastes 3:22	 故 此 、 我 見 人 、 莫 強 如 在 他 經 營 的 事 上 喜 樂 ． 因 為 這 是 他 的 分 ． 他 身 後 的 事 、 誰 能 使 他 回 來 得 見 呢 。 
