book	chapter	verse	title	body
Ephesians	6	1	Ephesians 6:1	 你 們 作 兒 女 的 、 要 在 主 裡 聽 從 父 母 、 這 是 理 所 當 然 的 。 
Ephesians	6	2	Ephesians 6:2	 要 考 敬 父 母 、 使 你 得 福 、 在 世 長 壽 ． 這 是 第 一 條 帶 應 許 的 誡 命 。 
Ephesians	6	3	Ephesians 6:3	 見 上 節 
Ephesians	6	4	Ephesians 6:4	 你 們 作 父 親 的 、 不 要 惹 兒 女 的 氣 、 只 要 照 著 主 的 教 訓 和 警 戒 、 養 育 他 們 。 
Ephesians	6	5	Ephesians 6:5	 你 們 作 僕 人 的 、 要 懼 怕 戰 兢 、 用 誠 實 的 心 聽 從 你 們 肉 身 的 主 人 、 好 像 聽 從 基 督 一 般 。 
Ephesians	6	6	Ephesians 6:6	 不 要 只 在 眼 前 事 奉 、 像 是 討 人 喜 歡 的 、 要 像 基 督 的 僕 人 、 從 心 裡 遵 行 　 神 的 旨 意 ． 
Ephesians	6	7	Ephesians 6:7	 甘 心 事 奉 、 好 像 服 事 主 、 不 像 服 事 人 。 
Ephesians	6	8	Ephesians 6:8	 因 為 曉 得 各 人 所 行 的 善 事 、 不 論 是 為 奴 的 、 是 自 主 的 、 都 必 按 所 行 的 得 主 的 賞 賜 。 
Ephesians	6	9	Ephesians 6:9	 你 們 作 主 人 的 待 僕 人 、 也 是 一 理 、 不 要 威 嚇 他 們 ． 因 為 知 道 他 們 和 你 們 、 同 有 一 位 主 在 天 上 、 他 並 不 偏 待 人 。 
Ephesians	6	10	Ephesians 6:10	 我 還 有 末 了 的 話 、 你 們 要 靠 著 主 、 倚 賴 他 的 大 能 大 力 、 作 剛 強 的 人 。 
Ephesians	6	11	Ephesians 6:11	 要 穿 戴 　 神 所 賜 的 全 副 軍 裝 、 就 能 抵 擋 魔 鬼 的 詭 計 。 
Ephesians	6	12	Ephesians 6:12	 因 我 們 並 不 是 與 屬 血 氣 的 爭 戰 、 乃 是 與 那 些 執 政 的 、 掌 權 的 、 管 轄 這 幽 暗 世 界 的 、 以 及 天 空 屬 靈 氣 的 惡 魔 爭 戰 。 〔 兩 爭 戰 原 文 都 作 摔 跤 〕 
Ephesians	6	13	Ephesians 6:13	 所 以 要 拿 起 　 神 所 賜 的 全 副 軍 裝 、 好 在 磨 難 的 日 子 、 抵 擋 仇 敵 、 並 且 成 就 了 一 切 、 還 能 站 立 得 住 。 
Ephesians	6	14	Ephesians 6:14	 所 以 要 站 穩 了 、 用 真 理 當 作 帶 子 束 腰 、 用 公 義 當 作 護 心 鏡 遮 胸 ． 
Ephesians	6	15	Ephesians 6:15	 又 用 平 安 的 福 音 、 當 作 豫 備 走 路 的 鞋 穿 在 腳 上 ． 
Ephesians	6	16	Ephesians 6:16	 此 外 又 拿 著 信 德 當 作 籐 牌 、 可 以 滅 盡 那 惡 者 一 切 的 火 箭 ． 
Ephesians	6	17	Ephesians 6:17	 並 戴 上 救 恩 的 頭 盔 、 拿 著 聖 靈 的 寶 劍 、 就 是 　 神 的 道 ． 
Ephesians	6	18	Ephesians 6:18	 靠 著 聖 靈 、 隨 時 多 方 禱 告 祈 求 、 並 要 在 此 儆 醒 不 倦 、 為 眾 聖 徒 祈 求 、 
Ephesians	6	19	Ephesians 6:19	 也 為 我 祈 求 、 使 我 得 著 口 才 、 能 以 放 膽 、 開 口 講 明 福 音 的 奧 秘 、 
Ephesians	6	20	Ephesians 6:20	 （ 我 為 這 福 音 的 奧 秘 、 作 了 帶 鎖 鍊 的 使 者 ） 並 使 我 照 著 當 盡 的 本 分 、 放 膽 講 論 。 
Ephesians	6	21	Ephesians 6:21	 今 有 所 親 愛 忠 心 事 奉 主 的 兄 弟 推 基 古 、 他 要 把 我 的 事 情 並 我 的 景 況 如 何 、 全 告 訴 你 們 叫 你 們 知 道 。 
Ephesians	6	22	Ephesians 6:22	 我 特 意 打 發 他 到 你 們 那 裡 去 、 好 叫 你 們 知 道 我 們 的 光 景 、 又 叫 他 安 慰 你 們 的 心 。 
Ephesians	6	23	Ephesians 6:23	 願 平 安 、 仁 愛 、 信 心 、 從 父 　 神 和 主 耶 穌 基 督 、 歸 與 弟 兄 們 。 
Ephesians	6	24	Ephesians 6:24	 並 願 所 有 誠 心 愛 我 們 主 耶 穌 基 督 的 人 、 都 蒙 恩 惠 。 
