book	chapter	verse	title	body
Esther	9	1	Esther 9:1	 十 二 月 、 乃 亞 達 月 、 十 三 日 、 王 的 諭 旨 將 要 舉 行 、 就 是 猶 大 人 的 仇 敵 盼 望 轄 制 他 們 的 日 子 、 猶 大 人 反 倒 轄 制 恨 他 們 的 人 ． 
Esther	9	2	Esther 9:2	 猶 大 人 在 亞 哈 隨 魯 王 各 省 的 城 裡 聚 集 、 下 手 擊 殺 那 要 害 他 們 的 人 ． 無 人 能 敵 擋 他 們 、 因 為 各 族 都 懼 怕 他 們 。 
Esther	9	3	Esther 9:3	 各 省 的 首 領 總 督 省 長 和 辦 理 王 事 的 人 、 因 懼 怕 末 底 改 、 就 都 幫 助 猶 大 人 。 
Esther	9	4	Esther 9:4	 末 底 改 在 朝 中 為 大 、 名 聲 傳 遍 各 省 、 日 漸 昌 盛 。 
Esther	9	5	Esther 9:5	 猶 大 人 用 刀 擊 殺 一 切 仇 敵 、 任 意 殺 滅 恨 他 們 的 人 ． 
Esther	9	6	Esther 9:6	 在 書 珊 城 、 猶 大 人 殺 滅 了 五 百 人 ． 
Esther	9	7	Esther 9:7	 又 殺 巴 珊 大 他 、 達 分 、 亞 斯 帕 他 、 
Esther	9	8	Esther 9:8	 破 拉 他 、 亞 大 利 雅 、 亞 利 大 他 、 
Esther	9	9	Esther 9:9	 帕 瑪 斯 他 、 亞 利 賽 、 亞 利 代 、 瓦 耶 撒 他 ． 
Esther	9	10	Esther 9:10	 這 十 人 都 是 哈 米 大 他 的 孫 子 、 猶 大 人 仇 敵 哈 曼 的 兒 子 ． 猶 大 人 卻 沒 有 下 手 奪 取 財 物 。 
Esther	9	11	Esther 9:11	 當 日 將 書 珊 城 被 殺 的 人 數 、 呈 在 王 前 ． 
Esther	9	12	Esther 9:12	 王 對 王 后 以 斯 帖 說 、 猶 大 人 在 書 珊 城 殺 滅 了 五 百 人 、 又 殺 了 哈 曼 的 十 個 兒 子 ． 在 王 的 各 省 不 知 如 何 呢 ． 現 在 你 要 甚 麼 、 我 必 賜 給 你 、 你 還 求 甚 麼 、 也 必 為 你 成 就 。 
Esther	9	13	Esther 9:13	 以 斯 帖 說 、 王 若 以 為 美 、 求 你 准 書 珊 的 猶 大 人 、 明 日 也 照 今 日 的 旨 意 行 、 並 將 哈 曼 十 個 兒 子 的 屍 首 、 挂 在 木 架 上 。 
Esther	9	14	Esther 9:14	 王 便 允 准 如 此 行 ． 旨 意 傳 在 書 珊 ． 人 就 把 哈 曼 十 個 兒 子 的 屍 首 挂 起 來 了 。 
Esther	9	15	Esther 9:15	 亞 達 月 十 四 日 、 書 珊 的 猶 大 人 又 聚 集 在 書 珊 、 殺 了 三 百 人 ． 卻 沒 有 下 手 奪 取 財 物 。 
Esther	9	16	Esther 9:16	 在 王 各 省 其 餘 的 猶 大 人 也 都 聚 集 保 護 性 命 、 殺 了 恨 他 們 的 人 七 萬 五 千 ． 卻 沒 有 下 手 奪 取 財 物 ． 這 樣 、 就 脫 離 仇 敵 、 得 享 平 安 。 
Esther	9	17	Esther 9:17	 亞 達 月 十 三 日 、 行 了 這 事 ． 十 四 日 安 息 、 以 這 日 為 設 筵 歡 樂 的 日 子 ． 
Esther	9	18	Esther 9:18	 但 書 珊 的 猶 大 人 這 十 三 日 十 四 日 聚 集 殺 戮 仇 敵 ． 十 五 日 安 息 、 以 這 日 為 設 筵 歡 樂 的 日 子 ． 
Esther	9	19	Esther 9:19	 所 以 住 無 城 牆 鄉 村 的 猶 大 人 、 如 今 都 以 亞 達 月 十 四 日 為 設 筵 歡 樂 的 吉 日 、 彼 此 餽 送 禮 物 。 
Esther	9	20	Esther 9:20	 末 底 改 記 錄 這 事 、 寫 信 與 亞 哈 隨 魯 王 各 省 遠 近 所 有 的 猶 大 人 、 
Esther	9	21	Esther 9:21	 囑 咐 他 們 每 年 守 亞 達 月 十 四 十 五 兩 日 、 
Esther	9	22	Esther 9:22	 以 這 月 的 兩 日 、 為 猶 大 人 脫 離 仇 敵 得 平 安 、 轉 憂 為 喜 、 轉 悲 為 樂 的 吉 日 ． 在 這 兩 日 設 筵 歡 樂 、 彼 此 餽 送 禮 物 、 賙 濟 窮 人 。 
Esther	9	23	Esther 9:23	 於 是 猶 大 人 、 按 著 末 底 改 所 寫 與 他 們 的 信 、 應 承 照 初 次 所 守 的 守 為 永 例 。 
Esther	9	24	Esther 9:24	 是 因 猶 大 人 的 仇 敵 、 亞 甲 族 哈 米 大 他 的 兒 子 哈 曼 、 設 謀 殺 害 猶 大 人 、 掣 普 珥 、 就 是 掣 籤 、 為 要 殺 盡 滅 絕 他 們 。 
Esther	9	25	Esther 9:25	 這 事 報 告 於 王 、 王 便 降 旨 使 哈 曼 謀 害 猶 大 人 的 惡 事 、 歸 到 他 自 己 的 頭 上 、 並 吩 咐 把 他 和 他 的 眾 子 、 都 挂 在 木 架 上 。 
Esther	9	26	Esther 9:26	 照 著 普 珥 的 名 字 、 猶 大 人 就 稱 這 兩 日 為 普 珥 日 ． 他 們 因 這 信 上 的 話 、 又 因 所 看 見 所 遇 見 的 事 、 
Esther	9	27	Esther 9:27	 就 應 承 自 己 與 後 裔 、 並 歸 附 他 們 的 人 、 每 年 按 時 必 守 這 兩 日 、 永 遠 不 廢 。 
Esther	9	28	Esther 9:28	 各 省 各 城 、 家 家 戶 戶 、 世 世 代 代 、 紀 念 遵 守 這 兩 日 、 使 這 普 珥 日 在 猶 大 人 中 不 可 廢 掉 ． 在 他 們 後 裔 中 也 不 可 忘 記 。 
Esther	9	29	Esther 9:29	 亞 比 孩 的 女 兒 王 后 以 斯 帖 和 猶 大 人 末 底 改 以 全 權 寫 第 二 封 信 、 堅 囑 猶 大 人 守 這 普 珥 日 ． 
Esther	9	30	Esther 9:30	 用 和 平 誠 實 話 、 寫 信 給 亞 哈 隨 魯 王 國 中 一 百 二 十 七 省 所 有 的 猶 大 人 、 
Esther	9	31	Esther 9:31	 勸 他 們 按 時 守 這 普 珥 日 、 禁 食 呼 求 、 是 照 猶 大 人 末 底 改 和 王 后 以 斯 帖 所 囑 咐 的 、 也 照 猶 大 人 為 自 己 與 後 裔 所 應 承 的 。 
Esther	9	32	Esther 9:32	 以 斯 帖 命 定 守 普 珥 日 ． 這 事 也 記 錄 在 書 上 。 
