book	chapter	verse	title	body
Exodus	8	1	Exodus 8:1	 耶 和 華 吩 咐 摩 西 說 、 你 進 去 見 法 老 、 對 他 說 、 耶 和 華 這 樣 說 、 容 我 的 百 姓 去 、 好 事 奉 我 。 
Exodus	8	2	Exodus 8:2	 你 若 不 肯 容 他 們 去 、 我 必 使 青 蛙 糟 蹋 你 的 四 境 。 
Exodus	8	3	Exodus 8:3	 河 裡 要 滋 生 青 蛙 、 這 青 蛙 要 上 來 進 你 的 宮 殿 、 和 你 的 臥 房 、 上 你 的 床 榻 、 進 你 臣 僕 的 房 屋 、 上 你 百 姓 的 身 上 、 進 你 的 爐  、 和 你 的 摶 麵 盆 ． 
Exodus	8	4	Exodus 8:4	 又 要 上 你 和 你 百 姓 並 你 眾 臣 僕 的 身 上 。 
Exodus	8	5	Exodus 8:5	 耶 和 華 曉 諭 摩 西 說 、 你 對 亞 倫 說 、 把 你 的 杖 伸 在 江 、 河 、 池 以 上 、 使 青 蛙 到 埃 及 地 上 來 。 
Exodus	8	6	Exodus 8:6	 亞 倫 便 伸 杖 在 埃 及 的 諸 水 以 上 、 青 蛙 就 上 來 遮 滿 了 埃 及 地 ． 
Exodus	8	7	Exodus 8:7	 行 法 術 的 也 用 他 們 的 邪 術 照 樣 而 行 、 叫 青 蛙 上 了 埃 及 地 。 
Exodus	8	8	Exodus 8:8	 法 老 召 了 摩 西 亞 倫 來 說 、 請 你 們 求 耶 和 華 使 這 青 蛙 離 開 我 和 我 的 民 、 我 就 容 百 姓 去 祭 祀 耶 和 華 。 
Exodus	8	9	Exodus 8:9	 摩 西 對 法 老 說 、 任 憑 你 罷 、 我 要 何 時 為 你 和 你 的 臣 僕 、 並 你 的 百 姓 、 祈 求 除 滅 青 蛙 離 開 你 和 你 的 宮 殿 、 只 留 在 河 裡 呢 。 
Exodus	8	10	Exodus 8:10	 他 說 、 明 天 、 摩 西 說 、 可 以 照 你 的 話 罷 、 好 叫 你 知 道 沒 有 像 耶 和 華 我 們 　 神 的 。 
Exodus	8	11	Exodus 8:11	 青 蛙 要 離 開 你 和 你 的 宮 殿 、 並 你 的 臣 僕 與 你 的 百 姓 、 只 留 在 河 裡 。 
Exodus	8	12	Exodus 8:12	 於 是 摩 西 亞 倫 離 開 法 老 出 去 ． 摩 西 為 擾 害 法 老 的 青 蛙 呼 求 耶 和 華 。 
Exodus	8	13	Exodus 8:13	 耶 和 華 就 照 摩 西 的 話 行 、 凡 在 房 裡 、 院 中 、 田 間 的 青 蛙 都 死 了 。 
Exodus	8	14	Exodus 8:14	 眾 人 把 青 蛙 聚 攏 成 堆 、 遍 地 就 都 腥 臭 。 
