book	chapter	verse	title	body
Ezekiel	30	1	Ezekiel 30:1	 耶 和 華 的 話 又 臨 到 我 說 、 
Ezekiel	30	2	Ezekiel 30:2	 人 子 阿 、 你 要 發 豫 言 說 、 主 耶 和 華 如 此 說 、 哀 哉 這 日 、 你 們 應 當 哭 號 。 
Ezekiel	30	3	Ezekiel 30:3	 因 為 耶 和 華 的 日 子 臨 近 、 就 是 密 雲 之 日 、 列 國 受 罰 之 期 。 
Ezekiel	30	4	Ezekiel 30:4	 必 有 刀 劍 臨 到 埃 及 、 在 埃 及 被 殺 之 人 仆 倒 的 時 候 、 古 實 人 就 有 痛 苦 、 人 民 必 被 擄 掠 、 基 址 必 被 拆 毀 ． 
Ezekiel	30	5	Ezekiel 30:5	 古 實 人 、 弗 人 、 〔 或 作 呂 彼 亞 人 〕 、 路 德 人 、 雜 族 的 人 民 、 並 古 巴 人 、 以 及 同 盟 之 地 的 人 、 都 要 與 埃 及 人 一 同 倒 在 刀 下 。 
Ezekiel	30	6	Ezekiel 30:6	 耶 和 華 如 此 說 、 扶 助 埃 及 的 、 也 必 傾 倒 ． 埃 及 因 勢 力 而 有 的 驕 傲 、 必 降 低 微 ． 其 中 的 人 民 從 色 弗 尼 塔 起 、 〔 見 二 十 九 章 十 節 〕 必 倒 在 刀 下 ． 這 是 主 耶 和 華 說 的 。 
Ezekiel	30	7	Ezekiel 30:7	 埃 及 地 在 荒 涼 的 國 中 、 必 成 為 荒 涼 ． 埃 及 城 在 荒 廢 的 城 中 、 也 變 為 荒 廢 。 
Ezekiel	30	8	Ezekiel 30:8	 我 在 埃 及 中 使 火  起 、 幫 助 埃 及 的 、 都 被 滅 絕 ． 那 時 、 他 們 就 知 道 我 是 耶 和 華 。 
Ezekiel	30	9	Ezekiel 30:9	 到 那 日 必 有 使 者 坐 船 、 從 我 面 前 出 去 、 使 安 逸 無 慮 的 古 實 人 驚 懼 ． 必 有 痛 苦 臨 到 他 們 、 好 像 埃 及 遭 災 的 日 子 一 樣 ． 看 哪 、 這 事 臨 近 了 。 
Ezekiel	30	10	Ezekiel 30:10	 主 耶 和 華 如 此 說 、 我 必 藉 巴 比 倫 王 尼 布 甲 尼 撒 的 手 、 除 滅 埃 及 眾 人 。 
Ezekiel	30	11	Ezekiel 30:11	 他 和 隨 從 他 的 人 、 就 是 列 國 中 強 暴 的 、 必 進 來 毀 滅 這 地 ． 他 們 必 拔 刀 攻 擊 埃 及 、 使 遍 地 有 被 殺 的 人 。 
Ezekiel	30	12	Ezekiel 30:12	 我 必 使 江 河 乾 涸 、 將 地 賣 在 惡 人 的 手 中 ． 我 必 藉 外 邦 人 的 手 、 使 這 地 和 其 中 所 有 的 、 變 為 淒 涼 ． 這 是 我 耶 和 華 說 的 。 
Ezekiel	30	13	Ezekiel 30:13	 主 耶 和 華 如 此 說 、 我 必 毀 滅 偶 像 、 從 挪 弗 除 滅 神 像 ． 必 不 再 有 君 王 出 自 埃 及 地 ． 我 要 使 埃 及 地 的 人 懼 怕 。 
Ezekiel	30	14	Ezekiel 30:14	 我 必 使 巴 忒 羅 荒 涼 、 在 瑣 安 中 使 火  起 、 向 挪 施 行 審 判 。 
Ezekiel	30	15	Ezekiel 30:15	 我 必 將 我 的 忿 怒 倒 在 埃 及 的 保 障 上 、 就 是 訓 上 ． 並 要 剪 除 挪 的 眾 人 。 
Ezekiel	30	16	Ezekiel 30:16	 我 必 在 埃 及 中 使 火  起 、 訓 必 大 大 痛 苦 ． 挪 必 被 攻 破 ． 挪 弗 白 日 見 仇 敵 。 〔 白 日 或 作 終 日 〕 
Ezekiel	30	17	Ezekiel 30:17	 亞 文 和 比 伯 實 的 少 年 人 、 必 倒 在 刀 下 ． 這 些 城 的 人 、 必 被 擄 掠 。 
Ezekiel	30	18	Ezekiel 30:18	 我 在 答 比 匿 折 斷 埃 及 的 諸 軛 、 使 他 因 勢 力 而 有 的 驕 傲 、 在 其 中 止 息 、 那 時 、 日 光 必 退 去 ． 至 於 這 城 、 必 有 密 雲 遮 蔽 、 其 中 的 女 子 、 必 被 擄 掠 。 
Ezekiel	30	19	Ezekiel 30:19	 我 必 這 樣 向 埃 及 施 行 審 判 ． 他 們 就 知 道 我 是 耶 和 華 。 
Ezekiel	30	20	Ezekiel 30:20	 十 一 年 正 月 初 七 日 、 耶 和 華 的 話 臨 到 我 說 、 
Ezekiel	30	21	Ezekiel 30:21	 人 子 阿 、 我 已 打 折 埃 及 王 法 老 的 膀 臂 ． 沒 有 敷 藥 、 也 沒 有 用 布 纏 好 、 使 他 有 力 持 刀 。 
Ezekiel	30	22	Ezekiel 30:22	 所 以 主 耶 和 華 如 此 說 、 看 哪 、 我 與 埃 及 王 法 老 為 敵 、 必 將 他 有 力 的 膀 臂 、 和 已 打 折 的 膀 臂 、 全 行 打 斷 ． 使 刀 從 他 手 中 墜 落 。 
Ezekiel	30	23	Ezekiel 30:23	 我 必 將 埃 及 人 分 散 在 列 國 、 四 散 在 列 邦 。 
Ezekiel	30	24	Ezekiel 30:24	 我 必 使 巴 比 倫 王 的 膀 臂 有 力 、 將 我 的 刀 交 在 他 手 中 ． 卻 要 打 斷 法 老 的 膀 臂 、 他 就 在 巴 比 倫 王 面 前 唉 哼 、 如 同 受 死 傷 的 人 一 樣 。 
Ezekiel	30	25	Ezekiel 30:25	 我 必 扶 持 巴 比 倫 王 的 膀 臂 、 法 老 的 膀 臂 卻 要 下 垂 、 我 將 我 的 刀 交 在 巴 比 倫 王 手 中 ． 他 必 舉 刀 攻 擊 埃 及 地 ． 他 們 就 知 道 我 是 耶 和 華 。 
Ezekiel	30	26	Ezekiel 30:26	 我 必 將 埃 及 人 分 散 在 列 國 、 四 散 在 列 邦 ． 他 們 就 知 道 我 是 耶 和 華 。 
