book	chapter	verse	title	body
Ezra	6	1	Ezra 6:1	 於 是 大 利 烏 王 降 旨 、 要 尋 察 典 籍 庫 內 、 就 是 在 巴 比 倫 藏 寶 物 之 處 ． 
Ezra	6	2	Ezra 6:2	 在 瑪 代 省 、 亞 馬 他 城 的 宮 內 、 尋 得 一 卷 、 其 中 記 著 說 、 
Ezra	6	3	Ezra 6:3	 古 列 王 元 年 、 他 降 旨 論 到 耶 路 撒 冷 　 神 的 殿 、 要 建 造 這 殿 為 獻 祭 之 處 、 堅 立 殿 的 根 基 、 殿 高 六 十 肘 、 寬 六 十 肘 ． 
Ezra	6	4	Ezra 6:4	 用 三 層 大 石 頭 、 一 層 新 木 頭 、 經 費 要 出 於 王 庫 ． 
Ezra	6	5	Ezra 6:5	 並 且 　 神 殿 的 金 銀 器 皿 、 就 是 尼 布 甲 尼 撒 從 耶 路 撒 冷 的 殿 中 掠 到 巴 比 倫 的 、 要 歸 還 帶 到 耶 路 撒 冷 的 殿 中 、 各 按 原 處 放 在 　 神 的 殿 裡 。 
Ezra	6	6	Ezra 6:6	 現 在 河 西 的 總 督 達 乃 、 和 示 他 波 斯 乃 、 並 你 們 的 同 黨 、 就 是 住 河 西 的 亞 法 薩 迦 人 、 你 們 當 遠 離 他 們 。 
Ezra	6	7	Ezra 6:7	 不 要 攔 阻 　 神 殿 的 工 作 、 任 憑 猶 大 人 的 省 長 、 和 猶 大 人 的 長 老 在 原 處 建 造 　 神 的 這 殿 。 
Ezra	6	8	Ezra 6:8	 我 又 降 旨 、 吩 咐 你 們 向 猶 大 人 的 長 老 為 建 造 　 神 的 殿 、 當 怎 樣 行 、 就 是 從 河 西 的 款 項 中 、 急 速 撥 取 貢 銀 作 他 們 的 經 費 、 免 得 耽 誤 工 作 。 
Ezra	6	9	Ezra 6:9	 他 們 與 天 上 的 　 神 獻 燔 祭 所 需 用 的 公 牛 犢 、 公 綿 羊 、 綿 羊 羔 、 並 所 用 的 麥 子 、 鹽 、 酒 、 油 、 都 要 照 耶 路 撒 冷 祭 司 的 話 、 每 日 供 給 他 們 、 不 得 有 誤 ． 
Ezra	6	10	Ezra 6:10	 好 叫 他 們 獻 馨 香 的 祭 給 天 上 的 　 神 、 又 為 王 、 和 王 眾 子 的 壽 命 祈 禱 。 
Ezra	6	11	Ezra 6:11	 我 再 降 旨 、 無 論 誰 更 改 這 命 令 、 必 從 他 房 屋 中 拆 出 一 根 梁 來 、 把 他 舉 起 、 懸 在 其 上 ． 又 使 他 的 房 屋 成 為 糞 堆 。 
Ezra	6	12	Ezra 6:12	 若 有 王 和 民 伸 手 更 改 這 命 令 、 拆 毀 這 殿 、 願 那 使 耶 路 撒 冷 的 殿 作 為 他 名 居 所 的 　 神 、 將 他 們 滅 絕 ． 我 大 利 烏 降 這 旨 意 、 當 速 速 遵 行 。 
Ezra	6	13	Ezra 6:13	 於 是 河 西 總 督 達 乃 、 和 示 他 波 斯 乃 、 並 他 們 的 同 黨 、 因 大 利 烏 王 所 發 的 命 令 、 就 急 速 遵 行 。 
Ezra	6	14	Ezra 6:14	 猶 大 長 老 因 先 知 哈 該 、 和 易 多 的 孫 子 撒 迦 利 亞 所 說 勸 勉 的 話 、 就 建 造 這 殿 、 凡 事 亨 通 ． 他 們 遵 著 以 色 列 　 神 的 命 令 、 和 波 斯 王 古 列 、 大 利 烏 、 亞 達 薛 西 的 旨 意 、 建 造 完 畢 。 
Ezra	6	15	Ezra 6:15	 大 利 烏 王 第 六 年 、 亞 達 月 初 三 日 、 這 殿 修 成 了 。 
Ezra	6	16	Ezra 6:16	 以 色 列 的 祭 司 、 和 利 未 人 、 並 其 餘 被 擄 歸 回 的 人 、 都 歡 歡 喜 喜 地 行 奉 獻 　 神 殿 的 禮 。 
Ezra	6	17	Ezra 6:17	 行 奉 獻 　 神 殿 的 禮 、 就 獻 公 牛 一 百 隻 、 公 綿 羊 二 百 隻 、 綿 羊 羔 四 百 隻 ． 又 照 以 色 列 支 派 的 數 目 、 獻 公 山 羊 十 二 隻 、 為 以 色 列 眾 人 作 贖 罪 祭 。 
Ezra	6	18	Ezra 6:18	 且 派 祭 司 、 和 利 未 人 、 按 著 班 次 在 耶 路 撒 冷 事 奉 　 神 、 是 照 摩 西 律 法 書 上 所 寫 的 。 
Ezra	6	19	Ezra 6:19	 正 月 十 四 日 、 被 擄 歸 回 的 人 守 逾 越 節 。 
Ezra	6	20	Ezra 6:20	 原 來 祭 司 和 利 未 人 、 一 同 自 潔 、 無 一 人 不 潔 淨 ． 利 未 人 為 被 擄 歸 回 的 眾 人 和 他 們 的 弟 兄 眾 祭 司 、 並 為 自 己 宰 逾 越 節 的 羊 羔 。 
Ezra	6	21	Ezra 6:21	 從 擄 到 之 地 歸 回 的 以 色 列 人 、 和 一 切 除 掉 所 染 外 邦 人 污 穢 歸 附 他 們 、 要 尋 求 耶 和 華 以 色 列 　 神 的 人 、 都 喫 這 羊 羔 。 
Ezra	6	22	Ezra 6:22	 歡 歡 喜 喜 地 守 除 酵 節 七 日 、 因 為 耶 和 華 使 他 們 歡 喜 、 又 使 亞 述 王 的 心 轉 向 他 們 、 堅 固 他 們 的 手 、 作 以 色 列 　 神 殿 的 工 程 。 
