book	chapter	verse	title	body
Galatians	5	1	Galatians 5:1	 基 督 釋 放 了 我 們 、 叫 我 們 得 以 自 由 、 所 以 要 站 立 得 穩 、 不 要 再 被 奴 僕 的 軛 挾 制 。 
Galatians	5	2	Galatians 5:2	 我 保 羅 告 訴 你 們 、 若 受 割 禮 、 基 督 就 與 你 們 無 益 了 。 
Galatians	5	3	Galatians 5:3	 我 再 指 著 凡 受 割 禮 的 人 確 實 的 說 、 他 是 欠 著 行 全 律 法 的 債 。 
Galatians	5	4	Galatians 5:4	 你 們 這 要 靠 律 法 稱 義 的 、 是 與 基 督 隔 絕 、 從 恩 典 中 墜 落 了 。 
Galatians	5	5	Galatians 5:5	 我 們 靠 著 聖 靈 、 憑 著 信 心 、 等 候 所 盼 望 的 義 。 
Galatians	5	6	Galatians 5:6	 原 來 在 基 督 耶 穌 裡 、 受 割 禮 不 受 割 禮 、 全 無 功 效 ． 惟 獨 使 人 生 發 仁 愛 的 信 心 、 纔 有 功 效 。 
Galatians	5	7	Galatians 5:7	 你 們 向 來 跑 得 好 ． 有 誰 攔 阻 你 們 、 叫 你 們 不 順 從 真 理 呢 。 
Galatians	5	8	Galatians 5:8	 這 樣 的 勸 導 、 不 是 出 於 那 召 你 們 的 。 
Galatians	5	9	Galatians 5:9	 一 點 麵 酵 能 使 全 團 都 發 起 來 。 
Galatians	5	10	Galatians 5:10	 我 在 主 裡 很 信 你 們 必 不 懷 別 樣 的 心 ． 但 攪 擾 你 們 的 、 無 論 是 誰 、 必 擔 當 他 的 罪 名 。 
Galatians	5	11	Galatians 5:11	 弟 兄 們 、 我 若 仍 舊 傳 割 禮 、 為 甚 麼 還 受 逼 迫 呢 ． 若 是 這 樣 、 那 十 字 架 討 厭 的 地 方 就 沒 有 了 。 
Galatians	5	12	Galatians 5:12	 恨 不 得 那 攪 亂 你 們 的 人 、 把 自 己 割 絕 了 。 
Galatians	5	13	Galatians 5:13	 弟 兄 們 、 你 們 蒙 召 、 是 要 得 自 由 ． 只 是 不 可 將 你 們 的 自 由 當 作 放 縱 情 慾 的 機 會 ． 總 要 用 愛 心 互 相 服 事 。 
Galatians	5	14	Galatians 5:14	 因 為 全 律 法 都 包 在 愛 人 如 己 這 一 句 話 之 內 了 。 
Galatians	5	15	Galatians 5:15	 你 們 要 謹 慎 ． 若 相 咬 相 吞 、 只 怕 要 彼 此 消 滅 了 。 
Galatians	5	16	Galatians 5:16	 我 說 、 你 們 當 順 著 聖 靈 而 行 、 就 不 放 縱 肉 體 的 情 慾 了 。 
Galatians	5	17	Galatians 5:17	 因 為 情 慾 和 聖 靈 相 爭 、 聖 靈 和 情 慾 相 爭 ． 這 兩 個 是 彼 此 相 敵 、 使 你 們 不 能 作 所 願 意 作 的 。 
Galatians	5	18	Galatians 5:18	 但 你 們 若 被 聖 靈 引 導 、 就 不 在 律 法 以 下 。 
Galatians	5	19	Galatians 5:19	 情 慾 的 事 、 都 是 顯 而 易 見 的 ． 就 如 姦 淫 、 污 穢 、 邪 蕩 、 
Galatians	5	20	Galatians 5:20	 拜 偶 像 、 邪 術 、 仇 恨 、 爭 競 、 忌 恨 、 惱 怒 、 結 黨 、 紛 爭 、 異 端 、 
Galatians	5	21	Galatians 5:21	 嫉 妒 、 〔 有 古 卷 在 此 有 兇 殺 二 字 〕 醉 酒 、 荒 宴 等 類 、 我 從 前 告 訴 你 們 、 現 在 又 告 訴 你 們 、 行 這 樣 事 的 人 、 必 不 能 承 受 　 神 的 國 
Galatians	5	22	Galatians 5:22	 聖 靈 所 結 的 果 子 、 就 是 仁 愛 、 喜 樂 、 和 平 、 忍 耐 、 恩 慈 、 良 善 、 信 實 、 
Galatians	5	23	Galatians 5:23	 溫 柔 、 節 制 ． 這 樣 的 事 、 沒 有 律 法 禁 止 。 
Galatians	5	24	Galatians 5:24	 凡 屬 基 督 耶 穌 的 人 、 是 已 經 把 肉 體 、 連 肉 體 的 邪 情 私 慾 、 同 釘 在 十 字 架 上 了 。 
Galatians	5	25	Galatians 5:25	 我 們 若 是 靠 聖 靈 得 生 、 就 當 靠 聖 靈 行 事 。 
Galatians	5	26	Galatians 5:26	 不 要 貪 圖 虛 名 、 彼 此 惹 氣 、 互 相 嫉 妒 。 
