book	chapter	verse	title	body
Genesis	25	1	Genesis 25:1	 亞 伯 拉 罕 又 娶 了 一 妻 、 名 叫 基 土 拉 、 
Genesis	25	2	Genesis 25:2	 基 土 拉 給 他 生 了 心 蘭 、 約 珊 、 米 但 、 米 甸 、 伊 施 巴 、 和 書 亞 。 
Genesis	25	3	Genesis 25:3	 約 珊 生 了 示 巴 、 和 底 但 。 底 但 的 子 孫 、 是 亞 書 利 族 、 利 都 是 族 、 和 利 烏 米 族 。 
Genesis	25	4	Genesis 25:4	 米 甸 的 兒 子 是 以 法 、 以 弗 、 哈 諾 、 亞 比 大 、 和 以 勒 大 。 這 都 是 基 土 拉 的 子 孫 。 
Genesis	25	5	Genesis 25:5	 亞 伯 拉 罕 將 一 切 所 有 的 都 給 了 以 撒 。 
Genesis	25	6	Genesis 25:6	 亞 伯 拉 罕 把 財 物 分 給 他 庶 出 的 眾 子 、 趁 著 自 己 還 在 世 的 時 候 、 打 發 他 們 離 開 他 的 兒 子 以 撒 往 東 方 去 。 
Genesis	25	7	Genesis 25:7	 亞 伯 拉 罕 一 生 的 年 日 、 是 一 百 七 十 五 歲 。 
Genesis	25	8	Genesis 25:8	 亞 伯 拉 罕 壽 高 年 邁 、 氣 絕 而 死 、 歸 到 他 列 祖 〔 原 文 作 本 民 〕 那 裡 ． 
Genesis	25	9	Genesis 25:9	 他 兩 個 兒 子 以 撒 、 以 實 瑪 利 、 把 他 埋 葬 在 麥 比 拉 洞 裡 ． 這 洞 在 幔 利 前 、 赫 人 瑣 轄 的 兒 子 以 弗 崙 的 田 中 、 
Genesis	25	10	Genesis 25:10	 就 是 亞 伯 拉 罕 向 赫 人 買 的 那 塊 田 ． 亞 伯 拉 罕 和 他 妻 子 撒 拉 、 都 葬 在 那 裡 。 
Genesis	25	11	Genesis 25:11	 亞 伯 拉 罕 死 了 以 後 、 　 神 賜 福 給 他 的 兒 子 以 撒 ． 以 撒 靠 近 庇 耳 拉 海 萊 居 住 。 
Genesis	25	12	Genesis 25:12	 撒 拉 的 使 女 埃 及 人 夏 甲 、 給 亞 伯 拉 罕 所 生 的 兒 子 、 是 以 實 瑪 利 。 
Genesis	25	13	Genesis 25:13	 以 實 瑪 利 兒 子 們 的 名 字 、 按 著 他 們 的 家 譜 、 記 在 下 面 ． 以 實 瑪 利 的 長 子 是 尼 拜 約 、 又 有 基 達 、 亞 德 別 、 米 比 衫 、 
Genesis	25	14	Genesis 25:14	 米 施 瑪 、 度 瑪 、 瑪 撒 、 
Genesis	25	15	Genesis 25:15	 哈 大 、 提 瑪 、 伊 突 、 拿 非 施 、 基 底 瑪 ． 
Genesis	25	16	Genesis 25:16	 這 是 以 實 瑪 利 眾 子 的 名 字 、 照 著 他 們 的 村 莊 、 營 寨 、 作 了 十 二 族 的 族 長 。 
Genesis	25	17	Genesis 25:17	 以 實 瑪 利 享 壽 一 百 三 十 七 歲 、 氣 絕 而 死 、 歸 到 他 列 祖 〔 原 文 作 本 民 〕 那 裡 。 
Genesis	25	18	Genesis 25:18	 他 子 孫 的 住 處 在 他 眾 弟 兄 東 邊 、 從 哈 腓 拉 直 到 埃 及 前 的 書 珥 、 正 在 亞 述 的 道 上 。 
Genesis	25	19	Genesis 25:19	 亞 伯 拉 罕 的 兒 子 以 撒 的 後 代 、 記 在 下 面 ． 亞 伯 拉 罕 生 以 撒 、 
Genesis	25	20	Genesis 25:20	 以 撒 娶 利 百 加 為 妻 的 時 候 、 正 四 十 歲 ． 利 百 加 是 巴 旦 亞 蘭 地 的 亞 蘭 人 、 彼 土 利 的 女 兒 、 是 亞 蘭 人 拉 班 的 妹 子 。 
Genesis	25	21	Genesis 25:21	 以 撒 因 他 妻 子 不 生 育 、 就 為 他 祈 求 耶 和 華 、 耶 和 華 應 允 他 的 祈 求 、 他 的 妻 子 利 百 加 就 懷 了 孕 。 
Genesis	25	22	Genesis 25:22	 孩 子 們 在 他 腹 中 彼 此 相 爭 、 他 就 說 、 若 是 這 樣 、 我 為 甚 麼 活 著 呢 ． 〔 或 作 我 為 甚 麼 如 此 呢 〕 他 就 去 求 問 耶 和 華 。 
Genesis	25	23	Genesis 25:23	 耶 和 華 對 他 說 、 兩 國 在 你 腹 內 、 兩 族 要 從 你 身 上 出 來 、 這 族 必 強 於 那 族 、 將 來 大 的 要 服 事 小 的 。 
Genesis	25	24	Genesis 25:24	 生 產 的 日 子 到 了 、 腹 中 果 然 是 雙 子 。 
Genesis	25	25	Genesis 25:25	 先 產 的 身 體 發 紅 、 渾 身 有 毛 、 如 同 皮 衣 ． 他 們 就 給 他 起 名 叫 以 掃 。 〔 以 掃 就 是 有 毛 的 意 思 〕 
Genesis	25	26	Genesis 25:26	 隨 後 又 生 了 以 掃 的 兄 弟 、 手 抓 住 以 掃 的 腳 跟 、 因 此 給 他 起 名 叫 雅 各 。 〔 雅 各 就 是 抓 住 的 意 思 〕 利 百 加 生 下 兩 個 兒 子 的 時 候 、 以 撒 年 正 六 十 歲 。 
Genesis	25	27	Genesis 25:27	 兩 個 孩 子 漸 漸 長 大 、 以 掃 善 於 打 獵 、 常 在 田 野 ． 雅 各 為 人 安 靜 、 常 住 在 帳 棚 裡 。 
Genesis	25	28	Genesis 25:28	 以 撒 愛 以 掃 、 因 為 常 喫 他 的 野 味 ． 利 百 加 卻 愛 雅 各 。 
Genesis	25	29	Genesis 25:29	 有 一 天 、 雅 各 熬 湯 、 以 掃 從 田 野 回 來 累 昏 了 。 
Genesis	25	30	Genesis 25:30	 以 掃 對 雅 各 說 、 我 累 昏 了 、 求 你 把 這 紅 湯 給 我 喝 ． 因 此 以 掃 又 叫 以 東 。 〔 以 東 就 是 紅 的 意 思 〕 
Genesis	25	31	Genesis 25:31	 雅 各 說 、 你 今 日 把 長 子 的 名 分 賣 給 我 罷 。 
Genesis	25	32	Genesis 25:32	 以 掃 說 、 我 將 要 死 、 這 長 子 的 名 分 於 我 有 甚 麼 益 處 呢 。 
Genesis	25	33	Genesis 25:33	 雅 各 說 、 你 今 日 對 我 起 誓 罷 ． 以 掃 就 對 他 起 了 誓 、 把 長 子 的 名 分 賣 給 雅 各 。 
Genesis	25	34	Genesis 25:34	 於 是 雅 各 將 餅 和 紅 豆 湯 給 了 以 掃 、 以 掃 喫 了 喝 了 、 便 起 來 走 了 ． 這 就 是 以 掃 輕 看 了 他 長 子 的 名 分 。 
