book	chapter	verse	title	body
Habakkuk	3	1	Habakkuk 3:1	 先 知 哈 巴 谷 的 禱 告 、 調 用 流 離 歌 。 
Habakkuk	3	2	Habakkuk 3:2	 耶 和 華 阿 、 我 聽 見 你 的 名 聲 、 〔 名 聲 或 作 言 語 〕 就 懼 怕 。 耶 和 華 阿 、 求 你 在 這 些 年 間 復 興 你 的 作 為 、 在 這 些 年 間 顯 明 出 來 、 在 發 怒 的 時 候 、 以 憐 憫 為 念 。 
Habakkuk	3	3	Habakkuk 3:3	 　 神 從 提 幔 而 來 、 聖 者 從 巴 蘭 山 臨 到 。 〔 細 拉 〕 他 的 榮 光 遮 蔽 諸 天 、 頌 讚 充 滿 大 地 。 
Habakkuk	3	4	Habakkuk 3:4	 他 的 輝 煌 如 同 日 光 ． 從 他 手 裡 射 出 光 線 ． 在 其 中 藏 著 他 的 能 力 。 
Habakkuk	3	5	Habakkuk 3:5	 在 他 前 面 有 瘟 疫 流 行 、 在 他 腳 下 有 熱 症 發 出 。 
Habakkuk	3	6	Habakkuk 3:6	 他 站 立 、 量 了 大 地 ． 〔 或 作 使 地 震 動 〕 觀 看 、 趕 散 萬 民 ． 永 久 的 山 崩 裂 、 長 存 的 嶺 塌 陷 ． 他 的 作 為 與 古 時 一 樣 。 
Habakkuk	3	7	Habakkuk 3:7	 我 見 古 珊 的 帳 棚 遭 難 、 米 甸 的 幔 子 戰 兢 。 
Habakkuk	3	8	Habakkuk 3:8	 耶 和 華 阿 、 你 乘 在 馬 上 、 坐 在 得 勝 的 車 上 、 豈 是 不 喜 悅 江 河 、 向 江 河 發 怒 氣 、 向 洋 海 發 憤 恨 麼 。 
Habakkuk	3	9	Habakkuk 3:9	 你 的 弓 全 然 顯 露 向 眾 支 派 所 起 的 誓 、 都 是 可 信 的 。 〔 細 拉 〕 你 以 江 河 分 開 大 地 。 
Habakkuk	3	10	Habakkuk 3:10	 山 嶺 見 你 、 無 不 戰 懼 ． 大 水 氾 濫 過 去 、 深 淵 發 聲 、 洶 湧 翻 騰 。 〔 原 文 作 向 上 舉 手 〕 
Habakkuk	3	11	Habakkuk 3:11	 因 你 的 箭 射 出 發 光 、 你 的 槍 閃 出 光 耀 、 日 月 都 在 本 宮 停 住 。 
Habakkuk	3	12	Habakkuk 3:12	 你 發 憤 恨 通 行 大 地 、 發 怒 氣 責 打 列 國 、 如 同 打 糧 。 
Habakkuk	3	13	Habakkuk 3:13	 你 出 來 要 拯 救 你 的 百 姓 、 拯 救 你 的 受 膏 者 、 打 破 惡 人 家 長 的 頭 、 露 出 他 的 腳 、 〔 腳 原 文 作 根 基 〕 直 到 頸 項 。 〔 細 拉 〕 
Habakkuk	3	14	Habakkuk 3:14	 你 用 敵 人 的 戈 矛 刺 透 他 戰 士 的 頭 ． 他 們 來 如 旋 風 、 要 將 我 們 分 散 。 他 們 所 喜 愛 的 、 是 暗 中 吞 喫 貧 民 。 
Habakkuk	3	15	Habakkuk 3:15	 你 乘 馬 踐 踏 紅 海 、 就 是 踐 踏 洶 湧 的 大 水 。 
Habakkuk	3	16	Habakkuk 3:16	 我 聽 見 耶 和 華 的 聲 音 、 身 體 戰 兢 、 嘴 唇 發 顫 、 骨 中 朽 爛 ． 我 在 所 立 之 處 戰 兢 ． 我 只 可 安 靜 等 候 災 難 之 日 臨 到 、 犯 境 之 民 上 來 。 
Habakkuk	3	17	Habakkuk 3:17	 雖 然 無 花 果 樹 不 發 旺 、 葡 萄 樹 不 結 果 、 橄 欖 樹 也 不 效 力 、 田 地 不 出 糧 食 、 圈 中 絕 了 羊 、 棚 內 也 沒 有 牛 ． 
Habakkuk	3	18	Habakkuk 3:18	 然 而 我 要 因 耶 和 華 歡 欣 、 因 救 我 的 　 神 喜 樂 。 
Habakkuk	3	19	Habakkuk 3:19	 主 耶 和 華 是 我 的 力 量 ． 他 使 我 的 腳 快 如 母 鹿 的 蹄 、 又 使 我 穩 行 在 高 處 。 這 歌 交 與 伶 長 、 用 絲 弦 的 樂 器 。 
