book	chapter	verse	title	body
Hebrews	5	1	Hebrews 5:1	 凡 從 人 間 挑 選 的 大 祭 司 、 是 奉 派 替 人 辦 理 屬 　 神 的 事 、 為 要 獻 上 禮 物 、 和 贖 罪 祭 ． 〔 或 作 要 為 罪 獻 上 禮 物 和 祭 物 〕 
Hebrews	5	2	Hebrews 5:2	 他 能 體 諒 那 愚 蒙 的 、 和 失 迷 的 人 、 因 為 他 自 己 也 是 被 軟 弱 所 困 ． 
Hebrews	5	3	Hebrews 5:3	 故 此 他 理 當 為 百 姓 和 自 己 獻 祭 贖 罪 。 
Hebrews	5	4	Hebrews 5:4	 這 大 祭 司 的 尊 榮 、 沒 有 人 自 取 、 惟 要 蒙 　 神 所 召 、 像 亞 倫 一 樣 。 
Hebrews	5	5	Hebrews 5:5	 如 此 、 基 督 也 不 是 自 取 榮 耀 作 大 祭 司 、 乃 是 在 乎 向 他 說 『 你 是 我 的 兒 子 、 我 今 日 生 你 。 』 的 那 一 位 ． 
Hebrews	5	6	Hebrews 5:6	 就 如 經 上 又 有 一 處 說 、 『 你 是 照 著 麥 基 洗 德 的 等 次 永 遠 為 祭 司 。 』 
Hebrews	5	7	Hebrews 5:7	 基 督 在 肉 體 的 時 候 、 既 大 聲 哀 哭 、 流 淚 禱 告 懇 求 那 能 救 他 免 死 的 主 、 就 因 他 的 虔 誠 、 蒙 了 應 允 。 
Hebrews	5	8	Hebrews 5:8	 他 雖 然 為 兒 子 、 還 是 因 所 受 的 苦 難 學 了 順 從 ． 
Hebrews	5	9	Hebrews 5:9	 他 既 得 以 完 全 、 就 為 凡 順 從 他 的 人 、 成 了 永 遠 得 救 的 根 源 ． 
Hebrews	5	10	Hebrews 5:10	 並 蒙 　 神 照 著 麥 基 洗 德 的 等 次 稱 他 為 大 祭 司 。 
Hebrews	5	11	Hebrews 5:11	 論 到 麥 基 洗 德 、 我 們 有 好 些 話 、 並 且 難 以 解 明 、 因 為 你 們 聽 不 進 去 。 
Hebrews	5	12	Hebrews 5:12	 看 你 們 學 習 的 工 夫 、 本 該 作 師 傅 、 誰 知 還 得 有 人 將 　 神 聖 言 小 學 的 開 端 、 另 教 導 你 們 ． 並 且 成 了 那 必 須 喫 奶 、 不 能 喫 乾 糧 的 人 。 
Hebrews	5	13	Hebrews 5:13	 凡 只 能 喫 奶 的 、 都 不 熟 練 仁 義 的 道 理 ． 因 為 他 是 嬰 孩 。 
Hebrews	5	14	Hebrews 5:14	 惟 獨 長 大 成 人 的 、 纔 能 喫 乾 糧 、 他 們 的 心 竅 、 習 練 得 通 達 、 就 能 分 辨 好 歹 了 。 
