book	chapter	verse	title	body
Hosea	6	1	Hosea 6:1	 來 罷 、 我 們 歸 向 耶 和 華 ． 他 撕 裂 我 們 、 也 必 醫 治 ． 他 打 傷 我 們 、 也 必 纏 裹 。 
Hosea	6	2	Hosea 6:2	 過 兩 天 他 必 使 我 們 甦 醒 、 第 三 天 他 必 使 我 們 興 起 、 我 們 就 在 他 面 前 得 以 存 活 。 
Hosea	6	3	Hosea 6:3	 我 們 務 要 認 識 耶 和 華 、 竭 力 追 求 認 識 他 ． 他 出 現 確 如 晨 光 、 他 必 臨 到 我 們 像 甘 雨 、 像 滋 潤 田 地 的 春 雨 。 
Hosea	6	4	Hosea 6:4	 主 說 、 以 法 蓮 哪 、 我 可 向 你 怎 樣 行 呢 ． 猶 大 阿 、 我 可 向 你 怎 樣 作 呢 ． 因 為 你 們 的 良 善 如 同 早 晨 的 雲 霧 、 又 如 速 散 的 甘 露 。 
Hosea	6	5	Hosea 6:5	 因 此 、 我 藉 先 知 砍 伐 他 們 、 以 我 口 中 的 話 殺 戮 他 們 、 我 施 行 的 審 判 如 光 發 出 。 
Hosea	6	6	Hosea 6:6	 我 喜 愛 良 善 、 〔 或 作 憐 恤 〕 不 喜 愛 祭 祀 、 喜 愛 認 識 　 神 、 勝 於 燔 祭 。 
Hosea	6	7	Hosea 6:7	 他 們 卻 如 亞 當 背 約 、 在 境 內 向 我 行 事 詭 詐 。 
Hosea	6	8	Hosea 6:8	 基 列 是 作 孽 之 人 的 城 、 被 血 沾 染 。 
Hosea	6	9	Hosea 6:9	 強 盜 成 群 、 怎 樣 埋 伏 殺 人 ． 祭 司 結 黨 、 也 照 樣 在 示 劍 的 路 上 殺 戮 、 行 了 邪 惡 。 
Hosea	6	10	Hosea 6:10	 在 以 色 列 家 、 我 見 了 可 憎 的 事 、 在 以 法 蓮 那 裡 有 淫 行 、 以 色 列 被 玷 污 。 
Hosea	6	11	Hosea 6:11	 猶 大 阿 、 我 使 被 擄 之 民 歸 回 的 時 候 、 必 有 為 你 所 命 定 的 收 場 。 
