book	chapter	verse	title	body
Isaiah	7	1	Isaiah 7:1	 烏 西 雅 的 孫 子 約 坦 的 兒 子 猶 大 王 亞 哈 斯 在 位 的 時 候 、 亞 蘭 王 利 汛 、 和 利 瑪 利 的 兒 子 以 色 列 王 比 加 上 來 攻 打 耶 路 撒 冷 、 卻 不 能 攻 取 。 
Isaiah	7	2	Isaiah 7:2	 有 人 告 訴 大 衛 家 說 、 亞 蘭 與 以 法 蓮 已 經 同 盟 ． 王 的 心 、 和 百 姓 的 心 就 都 跳 動 、 好 像 林 中 的 樹 被 風 吹 動 一 樣 。 
Isaiah	7	3	Isaiah 7:3	 耶 和 華 對 以 賽 亞 說 、 你 和 你 的 兒 子 施 亞 雅 述 出 去 、 到 上 池 的 水 溝 頭 、 在 漂 布 地 的 大 路 上 、 去 迎 接 亞 哈 斯 ． 
Isaiah	7	4	Isaiah 7:4	 對 他 說 、 你 要 謹 慎 安 靜 ． 不 要 因 亞 蘭 王 利 汛 、 和 利 瑪 利 的 兒 子 、 這 兩 個 冒 煙 的 火 把 頭 所 發 的 烈 怒 害 怕 、 也 不 要 心 裡 膽 怯 。 
Isaiah	7	5	Isaiah 7:5	 因 為 亞 蘭 、 和 以 法 蓮 、 並 利 瑪 利 的 兒 子 、 設 惡 謀 害 你 、 
Isaiah	7	6	Isaiah 7:6	 說 、 我 們 可 以 上 去 、 攻 擊 猶 大 、 擾 亂 他 、 攻 破 他 、 在 其 中 立 他 比 勒 的 兒 子 為 王 ． 
Isaiah	7	7	Isaiah 7:7	 所 以 主 耶 和 華 如 此 說 、 這 所 謀 的 必 立 不 住 、 也 不 得 成 就 。 
Isaiah	7	8	Isaiah 7:8	 原 來 亞 蘭 的 首 城 是 大 馬 色 、 大 馬 色 的 首 領 是 利 汛 ． 六 十 五 年 之 內 、 以 法 蓮 必 然 破 壞 、 不 再 成 為 國 民 ． 
Isaiah	7	9	Isaiah 7:9	 以 法 蓮 的 首 城 是 撒 瑪 利 亞 、 撒 瑪 利 亞 的 首 領 是 利 瑪 利 的 兒 子 。 你 們 若 是 不 信 、 定 然 不 得 立 穩 。 
Isaiah	7	10	Isaiah 7:10	 耶 和 華 又 曉 諭 亞 哈 斯 說 、 
Isaiah	7	11	Isaiah 7:11	 你 向 耶 和 華 你 的 　 神 求 一 個 兆 頭 ． 或 求 顯 在 深 處 、 或 求 顯 在 高 處 。 
Isaiah	7	12	Isaiah 7:12	 亞 哈 斯 說 、 我 不 求 、 我 不 試 探 耶 和 華 。 
Isaiah	7	13	Isaiah 7:13	 以 賽 亞 說 、 大 衛 家 阿 、 你 們 當 聽 ． 你 們 使 人 厭 煩 豈 算 小 事 、 還 要 使 我 的 　 神 厭 煩 麼 。 
Isaiah	7	14	Isaiah 7:14	 因 此 、 主 自 己 要 給 你 們 一 個 兆 頭 、 必 有 童 女 懷 孕 生 子 、 給 他 起 名 叫 以 馬 內 利 。 〔 就 是 　 神 與 我 們 同 在 的 意 思 〕 
Isaiah	7	15	Isaiah 7:15	 到 他 曉 得 棄 惡 擇 善 的 時 候 、 他 必 喫 奶 油 與 蜂 蜜 。 
Isaiah	7	16	Isaiah 7:16	 因 為 在 這 孩 子 還 不 曉 得 棄 惡 擇 善 之 先 、 你 所 憎 惡 的 那 二 王 之 地 、 必 致 見 棄 。 
Isaiah	7	17	Isaiah 7:17	 耶 和 華 必 使 亞 述 王 攻 擊 你 的 日 子 臨 到 、 你 和 你 的 百 姓 、 並 你 的 父 家 、 自 從 以 法 蓮 離 開 猶 大 以 來 、 未 曾 有 這 樣 的 日 子 。 
Isaiah	7	18	Isaiah 7:18	 那 時 、 耶 和 華 要 發  聲 、 使 埃 及 江 河 源 頭 的  蠅 、 和 亞 述 地 的 蜂 子 飛 來 。 
Isaiah	7	19	Isaiah 7:19	 都 必 飛 來 、 落 在 荒 涼 的 谷 內 、 磐 石 的 穴 裡 、 和 一 切 荊 棘 籬 笆 中 、 並 一 切 的 草 場 上 。 
Isaiah	7	20	Isaiah 7:20	 那 時 、 主 必 用 大 河 外 賃 的 剃 頭 刀 、 就 是 亞 述 王 、 剃 去 頭 髮 、 和 腳 上 的 毛 、 並 要 剃 淨 鬍 鬚 。 
Isaiah	7	21	Isaiah 7:21	 那 時 、 一 個 人 要 養 活 一 隻 母 牛 犢 、 兩 隻 母 綿 羊 ． 
Isaiah	7	22	Isaiah 7:22	 因 為 出 的 奶 多 、 他 就 得 喫 奶 油 ． 在 境 內 所 剩 的 人 、 都 要 喫 奶 油 與 蜂 蜜 。 
Isaiah	7	23	Isaiah 7:23	 從 前 凡 種 一 千 棵 葡 萄 樹 、 值 銀 一 千 舍 客 勒 的 地 方 、 到 那 時 、 必 長 荊 棘 和 蒺 藜 。 
Isaiah	7	24	Isaiah 7:24	 人 上 那 裡 去 、 必 帶 弓 箭 、 因 為 遍 地 滿 了 荊 棘 和 蒺 藜 。 
Isaiah	7	25	Isaiah 7:25	 所 有 用 鋤 刨 挖 的 山 地 、 你 因 怕 荊 棘 和 蒺 藜 、 不 敢 上 那 裡 去 ． 只 可 成 了 放 牛 之 處 、 為 羊 踐 踏 之 地 。 
