book	chapter	verse	title	body
James	1	1	James 1:1	 作 　 神 和 主 耶 穌 基 督 僕 人 的 雅 各 、 請 散 住 十 二 個 支 派 之 人 的 安 。 
James	1	2	James 1:2	 我 的 弟 兄 們 、 你 們 落 在 百 般 試 煉 中 、 都 要 以 為 大 喜 樂 ． 
James	1	3	James 1:3	 因 為 知 道 你 們 的 信 心 經 過 試 驗 、 就 生 忍 耐 。 
James	1	4	James 1:4	 但 忍 耐 也 當 成 功 、 使 你 們 成 全 完 備 、 毫 無 缺 欠 。 
James	1	5	James 1:5	 你 們 中 間 若 有 缺 少 智 慧 的 、 應 當 求 那 厚 賜 與 眾 人 、 也 不 斥 責 人 的 　 神 、 主 就 必 賜 給 他 。 
James	1	6	James 1:6	 只 要 憑 著 信 心 求 、 一 點 不 疑 惑 ． 因 為 那 疑 惑 的 人 、 就 像 海 中 的 波 浪 、 被 風 吹 動 翻 騰 。 
James	1	7	James 1:7	 這 樣 的 人 、 不 要 想 從 主 那 裡 得 甚 麼 ． 
James	1	8	James 1:8	 心 懷 二 意 的 人 、 在 他 一 切 所 行 的 路 上 、 都 沒 有 定 見 。 
James	1	9	James 1:9	 卑 微 的 弟 兄 升 高 、 就 該 喜 樂 ． 
James	1	10	James 1:10	 富 足 的 降 卑 、 也 該 如 此 ． 因 為 他 必 要 過 去 、 如 同 草 上 的 花 一 樣 ． 
James	1	11	James 1:11	 太 陽 出 來 、 熱 風 颳 起 、 草 就 枯 乾 、 花 也 凋 謝 、 美 容 就 消 沒 了 ． 那 富 足 的 人 、 在 他 所 行 的 事 上 、 也 要 這 樣 衰 殘 。 
James	1	12	James 1:12	 忍 受 試 探 的 人 是 有 福 的 ． 因 為 他 經 過 試 驗 以 後 、 必 得 生 命 的 冠 冕 、 這 是 主 應 許 給 那 些 愛 他 之 人 的 。 
James	1	13	James 1:13	 人 被 試 探 、 不 可 說 、 我 是 被 　 神 試 探 ． 因 為 　 神 不 能 被 惡 試 探 、 他 也 不 試 探 人 ． 
James	1	14	James 1:14	 但 各 人 被 試 探 、 乃 是 被 自 己 的 私 慾 牽 引 誘 惑 的 。 
James	1	15	James 1:15	 私 慾 既 懷 了 胎 、 就 生 出 罪 來 ． 罪 既 長 成 、 就 生 出 死 來 。 
James	1	16	James 1:16	 我 親 愛 的 弟 兄 們 、 不 要 看 錯 了 。 
James	1	17	James 1:17	 各 樣 美 善 的 恩 賜 、 和 各 樣 全 備 的 賞 賜 、 都 是 從 上 頭 來 的 ． 從 眾 光 之 父 那 裡 降 下 來 的 ． 在 他 並 沒 有 改 變 、 也 沒 有 轉 動 的 影 兒 。 
James	1	18	James 1:18	 他 按 自 己 的 旨 意 、 用 真 道 生 了 我 們 、 叫 我 們 在 他 所 造 的 萬 物 中 、 好 像 初 熟 的 果 子 。 
James	1	19	James 1:19	 我 親 愛 的 弟 兄 們 、 這 是 你 們 所 知 道 的 ． 但 你 們 各 人 要 快 快 的 聽 、 僈 僈 的 說 、 慢 慢 的 動 怒 ． 
James	1	20	James 1:20	 因 為 人 的 怒 氣 、 並 不 成 就 　 神 的 義 。 
James	1	21	James 1:21	 所 以 你 們 要 脫 去 一 切 的 污 穢 、 和 盈 餘 的 邪 惡 、 存 溫 柔 的 心 領 受 那 所 栽 種 的 道 、 就 是 能 救 你 們 靈 魂 的 道 。 
James	1	22	James 1:22	 只 是 你 們 要 行 道 、 不 要 單 單 聽 道 、 自 己 欺 哄 自 己 ． 
James	1	23	James 1:23	 因 為 聽 道 而 不 行 道 的 、 就 像 人 對 著 鏡 子 看 自 己 本 來 的 面 目 ． 
James	1	24	James 1:24	 看 見 、 走 後 、 隨 即 忘 了 他 的 相 貌 如 何 。 
James	1	25	James 1:25	 惟 有 詳 細 察 看 那 全 備 使 人 自 由 之 律 法 的 、 並 且 時 常 如 此 、 這 人 既 不 是 聽 了 就 忘 、 乃 是 實 在 行 出 來 、 就 在 他 所 行 的 事 上 必 然 得 福 。 
James	1	26	James 1:26	 若 有 人 自 以 為 虔 誠 、 卻 不 勒 住 他 的 舌 頭 、 反 欺 哄 自 己 的 心 、 這 人 的 虔 誠 是 虛 的 。 
James	1	27	James 1:27	 在 　 神 我 們 的 父 面 前 、 那 清 潔 沒 有 玷 污 的 虔 誠 、 就 是 看 顧 在 患 難 中 的 孤 兒 寡 婦 、 並 且 保 守 自 己 不 沾 染 世 俗 。 
