book	chapter	verse	title	body
Jeremiah	8	1	Jeremiah 8:1	 耶 和 華 說 、 到 那 時 人 必 將 猶 大 王 的 骸 骨 、 和 他 首 領 的 骸 骨 、 祭 司 的 骸 骨 、 先 知 的 骸 骨 、 並 耶 路 撒 冷 居 民 的 骸 骨 、 都 從 墳 墓 中 取 出 來 、 
Jeremiah	8	2	Jeremiah 8:2	 拋 散 在 日 頭 、 月 亮 、 和 天 上 眾 星 之 下 、 就 是 他 們 從 前 所 喜 愛 、 所 事 奉 、 所 隨 從 、 所 求 問 、 所 敬 拜 的 ． 這 些 骸 骨 不 再 收 殮 、 不 再 葬 埋 ． 必 在 地 面 上 、 成 為 糞 土 。 
Jeremiah	8	3	Jeremiah 8:3	 並 且 這 惡 族 所 剩 下 的 民 、 在 我 所 趕 他 們 到 的 各 處 、 寧 可 揀 死 不 揀 生 、 這 是 萬 軍 之 耶 和 華 說 的 。 
Jeremiah	8	4	Jeremiah 8:4	 你 要 對 他 們 說 、 耶 和 華 如 此 說 、 人 跌 倒 、 不 再 起 來 麼 ． 人 轉 去 、 不 再 轉 來 麼 。 
Jeremiah	8	5	Jeremiah 8:5	 這 耶 路 撒 冷 的 民 、 為 何 恆 久 背 道 呢 ． 他 們 守 定 詭 詐 、 不 肯 回 頭 。 
Jeremiah	8	6	Jeremiah 8:6	 我 留 心 聽 、 聽 見 他 們 說 不 正 直 的 話 ． 無 人 悔 改 惡 行 、 說 、 我 作 的 是 甚 麼 呢 ． 他 們 各 人 轉 奔 己 路 、 如 馬 直 闖 戰 場 。 
Jeremiah	8	7	Jeremiah 8:7	 空 中 的 鸛 鳥 、 知 道 來 去 的 定 期 ． 班 鳩 燕 子 與 白 鶴 、 也 守 候 當 來 的 時 令 ． 我 的 百 姓 、 卻 不 知 道 耶 和 華 的 法 則 。 
Jeremiah	8	8	Jeremiah 8:8	 你 們 怎 麼 說 、 我 們 有 智 慧 、 耶 和 華 的 律 法 在 我 們 這 裡 ． 看 哪 、 文 士 的 假 筆 舞 弄 虛 假 。 
Jeremiah	8	9	Jeremiah 8:9	 智 慧 人 慚 愧 、 驚 惶 、 被 擒 拿 ． 他 們 棄 掉 耶 和 華 的 話 、 心 裡 還 有 甚 麼 智 慧 呢 。 
Jeremiah	8	10	Jeremiah 8:10	 所 以 我 必 將 他 們 的 妻 子 給 別 人 、 將 他 們 的 田 地 給 別 人 為 業 ． 因 為 他 們 從 最 小 的 到 至 大 的 、 都 一 味 地 貪 婪 ． 從 先 知 到 祭 司 、 都 行 事 虛 謊 。 
Jeremiah	8	11	Jeremiah 8:11	 他 們 輕 輕 忽 忽 的 醫 治 我 百 姓 的 損 傷 、 說 、 平 安 了 、 平 安 了 ． 其 實 沒 有 平 安 。 
Jeremiah	8	12	Jeremiah 8:12	 他 們 行 可 憎 的 事 、 知 道 慚 愧 麼 ． 不 然 、 他 們 毫 不 慚 愧 、 也 不 知 羞 恥 ． 因 此 他 們 必 在 仆 倒 的 人 中 仆 倒 ． 我 向 他 們 討 罪 的 時 候 、 他 們 必 致 跌 倒 ． 這 是 耶 和 華 說 的 。 
Jeremiah	8	13	Jeremiah 8:13	 耶 和 華 說 、 我 必 使 他 們 全 然 滅 絕 ． 葡 萄 樹 上 必 沒 有 葡 萄 、 無 花 果 樹 上 必 沒 有 果 子 、 葉 子 也 必 枯 乾 ． 我 所 賜 給 他 們 的 、 必 離 開 他 們 過 去 。 
Jeremiah	8	14	Jeremiah 8:14	 我 們 為 何 靜 坐 不 動 呢 ． 我 們 當 聚 集 、 進 入 堅 固 城 、 在 那 裡 靜 默 不 言 ． 因 為 耶 和 華 我 們 的 　 神 、 使 我 們 靜 默 不 言 、 又 將 苦 膽 水 給 我 們 喝 、 都 因 我 們 得 罪 了 耶 和 華 。 
Jeremiah	8	15	Jeremiah 8:15	 我 們 指 望 平 安 、 卻 得 不 著 好 處 ． 指 望 痊 愈 的 時 候 、 不 料 、 受 了 驚 惶 ． 
Jeremiah	8	16	Jeremiah 8:16	 聽 見 從 但 那 裡 敵 人 的 馬 噴 鼻 氣 ． 他 的 壯 馬 發 嘶 聲 、 全 地 就 都 震 動 ． 因 為 他 們 來 吞 滅 這 地 、 和 其 上 所 有 的 ． 吞 滅 這 城 、 與 其 中 的 居 民 。 
Jeremiah	8	17	Jeremiah 8:17	 看 哪 、 我 必 使 毒 蛇 到 你 們 中 間 、 是 不 服 法 術 的 、 必 咬 你 們 ． 這 是 耶 和 華 說 的 。 
Jeremiah	8	18	Jeremiah 8:18	 我 有 憂 愁 、 願 能 自 慰 ． 我 心 在 我 裡 面 發 昏 。 
Jeremiah	8	19	Jeremiah 8:19	 聽 阿 、 是 我 百 姓 的 哀 聲 、 從 極 遠 之 地 而 來 、 說 、 耶 和 華 不 在 錫 安 麼 ． 錫 安 的 王 不 在 其 中 麼 ． 耶 和 華 說 、 他 們 為 甚 麼 以 雕 刻 的 偶 像 、 和 外 邦 虛 無 的 神 、 惹 我 發 怒 呢 。 
Jeremiah	8	20	Jeremiah 8:20	 麥 秋 已 過 、 夏 令 已 完 、 我 們 還 未 得 救 。 
Jeremiah	8	21	Jeremiah 8:21	 先 知 說 、 因 我 百 姓 的 損 傷 、 我 也 受 了 損 傷 ． 我 哀 痛 ． 驚 惶 將 我 抓 住 。 
Jeremiah	8	22	Jeremiah 8:22	 在 基 列 豈 沒 有 乳 香 呢 ． 在 那 裡 豈 沒 有 醫 生 呢 ． 我 百 姓 為 何 不 得 痊 愈 呢 。 
