book	chapter	verse	title	body
John	20	1	John 20:1	 七 日 的 第 一 日 清 早 、 天 還 黑 的 時 候 、 抹 大 拉 的 馬 利 亞 來 到 墳 墓 那 裡 、 看 見 石 頭 從 墳 墓 挪 開 了 ． 
John	20	2	John 20:2	 就 跑 來 見 西 門 彼 得 、 和 耶 穌 所 愛 的 那 個 門 徒 、 對 他 們 說 、 有 人 把 主 從 墳 墓 裡 挪 了 去 、 我 們 不 知 道 放 在 那 裡 。 
John	20	3	John 20:3	 彼 得 和 那 門 徒 就 出 來 、 往 墳 墓 那 裡 去 。 
John	20	4	John 20:4	 兩 個 人 同 跑 、 那 門 徒 比 彼 得 跑 得 更 快 、 先 到 了 墳 墓 ． 
John	20	5	John 20:5	 低 頭 往 裡 看 、 就 見 細 麻 布 還 放 在 那 裡 ． 只 是 沒 有 進 去 。 
John	20	6	John 20:6	 西 門 彼 得 隨 後 也 到 了 、 進 墳 墓 裡 去 、 就 看 見 細 麻 布 還 放 在 那 裡 ． 
John	20	7	John 20:7	 又 看 見 耶 穌 的 裹 頭 巾 、 沒 有 和 細 麻 布 放 在 一 處 、 是 另 在 一 處 捲 著 。 
John	20	8	John 20:8	 先 到 墳 墓 的 那 門 徒 也 進 去 、 看 見 就 信 了 。 
John	20	9	John 20:9	 因 為 他 們 還 不 明 白 聖 經 的 意 思 、 就 是 耶 穌 必 要 從 死 裡 復 活 。 
John	20	10	John 20:10	 於 是 兩 個 門 徒 回 自 己 的 住 處 去 了 。 
John	20	11	John 20:11	 馬 利 亞 卻 站 在 墳 墓 外 面 哭 ． 哭 的 時 候 、 低 頭 往 墳 墓 裡 看 、 
John	20	12	John 20:12	 就 見 兩 個 天 使 、 穿 著 白 衣 、 在 安 放 耶 穌 身 體 的 地 方 坐 著 、 一 個 在 頭 、 一 個 在 腳 。 
John	20	13	John 20:13	 天 使 對 他 說 、 婦 人 、 你 為 甚 麼 哭 。 他 說 、 因 為 有 人 把 我 主 挪 了 去 、 我 不 知 道 放 在 那 裡 。 
John	20	14	John 20:14	 說 了 這 話 、 就 轉 過 身 來 、 看 見 耶 穌 站 在 那 裡 、 卻 不 知 道 是 耶 穌 。 
John	20	15	John 20:15	 耶 穌 問 他 說 、 婦 人 、 為 甚 麼 哭 、 你 找 誰 呢 。 馬 利 亞 以 為 是 看 園 的 、 就 對 他 說 、 先 生 、 若 是 你 把 他 移 了 去 、 請 告 訴 我 、 你 把 他 放 在 那 裡 、 我 便 去 取 他 。 
John	20	16	John 20:16	 耶 穌 說 、 馬 利 亞 。 馬 利 亞 就 轉 過 來 、 用 希 伯 來 話 對 他 說 、 拉 波 尼 ． （ 拉 波 尼 就 是 夫 子 的 意 思 。 ） 
