book	chapter	verse	title	body
Jonah	3	1	Jonah 3:1	 耶 和 華 的 話 、 二 次 臨 到 約 拿 說 、 
Jonah	3	2	Jonah 3:2	 你 起 來 、 往 尼 尼 微 大 城 去 、 向 其 中 的 居 民 宣 告 我 所 吩 咐 你 的 話 。 
Jonah	3	3	Jonah 3:3	 約 拿 便 照 耶 和 華 的 話 起 來 、 往 尼 尼 微 去 。 這 尼 尼 微 是 極 大 的 城 、 有 三 日 的 路 程 。 
Jonah	3	4	Jonah 3:4	 約 拿 進 城 走 了 一 日 、 宣 告 說 、 再 等 四 十 日 、 尼 尼 微 必 傾 覆 了 。 
Jonah	3	5	Jonah 3:5	 尼 尼 微 人 信 服 　 神 、 便 宣 告 禁 食 、 從 最 大 的 到 至 小 的 都 穿 麻 衣 。 〔 或 作 披 上 麻 布 〕 
Jonah	3	6	Jonah 3:6	 這 信 息 傳 到 尼 尼 微 王 的 耳 中 、 他 就 下 了 寶 座 、 脫 下 朝 服 、 披 上 麻 布 、 坐 在 灰 中 。 
Jonah	3	7	Jonah 3:7	 他 又 使 人 遍 告 尼 尼 微 通 城 說 、 王 和 大 臣 有 令 、 人 不 可 嘗 甚 麼 、 牲 畜 、 牛 羊 、 不 可 喫 草 、 也 不 可 喝 水 。 
Jonah	3	8	Jonah 3:8	 人 與 牲 畜 都 當 披 上 麻 布 、 人 要 切 切 求 告 　 神 ． 各 人 回 頭 離 開 所 行 的 惡 道 、 丟 棄 手 中 的 強 暴 。 
Jonah	3	9	Jonah 3:9	 或 者 　 神 轉 意 後 悔 、 不 發 烈 怒 、 使 我 們 不 至 滅 亡 、 也 未 可 知 。 
Jonah	3	10	Jonah 3:10	 於 是 　 神 察 看 他 們 的 行 為 、 見 他 們 離 開 惡 道 、 他 就 後 悔 、 不 把 所 說 的 災 禍 降 與 他 們 了 。 
