book	chapter	verse	title	body
Joshua	4	1	Joshua 4:1	 國 民 盡 都 過 了 約 但 河 、 耶 和 華 就 對 約 書 亞 說 、 
Joshua	4	2	Joshua 4:2	 你 從 民 中 要 揀 選 十 二 個 人 、 每 支 派 一 人 、 
Joshua	4	3	Joshua 4:3	 吩 咐 他 們 說 、 你 們 從 這 裡 、 從 約 但 河 中 、 祭 司 腳 站 定 的 地 方 、 取 十 二 塊 石 頭 帶 過 去 、 放 在 你 們 今 夜 要 住 宿 的 地 方 。 
Joshua	4	4	Joshua 4:4	 於 是 約 書 亞 將 他 從 以 色 列 人 中 所 豫 備 的 那 十 二 個 人 、 每 支 派 一 人 、 都 召 了 來 ． 
Joshua	4	5	Joshua 4:5	 對 他 們 說 、 你 們 下 約 但 河 中 、 過 到 耶 和 華 你 們 　 神 的 約 櫃 前 頭 、 按 著 以 色 列 人 十 二 支 派 的 數 目 、 每 人 取 一 塊 石 頭 扛 在 肩 上 。 
Joshua	4	6	Joshua 4:6	 這 些 石 頭 在 你 們 中 間 可 以 作 為 證 據 ． 日 後 你 們 的 子 孫 問 你 們 說 、 這 些 石 頭 、 是 甚 麼 意 思 ． 
Joshua	4	7	Joshua 4:7	 你 們 就 對 他 們 說 、 這 是 因 為 約 但 河 的 水 、 在 耶 和 華 的 約 櫃 前 斷 絕 ． 約 櫃 過 約 但 河 的 時 候 、 約 但 河 的 水 就 斷 絕 了 ． 這 些 石 頭 要 作 以 色 列 人 永 遠 的 記 念 。 
Joshua	4	8	Joshua 4:8	 以 色 列 人 就 照 約 書 亞 所 吩 咐 的 、 按 著 以 色 列 人 支 派 的 數 目 、 從 約 但 河 中 取 了 十 二 塊 石 頭 、 都 遵 耶 和 華 所 吩 咐 約 書 亞 的 行 了 ． 他 們 把 石 頭 帶 過 去 、 到 他 們 所 住 宿 的 地 方 、 就 放 在 那 裡 。 
Joshua	4	9	Joshua 4:9	 約 書 亞 另 把 十 二 塊 石 頭 立 在 約 但 河 中 、 在 抬 約 櫃 的 祭 司 腳 站 立 的 地 方 ． 直 到 今 日 、 那 石 頭 還 在 那 裡 。 
Joshua	4	10	Joshua 4:10	 抬 約 櫃 的 祭 司 站 在 約 但 河 中 、 等 到 耶 和 華 曉 諭 約 書 亞 吩 咐 百 姓 的 事 辦 完 了 、 是 照 摩 西 所 吩 咐 約 書 亞 的 一 切 話 ． 於 是 百 姓 急 速 過 去 了 。 
Joshua	4	11	Joshua 4:11	 眾 百 姓 盡 都 過 了 河 、 耶 和 華 的 約 櫃 和 祭 司 就 在 百 姓 面 前 過 去 。 
Joshua	4	12	Joshua 4:12	 流 便 人 、 迦 得 人 、 瑪 拿 西 半 支 派 的 人 、 都 照 摩 西 所 吩 咐 他 們 的 、 帶 著 兵 器 在 以 色 列 人 前 頭 過 去 。 
Joshua	4	13	Joshua 4:13	 約 有 四 萬 人 、 都 準 備 打 仗 、 在 耶 和 華 面 前 過 去 、 到 耶 利 哥 的 平 原 、 等 候 上 陣 。 
Joshua	4	14	Joshua 4:14	 當 那 日 耶 和 華 使 約 書 亞 在 以 色 列 眾 人 眼 前 尊 大 ． 在 他 平 生 的 日 子 、 百 姓 敬 畏 他 、 像 從 前 敬 畏 摩 西 一 樣 。 
Joshua	4	15	Joshua 4:15	 耶 和 華 曉 諭 約 書 亞 說 、 
Joshua	4	16	Joshua 4:16	 你 吩 咐 抬 法 櫃 的 祭 司 、 從 約 但 河 裡 上 來 。 
Joshua	4	17	Joshua 4:17	 約 書 亞 就 吩 咐 祭 司 說 、 你 們 從 約 但 河 裡 上 來 。 
Joshua	4	18	Joshua 4:18	 抬 耶 和 華 約 櫃 的 祭 司 從 約 但 河 裡 上 來 、 腳 掌 剛 落 旱 地 、 約 但 河 的 水 就 流 到 原 處 、 仍 舊 漲 過 兩 岸 。 
Joshua	4	19	Joshua 4:19	 正 月 初 十 日 、 百 姓 從 約 但 河 裡 上 來 、 就 在 吉 甲 、 在 耶 利 哥 的 東 邊 安 營 。 
Joshua	4	20	Joshua 4:20	 他 們 從 約 但 河 中 取 來 的 那 十 二 塊 石 頭 、 約 書 亞 就 立 在 吉 甲 ． 
Joshua	4	21	Joshua 4:21	 對 以 色 列 人 說 、 日 後 你 們 的 子 孫 問 他 們 的 父 親 說 、 這 些 石 頭 是 甚 麼 意 思 ． 
Joshua	4	22	Joshua 4:22	 你 們 就 告 訴 他 們 說 、 以 色 列 人 曾 走 乾 地 過 這 約 但 河 ． 
Joshua	4	23	Joshua 4:23	 因 為 耶 和 華 你 們 的 　 神 、 在 你 們 前 面 、 使 約 但 河 的 水 乾 了 、 等 著 你 們 過 來 、 就 如 耶 和 華 你 們 的 　 神 、 從 前 在 我 們 前 面 、 使 紅 海 乾 了 、 等 著 我 們 過 來 一 樣 ． 
Joshua	4	24	Joshua 4:24	 要 使 地 上 萬 民 都 知 道 耶 和 華 的 手 、 大 有 能 力 ． 也 要 使 你 們 永 遠 敬 畏 耶 和 華 你 們 的 　 神 。 
