book	chapter	verse	title	body
Judges	17	1	Judges 17:1	 以 法 蓮 山 地 有 一 個 人 名 叫 米 迦 、 
Judges	17	2	Judges 17:2	 他 對 母 親 說 、 你 那 一 千 一 百 舍 客 勒 銀 子 被 人 拿 去 、 你 因 此 咒 詛 、 並 且 告 訴 了 我 、 看 哪 、 這 銀 子 在 我 這 裡 、 是 我 拿 去 了 ． 他 母 親 說 、 我 兒 阿 、 願 耶 和 華 賜 福 與 你 。 
Judges	17	3	Judges 17:3	 米 迦 就 把 這 一 千 一 百 舍 客 勒 銀 子 還 他 母 親 ． 他 母 親 說 我 分 出 這 銀 子 來 為 你 獻 給 耶 和 華 、 好 雕 刻 一 個 像 、 鑄 成 一 個 像 、 現 在 我 還 是 交 給 你 。 
Judges	17	4	Judges 17:4	 米 迦 將 銀 子 還 他 母 親 、 他 母 親 將 二 百 舍 客 勒 銀 子 交 給 銀 匠 、 雕 刻 一 個 像 、 鑄 成 一 個 像 、 安 置 在 米 迦 的 屋 內 。 
Judges	17	5	Judges 17:5	 這 米 迦 有 了 神 堂 、 又 製 造 以 弗 得 、 和 家 中 的 神 像 、 分 派 他 一 個 兒 子 作 祭 司 。 
Judges	17	6	Judges 17:6	 那 時 以 色 列 中 沒 有 王 、 各 人 任 意 而 行 。 
Judges	17	7	Judges 17:7	 猶 大 伯 利 恆 有 一 個 少 年 人 、 是 猶 大 族 的 利 未 人 、 他 在 那 裡 寄 居 。 
Judges	17	8	Judges 17:8	 這 人 離 開 猶 大 伯 利 恆 城 、 要 找 一 個 可 住 的 地 方 ． 行 路 的 時 候 、 到 了 以 法 蓮 山 地 、 走 到 米 迦 的 家 。 
Judges	17	9	Judges 17:9	 米 迦 問 他 說 、 你 從 那 裡 來 ． 他 回 答 說 、 從 猶 大 伯 利 恆 來 、 我 是 利 未 人 、 要 找 一 個 可 住 的 地 方 。 
Judges	17	10	Judges 17:10	 米 迦 說 、 你 可 以 住 在 我 這 裡 、 我 以 你 為 父 為 祭 司 ． 我 每 年 給 你 十 舍 客 勒 銀 子 、 一 套 衣 服 、 和 度 日 的 食 物 ． 利 未 人 就 進 了 他 的 家 。 
Judges	17	11	Judges 17:11	 利 未 人 情 願 與 那 人 同 住 ． 那 人 看 這 少 年 人 如 自 己 的 兒 子 一 樣 。 
Judges	17	12	Judges 17:12	 米 迦 分 派 這 少 年 的 利 未 人 作 祭 司 、 他 就 住 在 米 迦 的 家 裡 。 
Judges	17	13	Judges 17:13	 米 迦 說 、 現 在 我 知 道 耶 和 華 必 賜 福 與 我 、 因 我 有 一 個 利 未 人 作 祭 司 。 
