book	chapter	verse	title	body
Lamentations	3	1	Lamentations 3:1	 我 是 因 耶 和 華 忿 怒 的 杖 、 遭 遇 困 苦 的 人 。 
Lamentations	3	2	Lamentations 3:2	 他 引 導 我 、 使 我 行 在 黑 暗 中 、 不 行 在 光 明 裡 。 
Lamentations	3	3	Lamentations 3:3	 他 真 是 終 日 再 三 反 手 攻 擊 我 。 
Lamentations	3	4	Lamentations 3:4	 他 使 我 的 皮 肉 枯 乾 ． 他 折 斷 〔 或 作 壓 傷 〕 我 的 骨 頭 。 
Lamentations	3	5	Lamentations 3:5	 他 築 壘 攻 擊 我 、 用 苦 楚 〔 原 文 作 苦 膽 〕 和 艱 難 圍 困 我 。 
Lamentations	3	6	Lamentations 3:6	 他 使 我 住 在 幽 暗 之 處 、 像 死 了 許 久 的 人 一 樣 。 
Lamentations	3	7	Lamentations 3:7	 他 用 籬 笆 圍 住 我 、 使 我 不 能 出 去 ． 他 使 我 的 銅 鍊 沉 重 。 
Lamentations	3	8	Lamentations 3:8	 我 哀 號 求 救 、 他 使 我 的 禱 告 、 不 得 上 達 。 
Lamentations	3	9	Lamentations 3:9	 他 用 鑿 過 的 石 頭 、 擋 住 我 的 道 ． 他 使 我 的 路 彎 曲 。 
Lamentations	3	10	Lamentations 3:10	 他 向 我 如 熊 埋 伏 、 如 獅 子 在 隱 密 處 。 
Lamentations	3	11	Lamentations 3:11	 他 使 我 轉 離 正 路 、 將 我 撕 碎 、 使 我 淒 涼 。 
Lamentations	3	12	Lamentations 3:12	 他 張 弓 將 我 當 作 箭 靶 子 。 
Lamentations	3	13	Lamentations 3:13	 他 把 箭 袋 中 的 箭 、 射 入 我 的 肺 腑 。 
Lamentations	3	14	Lamentations 3:14	 我 成 了 眾 民 的 笑 話 ． 他 們 終 日 以 我 為 歌 曲 。 
Lamentations	3	15	Lamentations 3:15	 他 用 苦 楚 充 滿 我 、 使 我 飽 用 茵 蔯 。 
Lamentations	3	16	Lamentations 3:16	 他 又 用 沙 石 磣 斷 我 的 牙 、 用 灰 塵 將 我 蒙 蔽 。 
Lamentations	3	17	Lamentations 3:17	 你 使 我 遠 離 平 安 ． 我 忘 記 好 處 。 
Lamentations	3	18	Lamentations 3:18	 我 就 說 、 我 的 力 量 衰 敗 、 我 在 耶 和 華 那 裡 、 毫 無 指 望 。 
Lamentations	3	19	Lamentations 3:19	 耶 和 華 阿 、 求 你 記 念 我 如 茵 蔯 和 苦 膽 的 困 苦 窘 迫 。 
Lamentations	3	20	Lamentations 3:20	 我 心 想 念 這 些 、 就 在 裡 面 憂 悶 。 
Lamentations	3	21	Lamentations 3:21	 我 想 起 這 事 、 心 裡 就 有 指 望 。 
Lamentations	3	22	Lamentations 3:22	 我 們 不 至 消 滅 、 是 出 於 耶 和 華 諸 般 的 慈 愛 、 是 因 他 的 憐 憫 、 不 至 斷 絕 。 
Lamentations	3	23	Lamentations 3:23	 每 早 晨 這 都 是 新 的 ． 你 的 誠 實 、 極 其 廣 大 。 
Lamentations	3	24	Lamentations 3:24	 我 心 裡 說 、 耶 和 華 是 我 的 分 ． 因 此 、 我 要 仰 望 他 。 
Lamentations	3	25	Lamentations 3:25	 凡 等 候 耶 和 華 、 心 裡 尋 求 他 的 、 耶 和 華 必 施 恩 給 他 。 
Lamentations	3	26	Lamentations 3:26	 人 仰 望 耶 和 華 、 靜 默 等 候 他 的 救 恩 、 這 原 是 好 的 。 
Lamentations	3	27	Lamentations 3:27	 人 在 幼 年 負 軛 、 這 原 是 好 的 。 
Lamentations	3	28	Lamentations 3:28	 他 當 獨 坐 無 言 、 因 為 這 是 耶 和 華 加 在 他 身 上 的 。 
Lamentations	3	29	Lamentations 3:29	 他 當 口 貼 塵 埃 、 或 者 有 指 望 。 
Lamentations	3	30	Lamentations 3:30	 他 當 由 人 打 他 的 腮 頰 ． 要 滿 受 凌 辱 。 
Lamentations	3	31	Lamentations 3:31	 因 為 主 必 不 永 遠 丟 棄 人 。 
Lamentations	3	32	Lamentations 3:32	 主 雖 使 人 憂 愁 、 還 要 照 他 諸 般 的 慈 愛 發 憐 憫 。 
Lamentations	3	33	Lamentations 3:33	 因 他 並 不 甘 心 使 人 受 苦 、 使 人 憂 愁 。 
Lamentations	3	34	Lamentations 3:34	 人 將 世 上 被 囚 的 、 踹 〔 原 文 作 壓 〕 在 腳 下 、 
