book	chapter	verse	title	body
Leviticus	16	1	Leviticus 16:1	 亞 倫 的 兩 個 兒 子 近 到 耶 和 華 面 前 死 了 ． 死 了 之 後 、 耶 和 華 曉 諭 摩 西 說 、 
Leviticus	16	2	Leviticus 16:2	 要 告 訴 你 哥 哥 亞 倫 、 不 可 隨 時 進 聖 所 的 幔 子 內 、 到 櫃 上 的 施 恩 座 前 、 免 得 他 死 亡 、 因 為 我 要 從 雲 中 顯 現 在 施 恩 座 上 ． 
Leviticus	16	3	Leviticus 16:3	 亞 倫 進 聖 所 要 帶 一 隻 公 牛 犢 為 贖 罪 祭 、 一 隻 公 綿 羊 為 燔 祭 。 
Leviticus	16	4	Leviticus 16:4	 要 穿 上 細 麻 布 聖 內 袍 、 把 細 麻 布 褲 子 穿 在 身 上 、 腰 束 細 麻 布 帶 子 、 頭 戴 細 麻 布 冠 冕 ． 這 都 是 聖 服 ． 他 要 用 水 洗 身 、 然 後 穿 戴 。 
Leviticus	16	5	Leviticus 16:5	 要 從 以 色 列 會 眾 取 兩 隻 公 山 羊 為 贖 罪 祭 、 一 隻 公 綿 羊 為 燔 祭 。 
Leviticus	16	6	Leviticus 16:6	 亞 倫 要 把 贖 罪 祭 的 公 牛 奉 上 、 為 自 己 和 本 家 贖 罪 ． 
Leviticus	16	7	Leviticus 16:7	 也 要 把 兩 隻 公 山 羊 、 安 置 在 會 幕 門 口 、 耶 和 華 面 前 。 
Leviticus	16	8	Leviticus 16:8	 為 那 兩 隻 羊 拈 鬮 、 一 鬮 歸 與 耶 和 華 、 一 鬮 歸 與 阿 撒 瀉 勒 。 
Leviticus	16	9	Leviticus 16:9	 亞 倫 要 把 那 拈 鬮 歸 與 耶 和 華 的 羊 、 獻 為 贖 罪 祭 ． 
Leviticus	16	10	Leviticus 16:10	 但 那 拈 鬮 歸 與 阿 撒 瀉 勒 的 羊 、 要 活 著 安 置 在 耶 和 華 面 前 、 用 以 贖 罪 、 打 發 人 送 到 曠 野 去 、 歸 與 阿 撒 瀉 勒 。 
Leviticus	16	11	Leviticus 16:11	 亞 倫 要 把 贖 罪 祭 的 公 牛 牽 來 宰 了 、 為 自 己 和 本 家 贖 罪 ． 
Leviticus	16	12	Leviticus 16:12	 拿 香 爐 、 從 耶 和 華 面 前 的 壇 上 、 盛 滿 火 炭 、 又 拿 一 捧 搗 細 的 香 料 、 都 帶 入 幔 子 內 、 
Leviticus	16	13	Leviticus 16:13	 在 耶 和 華 面 前 、 把 香 放 在 火 上 、 使 香 的 煙 雲 遮 掩 法 櫃 上 的 施 恩 座 、 免 得 他 死 亡 ． 
Leviticus	16	14	Leviticus 16:14	 也 要 取 些 公 牛 的 血 、 用 指 頭 彈 在 施 恩 座 的 東 面 、 又 在 施 恩 座 的 前 面 、 彈 血 七 次 。 
Leviticus	16	15	Leviticus 16:15	 隨 後 他 要 宰 那 為 百 姓 作 贖 罪 祭 的 公 山 羊 、 把 羊 的 血 帶 入 幔 子 內 、 彈 在 施 恩 座 的 上 面 、 和 前 面 、 好 像 彈 公 牛 的 血 一 樣 。 
Leviticus	16	16	Leviticus 16:16	 他 因 以 色 列 人 諸 般 的 污 穢 、 過 犯 、 就 是 他 們 一 切 的 罪 愆 、 當 這 樣 在 聖 所 行 贖 罪 之 禮 、 並 因 會 幕 在 他 們 污 穢 之 中 、 也 要 照 樣 而 行 。 
Leviticus	16	17	Leviticus 16:17	 他 進 聖 所 贖 罪 的 時 候 、 會 幕 裡 不 可 有 人 、 直 等 到 他 為 自 己 和 本 家 、 並 以 色 列 全 會 眾 、 贖 了 罪 出 來 。 
Leviticus	16	18	Leviticus 16:18	 他 出 來 、 要 到 耶 和 華 面 前 的 壇 那 裡 、 在 壇 上 行 贖 罪 之 禮 、 又 要 取 些 公 牛 的 血 、 和 公 山 羊 的 血 、 抹 在 壇 上 四 角 的 周 圍 ． 
Leviticus	16	19	Leviticus 16:19	 也 要 用 指 頭 把 血 彈 在 壇 上 七 次 、 潔 淨 了 壇 、 從 壇 上 除 掉 以 色 列 人 諸 般 的 污 穢 、 使 壇 成 聖 。 
Leviticus	16	20	Leviticus 16:20	 亞 倫 為 聖 所 、 和 會 幕 、 並 壇 、 獻 完 了 贖 罪 祭 、 就 要 把 那 隻 活 著 的 公 山 羊 奉 上 ． 
Leviticus	16	21	Leviticus 16:21	 兩 手 按 在 羊 頭 上 、 承 認 以 色 列 人 諸 般 的 罪 孽 、 過 犯 、 就 是 他 們 一 切 的 罪 愆 、 把 這 罪 都 歸 在 羊 的 頭 上 、 藉 著 所 派 之 人 的 手 、 送 到 曠 野 去 。 
Leviticus	16	22	Leviticus 16:22	 要 把 這 羊 放 在 曠 野 ． 這 羊 要 擔 當 他 們 一 切 的 罪 孽 、 帶 到 無 人 之 地 。 
Leviticus	16	23	Leviticus 16:23	 亞 倫 要 進 會 幕 、 把 他 進 聖 所 時 所 穿 的 細 麻 布 衣 服 脫 下 、 放 在 那 裡 ． 
Leviticus	16	24	Leviticus 16:24	 又 要 在 聖 處 用 水 洗 身 、 穿 上 衣 服 、 出 來 、 把 自 己 的 燔 祭 、 和 百 姓 的 燔 祭 獻 上 、 為 自 己 和 百 姓 贖 罪 。 
Leviticus	16	25	Leviticus 16:25	 贖 罪 祭 牲 的 脂 油 、 要 在 壇 上 焚 燒 。 
Leviticus	16	26	Leviticus 16:26	 那 放 羊 歸 與 阿 撒 瀉 勒 的 人 、 要 洗 衣 服 、 用 水 洗 身 、 然 後 進 營 。 
Leviticus	16	27	Leviticus 16:27	 作 贖 罪 祭 的 公 牛 、 和 公 山 羊 的 血 、 既 帶 入 聖 所 贖 罪 、 這 牛 羊 就 要 搬 到 營 外 、 將 皮 、 肉 、 糞 、 用 火 焚 燒 。 
Leviticus	16	28	Leviticus 16:28	 焚 燒 的 人 要 洗 衣 服 、 用 水 洗 身 、 然 後 進 營 。 
Leviticus	16	29	Leviticus 16:29	 每 逢 七 月 初 十 日 、 你 們 要 刻 苦 己 心 、 無 論 是 本 地 人 、 是 寄 居 在 你 們 中 間 的 外 人 、 甚 麼 工 都 不 可 作 ． 這 要 作 你 們 永 遠 的 定 例 。 
Leviticus	16	30	Leviticus 16:30	 因 在 這 日 要 為 你 們 贖 罪 、 使 你 們 潔 淨 ． 你 們 要 在 耶 和 華 面 前 得 以 潔 淨 、 脫 盡 一 切 的 罪 愆 。 
Leviticus	16	31	Leviticus 16:31	 這 日 你 們 要 守 為 聖 安 息 日 ． 要 刻 苦 己 心 ． 這 為 永 遠 的 定 例 。 
Leviticus	16	32	Leviticus 16:32	 那 受 膏 接 續 他 父 親 承 接 聖 職 的 祭 司 、 要 穿 上 細 麻 布 的 聖 衣 、 行 贖 罪 之 禮 。 
Leviticus	16	33	Leviticus 16:33	 他 要 在 至 聖 所 、 和 會 幕 、 與 壇 、 行 贖 罪 之 禮 ． 並 要 為 眾 祭 司 、 和 會 眾 的 百 姓 贖 罪 。 
Leviticus	16	34	Leviticus 16:34	 這 要 作 你 們 永 遠 的 定 例 、 就 是 因 以 色 列 人 一 切 的 罪 、 要 一 年 一 次 為 他 們 贖 罪 。 於 是 、 亞 倫 照 耶 和 華 所 吩 咐 摩 西 的 行 了 。 
