book	chapter	verse	title	body
Mark	16	1	Mark 16:1	 過 了 安 息 日 、 抹 大 拉 的 馬 利 亞 、 和 雅 各 的 母 親 馬 利 亞 、 並 撒 羅 米 、 買 了 香 膏 、 要 去 膏 耶 穌 的 身 體 。 
Mark	16	2	Mark 16:2	 七 日 的 第 一 日 清 早 、 出 太 陽 的 時 候 、 他 們 來 到 墳 墓 那 裡 。 
Mark	16	3	Mark 16:3	 彼 此 說 、 誰 給 我 們 把 石 頭 從 墓 門 輥 開 呢 。 
Mark	16	4	Mark 16:4	 那 石 頭 原 來 很 大 、 他 們 抬 頭 一 看 、 卻 見 石 頭 已 經 輥 開 了 。 
Mark	16	5	Mark 16:5	 他 們 進 了 墳 墓 、 看 見 一 個 少 年 人 坐 在 右 邊 、 穿 著 白 袍 ． 就 甚 驚 恐 。 
Mark	16	6	Mark 16:6	 那 少 年 人 對 他 們 說 、 不 要 驚 恐 ． 你 們 尋 找 那 釘 十 字 架 的 拿 撒 勒 人 耶 穌 ． 他 已 經 復 活 了 、 不 在 這 裡 ． 請 看 安 放 他 的 地 方 。 
Mark	16	7	Mark 16:7	 你 們 可 以 去 告 訴 他 的 門 徒 和 彼 得 說 、 他 在 你 們 以 先 往 加 利 利 去 ． 在 那 裡 你 們 要 見 他 、 正 如 他 從 前 所 告 訴 你 們 的 。 
Mark	16	8	Mark 16:8	 他 們 就 出 來 、 從 墳 墓 那 裡 逃 跑 ． 又 發 抖 、 又 驚 奇 、 甚 麼 也 不 告 訴 人 ． 因 為 他 們 害 怕 。 
Mark	16	9	Mark 16:9	 在 七 日 的 第 一 日 清 早 、 耶 穌 復 活 了 、 就 先 向 抹 大 拉 的 馬 利 亞 顯 現 ． 耶 穌 從 他 身 上 曾 趕 出 七 個 鬼 。 
Mark	16	10	Mark 16:10	 他 去 告 訴 那 向 來 跟 隨 耶 穌 的 人 ． 那 時 他 們 正 哀 慟 哭 泣 。 
Mark	16	11	Mark 16:11	 他 們 聽 見 耶 穌 活 了 、 被 馬 利 亞 看 見 、 卻 是 不 信 。 
Mark	16	12	Mark 16:12	 這 事 以 後 、 門 徒 中 間 有 兩 個 人 、 往 鄉 下 去 ． 走 路 的 時 候 、 耶 穌 變 了 形 像 向 他 們 顯 現 、 
Mark	16	13	Mark 16:13	 他 們 就 去 告 訴 其 餘 的 門 徒 ． 其 餘 的 門 徒 、 也 是 不 信 。 
Mark	16	14	Mark 16:14	 後 來 十 一 個 門 徒 坐 席 的 時 候 、 耶 穌 向 他 們 顯 現 、 責 備 他 們 不 信 、 心 裡 剛 硬 ． 因 為 他 們 不 信 那 些 在 他 復 活 以 後 看 見 他 的 人 。 
Mark	16	15	Mark 16:15	 他 又 對 他 們 說 、 你 們 往 普 天 下 去 、 傳 福 音 給 萬 民 聽 。 〔 萬 民 原 文 作 凡 受 造 的 〕 
Mark	16	16	Mark 16:16	 信 而 受 洗 的 必 然 得 救 ． 不 信 的 必 被 定 罪 。 
Mark	16	17	Mark 16:17	 信 的 人 必 有 神 蹟 隨 著 他 們 ． 就 是 奉 我 的 名 趕 鬼 ． 說 新 方 言 ． 
Mark	16	18	Mark 16:18	 手 能 拿 蛇 ． 若 喝 了 甚 麼 毒 物 、 也 必 不 受 害 ． 手 按 病 人 、 病 人 就 必 好 了 。 
Mark	16	19	Mark 16:19	 主 耶 穌 和 他 們 說 完 了 話 、 後 來 被 接 到 天 上 、 坐 在 　 神 的 右 邊 。 
Mark	16	20	Mark 16:20	 門 徒 出 去 、 到 處 宣 傳 福 音 、 主 和 他 們 同 工 、 用 神 蹟 隨 著 、 證 實 所 傳 的 道 。 阿 們 。 
