book	chapter	verse	title	body
Matthew	25	1	Matthew 25:1	 那 時 、 天 國 好 比 十 個 童 女 、 拿 著 燈 、 出 去 迎 接 新 郎 。 
Matthew	25	2	Matthew 25:2	 其 中 有 五 個 是 愚 拙 的 ． 五 個 是 聰 明 的 。 
Matthew	25	3	Matthew 25:3	 愚 拙 的 拿 著 燈 、 卻 不 豫 備 油 ． 
Matthew	25	4	Matthew 25:4	 聰 明 的 拿 著 燈 、 又 豫 備 油 在 器 皿 裡 。 
Matthew	25	5	Matthew 25:5	 新 郎 遲 延 的 時 候 、 他 們 都 打 盹 睡 著 了 。 
Matthew	25	6	Matthew 25:6	 半 夜 有 人 喊 著 說 、 新 郎 來 了 、 你 們 出 來 迎 接 他 。 
Matthew	25	7	Matthew 25:7	 那 些 童 女 就 都 起 來 收 拾 燈 。 
Matthew	25	8	Matthew 25:8	 愚 拙 的 對 聰 明 的 說 、 請 分 點 油 給 我 們 ． 因 為 我 們 的 燈 要 滅 了 。 
Matthew	25	9	Matthew 25:9	 聰 明 的 回 答 說 、 恐 怕 不 彀 你 我 用 的 ． 不 如 你 們 自 己 到 賣 油 的 那 裡 去 買 罷 。 
Matthew	25	10	Matthew 25:10	 他 們 去 買 的 時 候 、 新 郎 到 了 ． 那 豫 備 好 了 的 、 同 他 進 去 坐 席 ． 門 就 關 了 。 
Matthew	25	11	Matthew 25:11	 其 餘 的 童 女 、 隨 後 也 來 了 、 說 、 主 阿 、 主 阿 、 給 我 們 開 門 。 
Matthew	25	12	Matthew 25:12	 他 卻 回 答 說 、 我 實 在 告 訴 你 們 、 我 不 認 識 你 們 。 
Matthew	25	13	Matthew 25:13	 所 以 你 們 要 儆 醒 、 因 為 那 日 子 、 那 時 辰 、 你 們 不 知 道 。 
Matthew	25	14	Matthew 25:14	 天 國 又 好 比 一 個 人 要 往 外 國 去 、 就 叫 了 僕 人 來 、 把 他 的 家 業 交 給 他 們 ． 
Matthew	25	15	Matthew 25:15	 按 著 各 人 的 才 幹 、 給 他 們 銀 子 ． 一 個 給 了 五 千 、 一 個 給 了 二 千 、 一 個 給 了 一 千 ． 就 往 外 國 去 了 。 
Matthew	25	16	Matthew 25:16	 那 領 五 千 的 、 隨 即 拿 去 做 買 賣 、 另 外 賺 了 五 千 。 
Matthew	25	17	Matthew 25:17	 那 領 二 千 的 、 也 照 樣 另 賺 了 二 千 。 
Matthew	25	18	Matthew 25:18	 但 那 領 一 千 的 、 去 掘 開 地 、 把 主 人 的 銀 子 埋 藏 了 。 
Matthew	25	19	Matthew 25:19	 過 了 許 久 、 那 些 僕 人 的 主 人 來 了 、 和 他 們 算 賬 。 
Matthew	25	20	Matthew 25:20	 那 領 五 千 銀 子 的 、 又 帶 著 那 另 外 的 五 千 來 、 說 、 主 阿 、 你 交 給 我 五 千 銀 子 、 請 看 、 我 又 賺 了 五 千 。 
Matthew	25	21	Matthew 25:21	 主 人 說 、 好 、 你 這 又 良 善 又 忠 心 的 僕 人 ． 你 在 不 多 的 事 上 有 忠 心 、 我 要 把 許 多 事 派 你 管 理 ． 可 以 進 來 享 受 你 主 人 的 快 樂 。 
Matthew	25	22	Matthew 25:22	 那 領 二 千 的 也 來 說 、 主 阿 、 你 交 給 我 二 千 銀 子 、 請 看 、 我 又 賺 了 二 千 。 
Matthew	25	23	Matthew 25:23	 主 人 說 、 好 、 你 這 又 良 善 又 忠 心 的 僕 人 ． 你 在 不 多 的 事 上 有 忠 心 、 我 要 把 許 多 事 派 你 管 理 ． 可 以 進 來 享 受 你 主 人 的 快 樂 。 
Matthew	25	24	Matthew 25:24	 那 領 一 千 的 、 也 來 說 、 主 阿 、 我 知 道 你 是 忍 心 的 人 、 沒 有 種 的 地 方 要 收 割 、 沒 有 散 的 地 方 要 聚 斂 ． 
Matthew	25	25	Matthew 25:25	 我 就 害 怕 、 去 把 你 的 一 千 銀 子 埋 藏 在 地 裡 ． 請 看 、 你 的 原 銀 子 在 這 裡 。 
Matthew	25	26	Matthew 25:26	 主 人 回 答 說 、 你 這 又 惡 又 懶 的 僕 人 、 你 既 知 道 我 沒 有 種 的 地 方 要 收 割 、 沒 有 散 的 地 方 要 聚 斂 ． 
Matthew	25	27	Matthew 25:27	 就 當 把 我 的 銀 子 放 給 兌 換 銀 錢 的 人 、 到 我 來 的 時 候 、 可 以 連 本 帶 利 收 回 。 
Matthew	25	28	Matthew 25:28	 奪 過 他 這 一 千 來 、 給 那 有 一 萬 的 。 
Matthew	25	29	Matthew 25:29	 因 為 凡 有 的 、 還 要 加 給 他 、 叫 他 有 餘 ． 沒 有 的 、 連 他 所 有 的 、 也 要 奪 過 來 。 
Matthew	25	30	Matthew 25:30	 把 這 無 用 的 僕 人 、 丟 在 外 面 黑 暗 裡 ． 在 那 裡 必 要 哀 哭 切 齒 了 。 
Matthew	25	31	Matthew 25:31	 當 人 子 在 他 榮 耀 裡 、 同 著 眾 天 使 降 臨 的 時 候 、 要 坐 在 他 榮 耀 的 寶 座 上 ． 
Matthew	25	32	Matthew 25:32	 萬 民 都 要 聚 集 在 他 面 前 ． 他 要 把 他 們 分 別 出 來 、 好 像 牧 羊 的 分 別 綿 羊 山 羊 一 般 ． 
Matthew	25	33	Matthew 25:33	 把 綿 羊 安 置 在 右 邊 、 山 羊 在 左 邊 。 
Matthew	25	34	Matthew 25:34	 於 是 王 要 向 那 右 邊 的 說 、 你 們 這 蒙 我 父 賜 福 的 、 可 來 承 受 那 創 世 以 來 為 你 們 所 豫 備 的 國 。 
Matthew	25	35	Matthew 25:35	 因 為 我 餓 了 、 你 們 給 我 喫 ． 渴 了 、 你 們 給 我 喝 ． 我 作 客 旅 、 你 們 留 我 住 ． 
Matthew	25	36	Matthew 25:36	 我 赤 身 露 體 、 你 們 給 我 穿 ． 我 病 了 、 你 們 看 顧 我 ． 我 在 監 裡 、 你 們 來 看 我 。 
Matthew	25	37	Matthew 25:37	 義 人 就 回 答 說 、 主 阿 、 我 們 甚 麼 時 候 見 你 餓 了 給 你 喫 、 渴 了 給 你 喝 ． 
Matthew	25	38	Matthew 25:38	 甚 麼 時 候 見 你 作 客 旅 留 你 住 、 或 是 赤 身 露 體 給 你 穿 ． 
Matthew	25	39	Matthew 25:39	 又 甚 麼 時 候 見 你 病 了 、 或 是 在 監 裡 、 來 看 你 呢 。 
Matthew	25	40	Matthew 25:40	 王 要 回 答 說 、 我 實 在 告 訴 你 們 、 這 些 事 你 們 既 作 在 我 這 弟 兄 中 一 個 最 小 的 身 上 、 就 是 作 在 我 身 上 了 。 
Matthew	25	41	Matthew 25:41	 王 又 要 向 那 左 邊 的 說 、 你 們 這 被 咒 詛 的 人 、 離 開 我 、 進 入 那 為 魔 鬼 和 他 的 使 者 所 豫 備 的 永 火 裡 去 。 
Matthew	25	42	Matthew 25:42	 因 為 我 餓 了 、 你 們 不 給 我 喫 ． 渴 了 、 你 們 不 給 我 喝 ． 
Matthew	25	43	Matthew 25:43	 我 作 客 旅 、 你 們 不 留 我 住 ． 我 赤 身 露 體 、 你 們 不 給 我 穿 ． 我 病 了 、 我 在 監 裡 、 你 們 不 來 看 顧 我 。 
Matthew	25	44	Matthew 25:44	 他 們 也 要 回 答 說 、 主 阿 、 我 們 甚 麼 時 候 見 你 餓 了 、 或 渴 了 、 或 作 客 旅 、 或 赤 身 露 體 、 或 病 了 、 或 在 監 裡 、 不 伺 候 你 呢 。 
Matthew	25	45	Matthew 25:45	 王 要 回 答 說 、 我 實 在 告 訴 你 們 、 這 些 事 你 們 既 不 作 在 我 這 弟 兄 中 一 個 最 小 的 身 上 、 就 是 不 作 在 我 身 上 了 。 
Matthew	25	46	Matthew 25:46	 這 些 人 要 往 永 刑 裡 去 ． 那 些 義 人 要 往 永 生 裡 去 。 
