book	chapter	verse	title	body
Micah	5	1	Micah 5:1	 成 群 的 民 哪 、 〔 民 原 文 作 女 子 〕 現 在 你 要 聚 集 成 隊 ． 因 為 仇 敵 圍 攻 我 們 、 要 用 杖 擊 打 以 色 列 審 判 者 的 臉 。 
Micah	5	2	Micah 5:2	 伯 利 恆 以 法 他 阿 、 你 在 猶 大 諸 城 中 為 小 、 將 來 必 有 一 位 從 你 那 裡 出 來 、 在 以 色 列 中 為 我 作 掌 權 的 ． 他 的 根 源 從 亙 古 、 從 太 初 就 有 。 
Micah	5	3	Micah 5:3	 耶 和 華 必 將 以 色 列 人 交 付 敵 人 、 直 等 那 生 產 的 婦 人 生 下 子 來 ． 那 時 掌 權 者 〔 原 文 作 他 〕 其 餘 的 弟 兄 必 歸 到 以 色 列 人 那 裡 。 
Micah	5	4	Micah 5:4	 他 必 起 來 、 倚 靠 耶 和 華 的 大 能 、 並 耶 和 華 他 　 神 之 名 的 威 嚴 、 牧 養 他 的 羊 群 ． 他 們 要 安 然 居 住 ． 因 為 他 必 日 見 尊 大 、 直 到 地 極 。 
Micah	5	5	Micah 5:5	 這 位 必 作 我 們 的 平 安 。 當 亞 述 人 進 入 我 們 的 地 境 踐 踏 宮 殿 的 時 候 、 我 們 就 立 起 七 個 牧 者 、 八 個 首 領 玫 擊 他 。 
Micah	5	6	Micah 5:6	 他 們 必 用 刀 劍 毀 壞 亞 述 地 和 寧 錄 地 的 關 口 ． 亞 述 人 進 入 我 們 的 地 境 踐 踏 的 時 候 、 他 必 拯 救 我 們 。 
Micah	5	7	Micah 5:7	 雅 各 餘 剩 的 人 必 在 多 國 的 民 中 、 如 從 耶 和 華 那 裡 降 下 的 露 水 、 又 如 甘 霖 降 在 草 上 ． 不 仗 賴 人 力 、 也 不 等 候 世 人 之 功 。 
Micah	5	8	Micah 5:8	 雅 各 餘 剩 的 人 必 在 多 國 多 民 中 、 如 林 間 百 獸 中 的 獅 子 、 又 如 少 壯 獅 子 在 羊 群 中 。 他 若 經 過 就 必 踐 踏 撕 裂 、 無 人 搭 救 。 
Micah	5	9	Micah 5:9	 願 你 的 手 舉 起 、 高 過 敵 人 。 願 你 的 仇 敵 都 被 剪 除 。 
Micah	5	10	Micah 5:10	 耶 和 華 說 、 到 那 日 、 我 必 從 你 中 間 剪 除 馬 匹 、 毀 壞 車 輛 、 
Micah	5	11	Micah 5:11	 也 必 從 你 國 中 除 滅 城 邑 、 拆 毀 一 切 的 保 障 、 
Micah	5	12	Micah 5:12	 又 必 除 掉 你 手 中 的 邪 術 ． 你 那 裡 也 不 再 有 占 卜 的 。 
Micah	5	13	Micah 5:13	 我 必 從 你 中 間 除 滅 雕 刻 的 偶 像 和 柱 像 、 你 就 不 再 跪 拜 自 己 手 所 造 的 。 
Micah	5	14	Micah 5:14	 我 必 從 你 中 間 拔 出 木 偶 、 又 毀 滅 你 的 城 邑 。 
Micah	5	15	Micah 5:15	 我 也 必 在 怒 氣 和 忿 怒 中 向 那 不 聽 從 的 列 國 施 報 。 
