book	chapter	verse	title	body
Nahum	1	1	Nahum 1:1	 論 尼 尼 微 的 默 示 、 就 是 伊 勒 歌 斯 人 那 鴻 所 得 的 默 示 。 
Nahum	1	2	Nahum 1:2	 耶 和 華 是 忌 邪 施 報 的 　 神 ． 耶 和 華 施 報 大 有 忿 怒 ． 向 他 的 敵 人 施 報 、 向 他 的 仇 敵 懷 怒 。 
Nahum	1	3	Nahum 1:3	 耶 和 華 不 輕 易 發 怒 、 大 有 能 力 、 萬 不 以 有 罪 的 為 無 罪 ． 他 乘 旋 風 和 暴 風 而 來 、 雲 彩 為 他 腳 下 的 塵 土 ． 
Nahum	1	4	Nahum 1:4	 他 斥 責 海 、 使 海 乾 了 、 使 一 切 江 河 乾 涸 ． 巴 珊 和 迦 密 的 樹 林 衰 殘 。 利 巴 嫩 的 花 草 也 衰 殘 了 ． 
Nahum	1	5	Nahum 1:5	 大 山 因 他 震 動 、 小 山 也 都 消 化 ． 大 地 在 他 面 前 突 起 、 世 界 和 住 在 其 間 的 也 都 如 此 。 
Nahum	1	6	Nahum 1:6	 他 發 忿 恨 、 誰 能 立 得 住 呢 ． 他 發 烈 怒 、 誰 能 當 得 起 呢 ． 他 的 忿 怒 如 火 傾 倒 、 磐 石 因 他 崩 裂 。 
Nahum	1	7	Nahum 1:7	 耶 和 華 本 為 善 、 在 患 難 的 日 子 為 人 的 保 障 ． 並 且 認 得 那 些 投 靠 他 的 人 。 
Nahum	1	8	Nahum 1:8	 但 他 必 以 漲 溢 的 洪 水 淹 沒 尼 尼 微 、 又 驅 逐 仇 敵 進 入 黑 暗 。 
Nahum	1	9	Nahum 1:9	 尼 尼 微 人 哪 、 設 何 謀 攻 擊 耶 和 華 呢 ． 他 必 將 你 們 滅 絕 淨 盡 ． 災 難 不 再 興 起 ． 
Nahum	1	10	Nahum 1:10	 你 們 像 叢 雜 的 荊 棘 、 像 喝 醉 了 的 人 、 又 如 枯 乾 的 碎 衪 全 然 燒 滅 。 
Nahum	1	11	Nahum 1:11	 有 一 人 從 你 那 裡 出 來 、 圖 謀 邪 惡 、 設 惡 計 攻 擊 耶 和 華 。 
Nahum	1	12	Nahum 1:12	 耶 和 華 如 此 說 、 尼 尼 微 雖 然 勢 力 充 足 、 人 數 繁 多 、 也 被 剪 除 、 歸 於 無 有 。 猶 大 阿 、 我 雖 然 使 你 受 苦 、 卻 不 再 使 你 受 苦 ． 
Nahum	1	13	Nahum 1:13	 現 在 我 必 從 你 頸 項 上 折 斷 他 的 軛 、 扭 開 他 的 繩 索 。 
Nahum	1	14	Nahum 1:14	 耶 和 華 已 經 出 令 、 指 著 尼 尼 微 說 、 你 名 下 的 人 必 不 留 後 ． 我 必 從 你 神 的 廟 中 、 除 滅 雕 刻 的 偶 像 、 和 鑄 造 的 偶 像 ． 我 必 因 你 鄙 陋 使 你 歸 於 墳 墓 。 
Nahum	1	15	Nahum 1:15	 看 哪 、 有 報 好 信 傳 平 安 之 人 的 腳 登 山 、 說 、 猶 大 阿 、 可 以 守 你 的 節 期 、 還 你 所 許 的 願 罷 ． 因 為 那 惡 人 不 再 從 你 中 間 經 過 他 已 滅 絕 淨 盡 了 。 
