book	chapter	verse	title	body
Nehemiah	5	1	Nehemiah 5:1	 百 姓 和 他 們 的 妻 大 大 呼 號 、 埋 怨 他 們 的 弟 兄 猶 大 人 。 
Nehemiah	5	2	Nehemiah 5:2	 有 的 說 、 我 們 和 兒 女 人 口 眾 多 ． 要 去 得 糧 食 度 命 。 
Nehemiah	5	3	Nehemiah 5:3	 有 的 說 、 我 們 典 了 田 地 、 葡 萄 園 、 房 屋 ． 要 得 糧 食 充 飢 ． 
Nehemiah	5	4	Nehemiah 5:4	 有 的 說 、 我 們 已 經 指 著 田 地 、 葡 萄 園 、 借 了 錢 、 給 王 納 稅 。 
Nehemiah	5	5	Nehemiah 5:5	 我 們 的 身 體 、 與 我 們 弟 兄 的 身 體 一 樣 、 我 們 的 兒 女 與 他 們 的 兒 女 一 般 ． 現 在 我 們 將 要 使 兒 女 作 人 的 僕 婢 、 我 們 的 女 兒 已 有 為 婢 的 ． 我 們 並 無 力 拯 救 ． 因 為 我 們 的 田 地 、 葡 萄 園 、 已 經 歸 了 別 人 。 
Nehemiah	5	6	Nehemiah 5:6	 我 聽 見 他 們 呼 號 、 說 這 些 話 、 便 甚 發 怒 。 
Nehemiah	5	7	Nehemiah 5:7	 我 心 裡 籌 畫 、 就 斥 責 貴 冑 、 和 官 長 、 說 、 你 們 各 人 向 弟 兄 取 利 。 於 是 我 招 聚 大 會 攻 擊 他 們 。 
Nehemiah	5	8	Nehemiah 5:8	 我 對 他 們 說 、 我 們 盡 力 贖 回 我 們 弟 兄 、 就 是 賣 與 外 邦 的 猶 大 人 、 你 們 還 要 賣 弟 兄 、 使 我 們 贖 回 來 麼 。 他 們 就 靜 默 不 語 、 無 話 可 答 。 
Nehemiah	5	9	Nehemiah 5:9	 我 又 說 、 你 們 所 行 的 不 善 ． 你 們 行 事 不 當 敬 畏 我 們 的 　 神 麼 ． 不 然 、 難 免 我 們 的 仇 敵 外 邦 人 毀 謗 我 們 。 
Nehemiah	5	10	Nehemiah 5:10	 我 和 我 的 弟 兄 、 與 僕 人 、 也 將 銀 錢 糧 食 借 給 百 姓 ． 我 們 大 家 都 當 免 去 利 息 。 
Nehemiah	5	11	Nehemiah 5:11	 如 今 我 勸 你 們 將 他 們 的 田 地 、 葡 萄 園 、 橄 欖 園 、 房 屋 、 並 向 他 們 所 取 的 銀 錢 、 糧 食 、 新 酒 、 和 油 、 百 分 之 一 的 利 息 都 歸 還 他 們 。 
Nehemiah	5	12	Nehemiah 5:12	 眾 人 說 、 我 們 必 歸 還 、 不 再 向 他 們 索 要 、 必 照 你 的 話 行 ． 我 就 召 了 祭 司 來 、 叫 眾 人 起 誓 、 必 照 著 所 應 許 的 而 行 。 
Nehemiah	5	13	Nehemiah 5:13	 我 也 抖 著 胸 前 的 衣 襟 說 、 凡 不 成 就 這 應 許 的 、 願 　 神 照 樣 抖 他 離 開 家 產 和 他 勞 碌 得 來 的 、 直 到 抖 空 了 。 會 眾 都 說 、 阿 們 、 又 讚 美 耶 和 華 。 百 姓 就 照 著 所 應 許 的 去 行 。 
Nehemiah	5	14	Nehemiah 5:14	 自 從 我 奉 派 作 猶 大 地 的 省 長 、 就 是 從 亞 達 薛 西 王 二 十 年 、 直 到 三 十 二 年 、 共 十 二 年 之 久 、 我 與 我 弟 兄 都 沒 有 喫 省 長 的 俸 祿 。 
Nehemiah	5	15	Nehemiah 5:15	 在 我 以 前 的 省 長 、 加 重 百 姓 的 擔 子 、 每 日 索 要 糧 食 和 酒 、 並 銀 子 四 十 舍 客 勒 、 就 是 他 們 的 僕 人 也 轄 制 百 姓 ． 但 我 因 敬 畏 　 神 、 不 這 樣 行 。 
Nehemiah	5	16	Nehemiah 5:16	 並 且 我 恆 心 修 造 城 牆 、 並 沒 有 置 買 田 地 ． 我 的 僕 人 也 都 聚 集 在 那 裡 作 工 。 
Nehemiah	5	17	Nehemiah 5:17	 除 了 從 四 圍 外 邦 中 來 的 猶 大 人 以 外 、 有 猶 大 平 民 和 官 長 、 一 百 五 十 人 在 我 席 上 喫 飯 。 
Nehemiah	5	18	Nehemiah 5:18	 每 日 豫 備 一 隻 公 牛 、 六 隻 肥 羊 ． 又 豫 備 些 飛 禽 、 每 十 日 一 次 、 多 豫 備 各 樣 的 酒 ． 雖 然 如 此 、 我 並 不 要 省 長 的 俸 祿 ． 因 為 百 姓 服 役 甚 重 。 
Nehemiah	5	19	Nehemiah 5:19	 我 的 　 神 阿 、 求 你 記 念 我 為 這 百 姓 所 行 的 一 切 事 、 施 恩 與 我 。 
