book	chapter	verse	title	body
Nehemiah	7	1	Nehemiah 7:1	 城 牆 修 完 、 我 安 了 門 扇 、 守 門 的 、 歌 唱 的 、 和 利 未 人 、 都 已 派 定 。 
Nehemiah	7	2	Nehemiah 7:2	 我 就 派 我 的 弟 兄 哈 拿 尼 、 和 營 樓 的 宰 官 哈 拿 尼 雅 、 管 理 耶 路 撒 冷 ． 因 為 哈 拿 尼 雅 是 忠 信 的 、 又 敬 畏 　 神 過 於 眾 人 。 
Nehemiah	7	3	Nehemiah 7:3	 我 吩 咐 他 們 說 、 等 到 太 陽 上 升 、 纔 可 開 耶 路 撒 冷 的 城 門 ． 人 尚 看 守 的 時 候 、 就 要 關 門 、 上 閂 、 也 當 派 耶 路 撒 冷 的 居 民 、 各 按 班 次 、 看 守 自 己 房 屋 對 面 之 處 。 
Nehemiah	7	4	Nehemiah 7:4	 城 是 廣 大 、 其 中 的 民 卻 稀 少 、 房 屋 還 沒 有 建 造 。 
Nehemiah	7	5	Nehemiah 7:5	 我 的 　 神 感 動 我 心 、 招 聚 貴 冑 、 官 長 、 和 百 姓 、 要 照 家 譜 計 算 。 我 找 著 第 一 次 上 來 之 人 的 家 譜 、 其 上 寫 著 ． 
Nehemiah	7	6	Nehemiah 7:6	 巴 比 倫 王 尼 布 甲 尼 撒 從 前 擄 去 猶 大 省 的 人 、 現 在 他 們 的 子 孫 、 從 被 擄 到 之 地 回 耶 路 撒 冷 、 和 猶 大 各 歸 本 城 ． 
Nehemiah	7	7	Nehemiah 7:7	 他 們 是 同 著 所 羅 巴 伯 、 耶 書 亞 、 尼 希 米 、 亞 撒 利 雅 、 拉 米 、 拿 哈 瑪 尼 、 末 底 改 、 必 珊 、 米 斯 毘 列 、 比 革 瓦 伊 、 尼 宏 、 巴 拿 回 來 的 。 
Nehemiah	7	8	Nehemiah 7:8	 以 色 列 人 民 的 數 目 、 記 在 下 面 ． 巴 錄 的 子 孫 、 二 千 一 百 七 十 二 名 。 
Nehemiah	7	9	Nehemiah 7:9	 示 法 提 雅 的 子 孫 、 三 百 七 十 二 名 。 
Nehemiah	7	10	Nehemiah 7:10	 亞 拉 的 子 孫 、 六 百 五 十 二 名 。 
Nehemiah	7	11	Nehemiah 7:11	 巴 哈 摩 押 的 後 裔 、 就 是 耶 書 亞 和 約 押 的 子 孫 、 二 千 八 百 一 十 八 名 。 
Nehemiah	7	12	Nehemiah 7:12	 以 攔 的 子 孫 、 一 千 二 百 五 十 四 名 。 
Nehemiah	7	13	Nehemiah 7:13	 薩 土 的 子 孫 、 八 百 四 十 五 名 。 
Nehemiah	7	14	Nehemiah 7:14	 薩 改 的 子 孫 、 七 百 六 十 名 。 
Nehemiah	7	15	Nehemiah 7:15	 賓 內 的 子 孫 、 六 百 四 十 八 名 。 
Nehemiah	7	16	Nehemiah 7:16	 比 拜 的 子 孫 、 六 百 二 十 八 名 。 
Nehemiah	7	17	Nehemiah 7:17	 押 甲 的 子 孫 、 二 千 三 百 二 十 二 名 。 
Nehemiah	7	18	Nehemiah 7:18	 亞 多 尼 干 的 子 孫 、 六 百 六 十 七 名 。 
Nehemiah	7	19	Nehemiah 7:19	 比 革 瓦 伊 的 子 孫 、 二 千 零 六 十 七 名 。 
Nehemiah	7	20	Nehemiah 7:20	 亞 丁 的 子 孫 、 六 百 五 十 五 名 。 
Nehemiah	7	21	Nehemiah 7:21	 亞 特 的 後 裔 、 就 是 希 西 家 的 子 孫 、 九 十 八 名 ． 
Nehemiah	7	22	Nehemiah 7:22	 哈 順 的 子 孫 、 三 百 二 十 八 名 。 
Nehemiah	7	23	Nehemiah 7:23	 比 賽 的 子 孫 、 三 百 二 十 四 名 。 
Nehemiah	7	24	Nehemiah 7:24	 哈 拉 的 子 孫 、 一 百 一 十 二 名 。 
Nehemiah	7	25	Nehemiah 7:25	 基 遍 人 、 九 十 五 名 。 
Nehemiah	7	26	Nehemiah 7:26	 伯 利 恆 人 和 尼 陀 法 人 、 共 一 百 八 十 八 名 。 
Nehemiah	7	27	Nehemiah 7:27	 亞 拿 突 人 、 一 百 二 十 八 名 。 
Nehemiah	7	28	Nehemiah 7:28	 伯 亞 斯 瑪 弗 人 、 四 十 二 名 。 
Nehemiah	7	29	Nehemiah 7:29	 基 列 耶 琳 人 、 基 非 拉 人 、 比 錄 人 、 共 七 百 四 十 三 名 。 
Nehemiah	7	30	Nehemiah 7:30	 拉 瑪 人 和 迦 巴 人 、 共 六 百 二 十 一 名 ． 
Nehemiah	7	31	Nehemiah 7:31	 默 瑪 人 、 一 百 二 十 二 名 。 
Nehemiah	7	32	Nehemiah 7:32	 伯 特 利 人 和 艾 人 、 共 一 百 二 十 三 名 。 
Nehemiah	7	33	Nehemiah 7:33	 別 的 尼 波 人 、 五 十 二 名 。 
Nehemiah	7	34	Nehemiah 7:34	 別 的 以 攔 子 孫 、 一 千 二 百 五 十 四 名 。 
Nehemiah	7	35	Nehemiah 7:35	 哈 琳 的 子 孫 、 三 百 二 十 名 。 
Nehemiah	7	36	Nehemiah 7:36	 耶 利 哥 人 、 三 百 四 十 五 名 。 
Nehemiah	7	37	Nehemiah 7:37	 羅 德 人 、 哈 第 人 、 阿 挪 人 、 共 七 百 二 十 一 名 。 
