book	chapter	verse	title	body
Numbers	29	1	Numbers 29:1	 七 月 初 一 日 、 你 們 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 、 是 你 們 當 守 為 吹 角 的 日 子 。 
Numbers	29	2	Numbers 29:2	 你 們 要 將 公 牛 犢 一 隻 、 公 綿 羊 一 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 七 隻 、 作 為 馨 香 的 燔 祭 、 獻 給 耶 和 華 。 
Numbers	29	3	Numbers 29:3	 同 獻 的 素 祭 用 調 油 的 細 麵 、 為 一 隻 公 牛 要 獻 伊 法 十 分 之 三 ． 為 一 隻 公 羊 要 獻 伊 法 十 分 之 二 、 
Numbers	29	4	Numbers 29:4	 為 那 七 隻 羊 羔 、 每 隻 要 獻 伊 法 十 分 之 一 。 
Numbers	29	5	Numbers 29:5	 又 獻 一 隻 公 山 羊 作 贖 罪 祭 、 為 你 們 贖 罪 。 
Numbers	29	6	Numbers 29:6	 這 些 是 在 月 朔 的 燔 祭 、 和 同 獻 的 素 祭 、 並 常 獻 的 燔 祭 、 與 同 獻 的 素 祭 、 以 及 照 例 同 獻 的 奠 祭 以 外 ． 都 作 為 馨 香 的 火 祭 獻 給 耶 和 華 。 
Numbers	29	7	Numbers 29:7	 七 月 初 十 日 、 你 們 當 有 聖 會 、 要 刻 苦 己 心 、 甚 麼 工 都 不 可 作 。 
Numbers	29	8	Numbers 29:8	 只 要 將 公 牛 犢 一 隻 、 公 綿 羊 一 隻 、 一 歲 的 公 羊 羔 七 隻 、 都 要 沒 有 殘 疾 的 、 作 為 馨 香 的 燔 祭 獻 給 耶 和 華 。 
Numbers	29	9	Numbers 29:9	 同 獻 的 素 祭 用 調 油 的 細 麵 、 為 一 隻 公 牛 要 獻 伊 法 十 分 之 三 、 為 一 隻 公 羊 要 獻 伊 法 十 分 之 二 ． 
Numbers	29	10	Numbers 29:10	 為 那 七 隻 羊 羔 每 隻 要 獻 伊 法 十 分 之 一 。 
Numbers	29	11	Numbers 29:11	 又 獻 一 隻 公 山 羊 為 贖 罪 祭 、 這 是 在 贖 罪 祭 、 和 常 獻 的 燔 祭 、 與 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。 
Numbers	29	12	Numbers 29:12	 七 月 十 五 日 、 你 們 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 、 要 向 耶 和 華 守 節 七 日 。 
