book	chapter	verse	title	body
Philippians	3	1	Philippians 3:1	 弟 兄 們 、 我 還 有 話 說 、 你 們 要 靠 主 喜 樂 。 我 把 這 話 再 寫 給 你 們 、 於 我 並 不 為 難 、 於 你 們 卻 是 妥 當 。 
Philippians	3	2	Philippians 3:2	 應 當 防 備 犬 類 、 防 備 作 惡 的 、 防 備 妄 自 行 割 的 ． 
Philippians	3	3	Philippians 3:3	 因 為 真 受 割 禮 的 、 乃 是 我 們 這 以 　 神 的 靈 敬 拜 、 在 基 督 耶 穌 裡 誇 口 、 不 靠 著 肉 體 的 ． 
Philippians	3	4	Philippians 3:4	 其 實 我 也 可 以 靠 肉 體 ． 若 是 別 人 想 他 可 以 靠 肉 體 、 我 更 可 以 靠 著 了 。 
Philippians	3	5	Philippians 3:5	 我 第 八 天 受 割 禮 、 我 是 以 色 列 族 、 便 雅 憫 支 派 的 人 、 是 希 伯 來 人 所 生 的 希 伯 來 人 ． 就 律 法 說 、 我 是 法 利 賽 人 ． 
Philippians	3	6	Philippians 3:6	 就 熱 心 說 、 我 是 逼 迫 教 會 的 ． 就 律 法 上 的 義 說 、 我 是 無 可 指 摘 的 。 
Philippians	3	7	Philippians 3:7	 只 是 我 先 前 以 為 與 我 有 益 的 、 我 現 在 因 基 督 都 當 作 有 損 的 。 
Philippians	3	8	Philippians 3:8	 不 但 如 此 、 我 也 將 萬 事 當 作 有 損 的 、 因 我 以 認 識 我 主 基 督 耶 穌 為 至 寶 。 我 為 他 已 經 丟 棄 萬 事 、 看 作 糞 土 、 為 要 得 著 基 督 ． 
Philippians	3	9	Philippians 3:9	 並 且 得 以 在 他 裡 面 、 不 是 有 自 己 因 律 法 而 得 的 義 、 乃 是 有 信 基 督 的 義 、 就 是 因 信 　 神 而 來 的 義 ． 
Philippians	3	10	Philippians 3:10	 使 我 認 識 基 督 、 曉 得 他 復 活 的 大 能 、 並 且 曉 得 和 他 一 同 受 苦 、 效 法 他 的 死 ． 
Philippians	3	11	Philippians 3:11	 或 者 我 也 得 以 從 死 裡 復 活 。 
Philippians	3	12	Philippians 3:12	 這 不 是 說 、 我 已 經 得 著 了 、 已 經 完 全 了 ． 我 乃 是 竭 力 追 求 、 或 者 可 以 得 著 基 督 耶 穌 所 以 得 著 我 的 。 〔 所 以 得 著 我 的 或 作 所 要 我 得 的 〕 
Philippians	3	13	Philippians 3:13	 弟 兄 們 、 我 不 是 以 為 自 己 已 經 得 著 了 ． 我 只 有 一 件 事 、 就 是 忘 記 背 後 努 力 面 前 的 、 
Philippians	3	14	Philippians 3:14	 向 著 標 竿 直 跑 、 要 得 　 神 在 基 督 耶 穌 裡 從 上 面 召 我 來 得 的 獎 賞 。 
Philippians	3	15	Philippians 3:15	 所 以 我 們 中 間 凡 是 完 全 人 、 總 要 存 這 樣 的 心 ． 若 在 甚 麼 事 上 、 存 別 樣 的 心 、 　 神 也 必 以 此 指 示 你 們 ． 
Philippians	3	16	Philippians 3:16	 然 而 我 們 到 了 甚 麼 地 步 、 就 當 照 著 甚 麼 地 步 行 。 
Philippians	3	17	Philippians 3:17	 弟 兄 們 、 你 們 要 一 同 效 法 我 、 也 當 留 意 看 那 些 照 我 們 榜 樣 行 的 人 。 
Philippians	3	18	Philippians 3:18	 因 為 有 許 多 人 行 事 、 是 基 督 十 字 架 的 仇 敵 ． 我 屢 次 告 訴 你 們 、 現 在 又 流 淚 的 告 訴 你 們 。 
Philippians	3	19	Philippians 3:19	 他 們 的 結 局 就 是 沉 淪 、 他 們 的 　 神 就 是 自 己 的 肚 腹 、 他 們 以 自 己 的 羞 辱 為 榮 耀 、 專 以 地 上 的 事 為 念 。 
Philippians	3	20	Philippians 3:20	 我 們 卻 是 天 上 的 國 民 ． 並 且 等 候 救 主 、 就 是 主 耶 穌 基 督 、 從 天 上 降 臨 。 
Philippians	3	21	Philippians 3:21	 他 要 按 著 那 能 叫 萬 有 歸 服 自 己 的 大 能 、 將 我 們 這 卑 賤 的 身 體 改 變 形 狀 、 和 他 自 己 榮 耀 的 身 體 相 似 。 
