book	chapter	verse	title	body
Proverbs	31	1	Proverbs 31:1	 利 慕 伊 勒 王 的 言 語 、 是 他 母 親 教 訓 他 的 真 言 。 
Proverbs	31	2	Proverbs 31:2	 我 的 兒 阿 、 我 腹 中 生 的 兒 阿 、 我 許 願 得 的 兒 阿 、 我 當 怎 樣 教 訓 你 呢 ． 
Proverbs	31	3	Proverbs 31:3	 不 要 將 你 的 精 力 給 婦 女 、 也 不 要 有 敗 壞 君 王 的 行 為 。 
Proverbs	31	4	Proverbs 31:4	 利 慕 伊 勒 阿 、 君 王 喝 酒 、 君 王 喝 酒 不 相 宜 ． 王 子 說 、 濃 酒 在 那 裡 也 不 相 宜 ． 
Proverbs	31	5	Proverbs 31:5	 恐 怕 喝 了 就 忘 記 律 例 、 顛 倒 一 切 困 苦 人 的 是 非 ． 
Proverbs	31	6	Proverbs 31:6	 可 以 把 濃 酒 給 將 亡 的 人 喝 ． 把 清 酒 給 苦 心 的 人 喝 ． 
Proverbs	31	7	Proverbs 31:7	 讓 他 喝 了 、 就 忘 記 他 的 貧 窮 、 不 再 記 念 他 的 苦 楚 。 
Proverbs	31	8	Proverbs 31:8	 你 當 為 啞 吧 〔 或 作 不 能 自 辨 的 〕 開 口 ． 為 一 切 孤 獨 的 伸 冤 。 
Proverbs	31	9	Proverbs 31:9	 你 當 開 口 按 公 義 判 斷 、 為 困 苦 和 窮 乏 的 辨 屈 。 
Proverbs	31	10	Proverbs 31:10	 才 德 的 婦 人 誰 能 得 著 呢 ． 他 的 價 值 遠 勝 過 珍 珠 ． 
Proverbs	31	11	Proverbs 31:11	 他 丈 夫 心 裡 倚 靠 他 、 必 不 缺 少 利 益 ． 
Proverbs	31	12	Proverbs 31:12	 他 一 生 使 丈 夫 有 益 無 損 ． 
Proverbs	31	13	Proverbs 31:13	 他 尋 找 羊 羢 和 麻 、 甘 心 用 手 作 工 ． 
Proverbs	31	14	Proverbs 31:14	 他 好 像 商 船 從 遠 方 運 糧 來 ． 
Proverbs	31	15	Proverbs 31:15	 未 到 黎 明 他 就 起 來 、 把 食 物 分 給 家 中 的 人 ． 將 當 作 的 工 分 派 婢 女 。 
Proverbs	31	16	Proverbs 31:16	 他 想 得 田 地 、 就 買 來 ． 用 手 所 得 之 利 、 栽 種 葡 萄 園 ． 
Proverbs	31	17	Proverbs 31:17	 他 以 能 力 束 腰 、 使 膀 臂 有 力 ． 
Proverbs	31	18	Proverbs 31:18	 他 覺 得 所 經 營 的 有 利 他 的 燈 終 夜 不 滅 。 
Proverbs	31	19	Proverbs 31:19	 他 手 拿 撚 線 竿 ． 手 把 紡 線 車 ． 
Proverbs	31	20	Proverbs 31:20	 他 張 手 賙 濟 困 苦 人 ． 伸 手 幫 補 窮 乏 人 。 
Proverbs	31	21	Proverbs 31:21	 他 不 因 下 雪 為 家 裡 的 人 擔 心 、 因 為 全 家 都 穿 著 朱 紅 衣 服 ． 
Proverbs	31	22	Proverbs 31:22	 他 為 自 己 製 作 繡 花 毯 子 ． 他 的 衣 服 、 是 細 麻 和 紫 色 布 作 的 。 
Proverbs	31	23	Proverbs 31:23	 他 丈 夫 在 城 門 口 與 本 地 的 長 老 同 坐 、 為 眾 人 所 認 識 。 
Proverbs	31	24	Proverbs 31:24	 他 作 細 麻 布 衣 裳 出 賣 ． 又 將 腰 帶 賣 與 商 家 。 
Proverbs	31	25	Proverbs 31:25	 能 力 和 威 儀 、 是 他 的 衣 服 ． 他 想 到 日 後 的 景 況 就 喜 笑 。 
Proverbs	31	26	Proverbs 31:26	 他 開 口 就 發 智 慧 ． 他 舌 上 有 仁 慈 的 法 則 ． 
Proverbs	31	27	Proverbs 31:27	 他 觀 察 家 務 、 並 不 喫 閒 飯 。 
Proverbs	31	28	Proverbs 31:28	 他 的 兒 女 起 來 稱 他 有 福 ． 他 的 丈 夫 也 稱 讚 他 、 
Proverbs	31	29	Proverbs 31:29	 說 、 才 德 的 女 子 很 多 、 惟 獨 你 超 過 一 切 。 
Proverbs	31	30	Proverbs 31:30	 豔 麗 是 虛 假 的 ． 美 容 是 虛 浮 的 ． 惟 敬 畏 耶 和 華 的 婦 女 、 必 得 稱 讚 。 
Proverbs	31	31	Proverbs 31:31	 願 他 享 受 操 作 所 得 的 ． 願 他 的 工 作 、 在 城 門 口 榮 耀 他 。 
