book	chapter	verse	title	body
Psalms	60	1	Psalms 60:1	 〔 大 衛 與 兩 河 間 的 亞 蘭 並 瑣 巴 的 亞 蘭 爭 戰 的 時 候 、 約 押 轉 回 、 在 鹽 谷 攻 擊 以 東 、 殺 了 一 萬 二 千 人 ． 那 時 大 衛 作 這 金 詩 、 叫 人 學 習 、 交 與 伶 長 、 調 用 為 證 的 百 合 花 。 〕 　 神 阿 、 你 丟 棄 了 我 們 、 使 我 們 破 敗 ． 你 向 我 們 發 怒 ． 求 你 使 我 們 復 興 。 
Psalms	60	2	Psalms 60:2	 你 使 地 震 動 、 而 且 崩 裂 ． 求 你 將 裂 口 醫 好 ． 因 為 地 搖 動 。 
Psalms	60	3	Psalms 60:3	 你 叫 你 的 民 遇 見 艱 難 ． 你 叫 我 們 喝 那 使 人 東 倒 西 歪 的 酒 。 
Psalms	60	4	Psalms 60:4	 你 把 旌 旗 賜 給 敬 畏 你 的 人 、 可 以 為 真 理 揚 起 來 。 〔 細 拉 〕 
Psalms	60	5	Psalms 60:5	 求 你 應 允 我 們 、 用 右 手 拯 救 我 們 、 好 叫 你 所 親 愛 的 人 得 救 。 
Psalms	60	6	Psalms 60:6	 　 神 已 經 指 著 他 的 聖 潔 說 、 〔 說 或 作 應 許 我 〕 我 要 歡 樂 ． 我 要 分 開 示 劍 、 丈 量 疏 割 谷 。 
Psalms	60	7	Psalms 60:7	 基 列 是 我 的 、 瑪 拿 西 也 是 我 的 ． 以 法 蓮 是 護 衛 我 頭 的 ． 猶 大 是 我 的 杖 ． 
Psalms	60	8	Psalms 60:8	 摩 押 是 我 的 沐 浴 盆 ． 我 要 向 以 東 拋 鞋 ． 非 利 士 阿 、 你 還 能 因 我 歡 呼 麼 。 
Psalms	60	9	Psalms 60:9	 誰 能 領 我 進 堅 固 城 ． 誰 能 引 我 到 以 東 地 。 
Psalms	60	10	Psalms 60:10	 　 神 阿 、 你 不 是 丟 棄 了 我 們 麼 ． 　 神 阿 、 你 不 和 我 們 的 軍 兵 同 去 麼 。 
Psalms	60	11	Psalms 60:11	 求 你 幫 助 我 們 攻 擊 敵 人 、 因 為 人 的 幫 助 是 枉 然 的 。 
Psalms	60	12	Psalms 60:12	 我 們 倚 靠 　 神 、 纔 得 施 展 大 能 、 因 為 踐 踏 我 們 敵 人 的 就 是 他 。 
