book	chapter	verse	title	body
Revelation	13	1	Revelation 13:1	 我 又 看 見 一 個 獸 從 海 中 上 來 、 有 十 角 七 頭 、 在 十 角 上 戴 著 十 個 冠 冕 、 七 頭 上 有 褻 瀆 的 名 號 。 
Revelation	13	2	Revelation 13:2	 我 所 看 見 的 獸 、 形 狀 像 豹 、 腳 像 熊 的 腳 、 口 像 獅 子 的 口 ． 那 龍 將 自 己 的 能 力 、 座 位 、 和 大 權 柄 、 都 給 了 他 。 
Revelation	13	3	Revelation 13:3	 我 看 見 獸 的 七 頭 中 、 有 一 個 似 乎 受 了 死 傷 ． 那 死 傷 卻 醫 好 了 。 全 地 的 人 、 都 希 奇 跟 從 那 獸 ． 
Revelation	13	4	Revelation 13:4	 又 拜 那 龍 、 因 為 他 將 自 己 的 權 柄 給 了 獸 ． 也 拜 獸 說 、 誰 能 比 這 獸 、 誰 能 與 他 交 戰 呢 。 
Revelation	13	5	Revelation 13:5	 又 賜 給 他 說 誇 大 褻 瀆 話 的 口 ． 又 有 權 柄 賜 給 他 、 可 以 任 意 而 行 四 十 二 個 月 。 
Revelation	13	6	Revelation 13:6	 獸 就 開 口 向 　 神 說 褻 瀆 的 話 、 褻 瀆 　 神 的 名 、 並 他 的 帳 幕 、 以 及 那 些 住 在 天 上 的 。 
Revelation	13	7	Revelation 13:7	 又 任 憑 他 與 聖 徒 爭 戰 、 並 且 得 勝 ． 也 把 權 柄 賜 給 他 、 制 伏 各 族 各 民 各 方 各 國 。 
Revelation	13	8	Revelation 13:8	 凡 住 在 地 上 、 名 字 從 創 世 以 來 、 沒 有 記 在 被 殺 之 羔 羊 生 命 冊 上 的 人 、 都 要 拜 他 。 
Revelation	13	9	Revelation 13:9	 凡 有 耳 的 、 就 應 當 聽 。 
Revelation	13	10	Revelation 13:10	 擄 掠 人 的 必 被 擄 掠 ． 用 刀 殺 人 的 、 必 被 刀 殺 。 聖 徒 的 忍 耐 和 信 心 、 就 是 在 此 。 
Revelation	13	11	Revelation 13:11	 我 又 看 見 另 有 一 個 獸 從 地 中 上 來 ． 有 兩 角 如 同 羊 羔 、 說 話 好 像 龍 。 
Revelation	13	12	Revelation 13:12	 他 在 頭 一 個 獸 面 前 、 施 行 頭 一 個 獸 所 有 的 權 柄 ． 並 且 叫 地 和 住 在 地 上 的 人 、 拜 那 死 傷 醫 好 的 頭 一 個 獸 。 
Revelation	13	13	Revelation 13:13	 又 行 大 奇 事 、 甚 至 在 人 面 前 、 叫 火 從 天 降 在 地 上 。 
Revelation	13	14	Revelation 13:14	 他 因 賜 給 他 權 柄 在 獸 面 前 能 行 奇 事 、 就 迷 惑 住 在 地 上 的 人 、 說 、 要 給 那 受 刀 傷 還 活 著 的 獸 作 個 像 。 
Revelation	13	15	Revelation 13:15	 又 有 權 柄 賜 給 他 叫 獸 像 有 生 氣 、 並 且 能 說 話 、 又 叫 所 有 不 拜 獸 像 的 人 都 被 殺 害 。 
Revelation	13	16	Revelation 13:16	 他 又 叫 眾 人 、 無 論 大 小 貧 富 、 自 主 的 為 奴 的 、 都 在 右 手 上 、 或 在 額 上 、 受 一 個 印 記 。 
Revelation	13	17	Revelation 13:17	 除 了 那 受 印 記 、 有 了 獸 名 、 或 有 獸 名 數 目 的 、 都 不 得 作 買 賣 。 
Revelation	13	18	Revelation 13:18	 在 這 裡 有 智 慧 。 凡 有 聰 明 的 、 可 以 算 計 獸 的 數 目 ． 因 為 這 是 人 的 數 目 、 他 的 數 目 是 六 百 六 十 六 。 
