book	chapter	verse	title	body
Romans	5	1	Romans 5:1	 我 們 既 因 信 稱 義 、 就 藉 著 我 們 的 主 耶 穌 基 督 、 得 與 　 神 相 和 。 
Romans	5	2	Romans 5:2	 我 們 又 藉 著 他 、 因 信 得 進 入 現 在 所 站 的 這 恩 典 中 、 並 且 歡 歡 喜 喜 盼 望 　 神 的 榮 耀 。 
Romans	5	3	Romans 5:3	 不 但 如 此 、 就 是 在 患 難 中 、 也 是 歡 歡 喜 喜 的 ． 因 為 知 道 患 難 生 忍 耐 ． 
Romans	5	4	Romans 5:4	 忍 耐 生 老 練 ． 老 練 生 盼 望 ． 
Romans	5	5	Romans 5:5	 盼 望 不 至 於 羞 恥 ． 因 為 所 賜 給 我 們 的 聖 靈 、 將 　 神 的 愛 澆 灌 在 我 們 心 裡 。 
Romans	5	6	Romans 5:6	 因 我 們 還 軟 弱 的 時 候 、 基 督 就 按 所 定 的 日 期 為 罪 人 死 。 
Romans	5	7	Romans 5:7	 為 義 人 死 、 是 少 有 的 、 為 仁 人 死 、 或 者 有 敢 作 的 。 
Romans	5	8	Romans 5:8	 惟 有 基 督 在 我 們 還 作 罪 人 的 時 候 為 我 們 死 、 　 神 的 愛 就 在 此 向 我 們 顯 明 了 。 
Romans	5	9	Romans 5:9	 現 在 我 們 既 靠 著 他 的 血 稱 義 、 就 更 要 藉 著 他 免 去 　 神 的 忿 怒 。 
Romans	5	10	Romans 5:10	 因 為 我 們 作 仇 敵 的 時 候 、 且 藉 著 　 神 兒 子 的 死 、 得 與 　 神 和 好 、 既 已 和 好 、 就 更 要 因 他 的 生 得 救 了 。 
Romans	5	11	Romans 5:11	 不 但 如 此 、 我 們 既 藉 著 我 主 耶 穌 基 督 、 得 與 　 神 和 好 、 也 就 藉 著 他 、 以 　 神 為 樂 。 
Romans	5	12	Romans 5:12	 這 就 如 罪 是 從 一 人 入 了 世 界 、 死 又 是 從 罪 來 的 、 於 是 死 就 臨 到 眾 人 、 因 為 眾 人 都 犯 了 罪 。 
Romans	5	13	Romans 5:13	 沒 有 律 法 之 先 、 罪 已 經 在 世 上 ． 但 沒 有 律 法 、 罪 也 不 算 罪 。 
Romans	5	14	Romans 5:14	 然 而 從 亞 當 到 摩 西 死 就 作 了 王 、 連 那 些 不 與 亞 當 犯 一 樣 罪 過 的 、 也 在 他 的 權 下 ． 亞 當 乃 是 那 以 後 要 來 之 人 的 豫 像 。 
Romans	5	15	Romans 5:15	 只 是 過 犯 不 如 恩 賜 ． 若 因 一 人 的 過 犯 、 眾 人 都 死 了 、 何 況 　 神 的 恩 典 、 與 那 因 耶 穌 基 督 一 人 恩 典 中 的 賞 賜 、 豈 不 更 加 倍 的 臨 到 眾 人 麼 。 
Romans	5	16	Romans 5:16	 因 一 人 犯 罪 就 定 罪 、 也 不 如 恩 賜 ． 原 來 番 判 是 由 一 人 而 定 罪 、 恩 賜 乃 是 由 許 多 過 犯 而 稱 義 。 
Romans	5	17	Romans 5:17	 若 因 一 人 的 過 犯 、 死 就 因 這 一 人 作 了 王 、 何 況 那 些 受 洪 恩 又 蒙 所 賜 之 義 的 、 豈 不 更 要 因 耶 穌 基 督 一 人 在 生 命 中 作 王 麼 。 
Romans	5	18	Romans 5:18	 如 此 說 來 、 因 一 次 的 過 犯 、 罪 人 都 被 定 罪 、 照 樣 、 因 一 次 的 義 行 、 眾 人 也 就 被 稱 義 得 生 命 了 。 
Romans	5	19	Romans 5:19	 因 一 人 的 悖 逆 、 眾 人 成 為 罪 人 、 照 樣 、 因 一 人 的 順 從 、 眾 人 也 成 為 義 了 。 
Romans	5	20	Romans 5:20	 律 法 本 是 外 添 的 、 叫 過 犯 顯 多 ． 只 是 罪 在 那 裡 顯 多 、 恩 典 就 更 顯 多 了 。 
Romans	5	21	Romans 5:21	 就 如 罪 作 王 叫 人 死 、 照 樣 、 恩 典 也 藉 著 義 作 王 、 叫 人 因 我 們 的 主 耶 穌 基 督 得 永 生 。 
