book	chapter	verse	title	body
Ruth	4	1	Ruth 4:1	 波 阿 斯 到 了 城 門 、 坐 在 那 裡 、 恰 巧 波 阿 斯 所 說 的 那 至 近 的 親 屬 經 過 ． 波 阿 斯 說 、 某 人 哪 、 你 來 坐 在 這 裡 、 他 就 來 坐 下 ． 
Ruth	4	2	Ruth 4:2	 波 阿 斯 又 從 本 城 的 長 老 中 揀 選 了 十 人 、 對 他 們 說 、 請 你 們 坐 在 這 裡 、 他 們 就 都 坐 下 ． 
Ruth	4	3	Ruth 4:3	 波 阿 斯 對 那 至 近 的 親 屬 說 、 從 摩 押 地 回 來 的 拿 俄 米 、 現 在 要 賣 我 們 族 兄 以 利 米 勒 的 那 塊 地 ． 
Ruth	4	4	Ruth 4:4	 我 想 當 贖 那 塊 地 的 是 你 、 其 次 是 我 、 以 外 再 沒 有 別 人 了 、 你 可 以 在 這 裡 的 人 面 前 、 和 我 本 國 的 長 老 面 前 說 明 、 你 若 肯 贖 就 贖 、 若 不 肯 贖 就 告 訴 我 ． 那 人 回 答 說 、 我 肯 贖 。 
Ruth	4	5	Ruth 4:5	 波 阿 斯 說 、 你 從 拿 俄 米 手 中 買 這 地 的 時 候 、 也 當 娶 〔 原 文 作 買 十 節 同 〕 死 人 的 妻 摩 押 女 子 路 得 、 使 死 人 在 產 業 上 存 留 他 的 名 。 
Ruth	4	6	Ruth 4:6	 那 人 說 、 這 樣 我 就 不 能 贖 了 、 恐 怕 於 我 的 產 業 有 礙 、 你 可 以 贖 我 所 當 贖 的 、 我 不 能 贖 了 。 
Ruth	4	7	Ruth 4:7	 從 前 在 以 色 列 中 要 定 奪 甚 麼 事 、 或 贖 回 、 或 交 易 、 這 人 就 脫 鞋 給 那 人 、 以 色 列 人 都 以 此 為 證 據 。 
Ruth	4	8	Ruth 4:8	 那 人 對 波 阿 斯 說 、 你 自 己 買 罷 、 於 是 將 鞋 脫 下 來 了 。 
Ruth	4	9	Ruth 4:9	 波 阿 斯 對 長 老 和 眾 民 說 、 你 們 今 日 作 見 證 、 凡 屬 以 利 米 勒 和 基 連 、 瑪 倫 的 、 我 都 從 拿 俄 米 手 中 置 買 了 ． 
Ruth	4	10	Ruth 4:10	 又 娶 了 瑪 倫 的 妻 摩 押 女 子 路 得 為 妻 、 好 在 死 人 的 產 業 上 存 留 他 的 名 ． 免 得 他 的 名 在 本 族 本 鄉 滅 沒 、 你 們 今 日 可 以 作 見 證 。 
Ruth	4	11	Ruth 4:11	 在 城 門 坐 著 的 眾 民 和 長 老 都 說 、 我 們 作 見 證 、 願 耶 和 華 使 進 你 家 的 這 女 子 、 像 建 立 以 色 列 家 的 拉 結 、 利 亞 二 人 一 樣 ． 又 願 你 在 以 法 他 得 亨 通 、 在 伯 利 恆 得 名 聲 ． 
Ruth	4	12	Ruth 4:12	 願 耶 和 華 從 這 少 年 女 子 賜 你 後 裔 、 使 你 的 家 像 他 瑪 從 猶 大 所 生 法 勒 斯 的 家 一 般 。 
Ruth	4	13	Ruth 4:13	 於 是 波 阿 斯 娶 了 路 得 為 妻 、 與 他 同 房 、 耶 和 華 使 他 懷 孕 生 了 一 個 兒 子 。 
Ruth	4	14	Ruth 4:14	 婦 人 們 對 拿 俄 米 說 、 耶 和 華 是 應 當 稱 頌 的 ． 因 為 今 日 沒 有 撇 下 你 使 你 無 至 近 的 親 屬 ． 願 這 孩 子 在 以 色 列 中 得 名 聲 ． 
Ruth	4	15	Ruth 4:15	 他 必 提 起 你 的 精 神 、 奉 養 你 的 老 、 因 為 是 愛 慕 你 的 那 兒 婦 所 生 的 、 有 這 兒 婦 比 有 七 個 兒 子 還 好 。 
Ruth	4	16	Ruth 4:16	 拿 俄 米 就 把 孩 子 抱 在 懷 中 、 作 他 的 養 母 。 
Ruth	4	17	Ruth 4:17	 鄰 舍 的 婦 人 說 、 拿 俄 米 得 孩 子 了 ． 就 給 孩 子 起 名 叫 俄 備 得 、 這 俄 備 得 是 耶 西 的 父 、 耶 西 是 大 衛 的 父 。 
Ruth	4	18	Ruth 4:18	 法 勒 斯 的 後 代 記 在 下 面 ． 法 勒 斯 生 希 斯 崙 、 
Ruth	4	19	Ruth 4:19	 希 斯 崙 生 蘭 、 蘭 生 亞 米 拿 達 、 
Ruth	4	20	Ruth 4:20	 亞 米 拿 達 生 拿 順 、 拿 順 生 撒 門 、 
Ruth	4	21	Ruth 4:21	 撒 門 生 波 阿 斯 、 波 阿 斯 生 俄 備 得 、 
Ruth	4	22	Ruth 4:22	 俄 備 得 生 耶 西 、 耶 西 生 大 衛 。 
