book	chapter	verse	title	body
Zechariah	1	1	Zechariah 1:1	 大 利 烏 王 第 二 年 八 月 、 耶 和 華 的 話 臨 到 易 多 的 孫 子 比 利 家 的 兒 子 先 知 撒 迦 利 亞 、 說 、 
Zechariah	1	2	Zechariah 1:2	 耶 和 華 曾 向 你 們 列 祖 大 大 發 怒 。 
Zechariah	1	3	Zechariah 1:3	 所 以 你 要 對 以 色 列 人 說 、 萬 軍 之 耶 和 華 如 此 說 、 你 們 要 轉 向 我 、 我 就 轉 向 你 們 ． 這 是 萬 軍 之 耶 和 華 說 的 。 
Zechariah	1	4	Zechariah 1:4	 不 要 效 法 你 們 列 祖 ． 從 前 的 先 知 呼 叫 他 們 說 、 萬 軍 之 耶 和 華 如 此 說 、 你 們 要 回 頭 離 開 你 們 的 惡 道 惡 行 。 他 們 卻 不 聽 、 也 不 順 從 我 ． 這 是 耶 和 華 說 的 。 
Zechariah	1	5	Zechariah 1:5	 你 們 的 列 祖 在 那 裡 呢 ． 那 些 先 知 能 永 遠 存 活 麼 ． 
Zechariah	1	6	Zechariah 1:6	 只 是 我 的 言 語 和 律 例 、 就 是 所 吩 咐 我 僕 人 眾 先 知 的 、 豈 不 臨 到 你 們 列 祖 麼 ． 他 們 就 回 頭 、 說 、 萬 軍 之 耶 和 華 定 意 按 我 們 的 行 動 作 為 向 我 們 怎 樣 行 、 他 已 照 樣 行 了 。 
Zechariah	1	7	Zechariah 1:7	 大 利 烏 第 二 年 十 一 月 、 就 是 細 罷 特 月 、 二 十 四 日 、 耶 和 華 的 話 臨 到 易 多 的 孫 子 比 利 家 的 兒 子 先 知 撒 迦 利 亞 、 說 、 
Zechariah	1	8	Zechariah 1:8	 我 夜 間 觀 看 、 見 一 人 騎 著 紅 馬 、 站 在 窪 地 番 石 榴 樹 中 間 ． 在 他 身 後 、 又 有 紅 馬 、 黃 馬 、 和 白 馬 。 
Zechariah	1	9	Zechariah 1:9	 我 對 與 我 說 話 的 天 使 說 、 主 阿 、 這 是 甚 麼 意 思 ． 他 說 、 我 要 指 示 你 這 是 甚 麼 意 思 。 
Zechariah	1	10	Zechariah 1:10	 那 站 在 番 石 榴 樹 中 間 的 人 說 、 這 是 奉 耶 和 華 差 遣 在 遍 地 走 來 走 去 的 。 
Zechariah	1	11	Zechariah 1:11	 那 些 騎 馬 的 、 對 站 在 番 石 榴 樹 中 間 耶 和 華 的 使 者 說 、 我 們 已 在 遍 地 走 來 走 去 、 見 全 地 都 安 息 平 靜 。 
Zechariah	1	12	Zechariah 1:12	 於 是 耶 和 華 的 使 者 說 、 萬 軍 之 耶 和 華 阿 、 你 惱 恨 耶 路 撒 冷 、 和 猶 大 的 城 邑 、 已 經 七 十 年 ． 你 不 施 憐 憫 要 到 幾 時 呢 。 
Zechariah	1	13	Zechariah 1:13	 耶 和 華 就 用 美 善 的 安 慰 話 、 回 答 那 與 我 說 話 的 天 使 。 
Zechariah	1	14	Zechariah 1:14	 與 我 說 話 的 天 使 對 我 說 、 你 要 宣 告 說 、 萬 軍 之 耶 和 華 如 此 說 、 我 為 耶 路 撒 冷 為 錫 安 、 心 裡 極 其 火 熱 。 
Zechariah	1	15	Zechariah 1:15	 我 甚 惱 怒 那 安 逸 的 列 國 ． 因 我 從 前 稍 微 惱 怒 我 民 、 他 們 就 加 害 過 分 。 
Zechariah	1	16	Zechariah 1:16	 所 以 耶 和 華 如 此 說 、 現 今 我 回 到 耶 路 撒 冷 、 仍 施 憐 憫 ． 我 的 殿 必 重 在 其 中 、 準 繩 必 拉 在 耶 路 撒 冷 之 上 ． 這 是 萬 軍 之 耶 和 華 說 的 。 
Zechariah	1	17	Zechariah 1:17	 你 要 再 宣 告 說 、 萬 軍 之 耶 和 華 如 此 說 、 我 的 城 邑 、 必 再 豐 盛 發 達 ． 耶 和 華 必 再 安 慰 錫 安 、 揀 選 耶 路 撒 冷 。 
Zechariah	1	18	Zechariah 1:18	 我 舉 目 觀 看 、 見 有 四 角 。 
Zechariah	1	19	Zechariah 1:19	 我 就 問 與 我 說 話 的 天 使 說 、 這 是 甚 麼 意 思 ． 他 回 答 說 、 這 是 打 散 猶 大 、 以 色 列 、 和 耶 路 撒 冷 的 角 。 
Zechariah	1	20	Zechariah 1:20	 耶 和 華 又 指 四 個 匠 人 給 我 看 。 
Zechariah	1	21	Zechariah 1:21	 我 說 、 他 們 來 作 甚 麼 呢 ． 他 說 、 這 是 打 散 猶 大 的 角 、 使 人 不 敢 抬 頭 ． 但 這 些 匠 人 來 威 嚇 列 國 、 打 掉 他 們 的 角 、 就 是 舉 起 打 散 猶 大 地 的 角 。 
